"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,220,-742.5,13.8930833717123,32334.0647281204
"2000/2001",2001,123,123,100,184,-925,7.52128962137729,33476.7408417953
"2001/2002",2002,123,123,100,206,-878.5,6.75803053591072,33492.9170535852
"2002/2003",2003,123,123,100,233,-710.5,12.9007385374803,32646.942793558
"2003/2004",2004,123,123,100,196,-806,10.637660346255,33728.040352405
"2004/2005",2005,123,123,100,152,-858.5,10.5927980606417,32419.7076093728
"2005/2006",2006,123,123,100,211,-794,15.5295331025407,33083.2006796643
"2006/2007",2007,123,123,100,229,-722,14.8655791728279,31177.9202054545
"2007/2008",2008,123,123,100,150,-1077.5,8.43486856370089,33173.7035044965
"2008/2009",2009,123,123,100,220,-854,8.49920645495612,32880.520522985
"2009/2010",2010,123,123,100,173,-615,10.9777617632864,31697.0389742344
"2010/2011",2011,123,123,100,120,-994,7.0053063321119,35041.5602982088
"2011/2012",2012,123,123,100,240,-767.5,13.6012915584058,32406.7141883797
"2012/2013",2013,123,123,100,258,-569.5,15.8114422814315,31270.2773306291
"2013/2014",2014,123,123,100,208,-902.5,7.97996823242809,33062.4763693274
"2014/2015",2015,123,123,100,202,-864,7.16135784800491,32515.2833650282
"2015/2016",2016,123,123,100,143,-1006.5,4.6718240672881,34063.5032877235
"2016/2017",2017,123,123,100,92,-1235.5,2.42541255392311,34758.9099591584
"2017/2018",2018,123,123,100,111,-1079.5,7.38262170428709,34266.6411153357
"2018/2019",2019,123,123,100,279,-655,15.2758676705186,30950.1037507299
"2019/2020",2020,123,123,100,168,-807,7.41163531710313,32751.4066843353
"2020/2021",2021,123,123,100,175,-816,11.9068683751838,33293.9424515474
"2021/2022",2022,123,123,100,117,-988.5,7.34993577803448,33090.1296326336
"2022/2023",2023,123,123,100,127,-1086.5,6.78167329312365,35432.5573157365
"2023/2024",2024,123,123,100,223,-713,7.25312468900188,31251.7086265245
"2024/2025",2025,123,123,100,209,-908,12.9028862816,32520.8627129686
"2025/2026",2026,123,123,100,200,-880.5,12.375516824266,32961.5263813096
"2026/2027",2027,123,123,100,134,-1072.5,3.68785010809188,34193.8106091958
"2027/2028",2028,123,123,100,157,-1023,7.98971095429528,33383.849023079
"2028/2029",2029,123,123,100,218,-590.5,12.6024709487758,31528.2640330587
"2029/2030",2030,123,123,100,152,-1119,5.7862519888908,34375.2709216825
"2030/2031",2031,123,123,100,196,-721,14.924620859864,31611.3558590901
"2031/2032",2032,123,123,100,97,-988,6.02570466336749,33808.1347396495
"2032/2033",2033,123,123,100,199,-560,13.7852320037917,31263.0384050426
"2033/2034",2034,123,123,100,204,-865.5,9.91805030988007,32559.0763782701
"2034/2035",2035,123,123,100,97,-1086.5,6.02933339137462,34316.7475518705
"2035/2036",2036,123,123,100,107,-941.5,10.8464325962743,34637.7675237665
"2036/2037",2037,123,123,100,208,-934,10.0542113091436,31914.7080013645
"2037/2038",2038,123,123,100,217,-632,13.0805903963916,30389.7525657238
"2038/2039",2039,123,123,100,118,-1040.5,3.01006837443288,34345.5659296643
"2039/2040",2040,123,123,100,147,-968,6.76505703440915,33648.1154646995
"2040/2041",2041,123,123,100,164,-942,8.65128342128941,33857.7122286595
"2041/2042",2042,123,123,100,154,-833,9.70135870522097,32442.9626743887
"2042/2043",2043,123,123,100,165,-907.5,3.92142203101292,34133.025551063
"2043/2044",2044,123,123,100,159,-868.5,8.25688571837958,33528.6935148966
"2044/2045",2045,123,123,100,79,-1110,4.57065507439745,34954.9764732793
"2045/2046",2046,123,123,100,102,-1166.5,6.4638650446891,35196.9604465077
"2046/2047",2047,123,123,100,111,-1149,4.71444653000572,34210.0220567463
"2047/2048",2048,123,123,100,179,-917,5.52003355993008,33936.8041871982
