"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,206,-654.5,16.9447015348887,33023.0101222952
"2000/2001",2001,123,123,100,173,-853,11.2208883495686,34264.6404384966
"2001/2002",2002,123,123,100,176,-792.5,10.8406501907603,34522.6321622761
"2002/2003",2003,123,123,100,210,-622.5,17.9181977458405,33436.5831696686
"2003/2004",2004,123,123,100,171,-750,13.6788899086402,34110.3334725181
"2004/2005",2005,123,123,100,141,-836,13.9743168444147,33864.6222459368
"2005/2006",2006,123,123,100,186,-710.5,16.6417176874015,34107.3915602318
"2006/2007",2007,123,123,100,238,-642,19.5007088927408,32298.4707384218
"2007/2008",2008,123,123,100,146,-1033.5,12.4493181289515,34956.7285226659
"2008/2009",2009,123,123,100,208,-795.5,14.1456362727005,33880.2782011984
"2009/2010",2010,123,123,100,152,-515,18.3485688565519,32251.4425245256
"2010/2011",2011,123,123,100,90,-947.5,7.86298944266204,36208.3653362438
"2011/2012",2012,123,123,100,234,-684,18.8454841353912,33385.3039913606
"2012/2013",2013,123,123,100,238,-446.5,19.9473148352733,31664.3523858322
"2013/2014",2014,123,123,100,184,-845,15.7792077638726,34152.6790528703
"2014/2015",2015,123,123,100,159,-837.5,10.9509981573668,33963.7807164157
"2015/2016",2016,123,123,100,111,-963.5,5.38948296535904,35593.2518929883
"2016/2017",2017,123,123,100,77,-1234,5.0036785301146,36851.3186335978
"2017/2018",2018,123,123,100,91,-1020.5,10.9658516050331,35218.4653315432
"2018/2019",2019,123,123,100,296,-547.5,17.7796115774575,31453.3957246342
"2019/2020",2020,123,123,100,141,-741.5,10.1927352833027,33823.1289657322
"2020/2021",2021,123,123,100,159,-751,14.5093098626734,34224.4694726043
"2021/2022",2022,123,123,100,116,-978,12.2211868635351,34987.502715264
"2022/2023",2023,123,123,100,129,-1051.5,8.24747035270565,36538.4433419784
"2023/2024",2024,123,123,100,208,-650,14.8805613828569,32573.6816700627
"2024/2025",2025,123,123,100,202,-851.5,15.9368882266737,33691.2904085107
"2025/2026",2026,123,123,100,198,-831,14.3058190642377,34382.4065315239
"2026/2027",2027,123,123,100,82,-1085,3.99568637285438,36464.4913685969
"2027/2028",2028,123,123,100,120,-981,10.2736337996283,35107.6746870563
"2028/2029",2029,123,123,100,193,-470.5,20.6962718519386,31709.7617504527
"2029/2030",2030,123,123,100,121,-1117.5,7.74782910267936,36629.3113003518
"2030/2031",2031,123,123,100,174,-629,16.5072813019981,32359.5266284845
"2031/2032",2032,123,123,100,86,-912,12.973729021242,34668.3248892347
"2032/2033",2033,123,123,100,197,-420.5,21.8608974365229,31512.8069472266
"2033/2034",2034,123,123,100,174,-797.5,12.6889960023218,33901.6679826607
"2034/2035",2035,123,123,100,87,-1102,10.0582879316397,36371.708068965
"2035/2036",2036,123,123,100,89,-866.5,12.7517548198524,35263.536364818
"2036/2037",2037,123,123,100,194,-878.5,17.0580572078386,33534.8376416164
"2037/2038",2038,123,123,100,207,-531,16.8628455786952,31287.8950550649
"2038/2039",2039,123,123,100,75,-1036.5,2.98409945022252,36527.6951761311
"2039/2040",2040,123,123,100,115,-937,7.83529302954582,34954.657542075
"2040/2041",2041,123,123,100,119,-886.5,11.9666743535674,35079.3289870014
"2041/2042",2042,123,123,100,123,-790.5,13.4602475849966,33860.6595981484
"2042/2043",2043,123,123,100,126,-832.5,10.9357871040046,35302.1483932082
"2043/2044",2044,123,123,100,144,-790.5,12.6116531646205,34499.3623947036
"2044/2045",2045,123,123,100,54,-1104,8.45818106013849,36643.5912071131
"2045/2046",2046,123,123,100,108,-1140,9.96690954437304,36691.6444431692
"2046/2047",2047,123,123,100,71,-1156,7.95884066680424,36290.0015230831
"2047/2048",2048,123,123,100,141,-855,10.5902139824822,35004.5634114696
"2048/2049",2049,123,123,100,295,-469,20.732411262136,32288.372518477
"2049/2050",2050,123,123,100,330,-791,18.9135140292592,32371.2592971101
"2050/2051",2051,123,123,100,235,-514,20.1003548290762,31946.3374480428
"2051/2052",2052,123,123,100,195,-498.5,18.3142155667924,31649.9405602524
"2052/2053",2053,123,123,100,195,-499.5,16.1784319627186,32676.8889039773
"2053/2054",2054,123,123,100,132,-632.5,15.1729632713988,32914.15333761
"2054/2055",2055,123,123,100,138,-741.5,11.0980407251524,34403.2632815
"2055/2056",2056,123,123,100,256,-514,16.9432868662449,32206.2279981552
"2056/2057",2057,123,123,100,173,-421.5,22.0609264890894,31307.9317160808
"2057/2058",2058,123,123,100,179,-669.5,10.4361287941389,32744.6340773748
"2058/2059",2059,123,123,100,132,-841,10.9234070068558,34574.0039886059
"2059/2060",2060,123,123,100,260,-813.5,13.3694384403819,34031.0668870108
"2060/2061",2061,123,123,100,176,-812.5,9.49847280796905,35215.5194067415
"2061/2062",2062,123,123,100,183,-482.5,20.5819388197298,32542.9169527702
"2062/2063",2063,123,123,100,116,-786,13.8474664228661,33963.295449378
"2063/2064",2064,123,123,100,222,-560,16.5210357405022,32037.7725837063
"2064/2065",2065,123,123,100,67,-1048.5,8.01502228504955,36042.6918083197
"2065/2066",2066,123,123,100,196,-866.5,14.1966162013487,33725.8809441095
"2066/2067",2067,123,123,100,163,-674.5,12.9891379888186,33921.1206858456
"2067/2068",2068,123,123,100,109,-906.5,10.9676286645984,34524.9999327222
"2068/2069",2069,123,123,100,94,-1247,1.97302134215261,36852.9276518375
"2069/2070",2070,123,123,100,148,-1006.5,9.07761116379334,36194.0290501341
"2070/2071",2071,123,123,100,216,-408,20.705115363917,31786.829459982
"2071/2072",2072,123,123,100,187,-700,11.5114196071556,33771.01989826
"2072/2073",2073,123,123,100,317,-573,19.1696931056786,31730.0069388393
"2073/2074",2074,123,123,100,237,-173,20.9970267028959,29315.8120072894
"2074/2075",2075,123,123,100,188,-362,21.4900055007606,31660.9823072273
"2075/2076",2076,123,123,100,131,-796,11.8587730687343,34415.5466560815
"2076/2077",2077,123,123,100,131,-909,17.1987985748333,34626.1190395635
"2077/2078",2078,123,123,100,206,-647,13.5862706567946,32944.9837289248
"2078/2079",2079,123,123,100,137,-685,14.3887880496702,33522.0409894045
"2079/2080",2080,123,123,100,155,-789.5,12.9256980693772,34116.2679940239
"2080/2081",2081,123,123,100,222,-395,19.3722302355709,30618.0220197216
"2081/2082",2082,123,123,100,242,-511,18.3349190857973,32120.7183218561
"2082/2083",2083,123,123,100,109,-668,17.8043410112246,32745.296347471
"2083/2084",2084,123,123,100,127,-842,11.9581856798682,33826.0318768788
"2084/2085",2085,123,123,100,210,-676.5,17.9954648011746,32762.094134612
"2085/2086",2086,123,123,100,86,-1129.5,8.87901286983379,36080.4884768687
"2086/2087",2087,123,123,100,299,-508,17.9351081814038,31492.7522917818
"2087/2088",2088,123,123,100,200,-664.5,17.6783264358876,33290.1611645576
"2088/2089",2089,123,123,100,239,-467,25.4807878585307,30186.7831632942
"2089/2090",2090,123,123,100,117,-880.5,14.2411967080479,34822.3182954695
"2090/2091",2091,123,123,100,98,-546,18.4155268026868,32663.5254662484
"2091/2092",2092,123,123,100,229,-654.5,17.8493571561692,32649.5193219222
"2092/2093",2093,123,123,100,120,-1131.5,14.1801818882886,36303.751173066
"2093/2094",2094,123,123,100,33,-1165,6.58629777203919,37591.790537985
"2094/2095",2095,123,123,100,197,-695.5,17.0345064197109,32785.465754997
"2095/2096",2096,123,123,100,126,-582.5,13.0445500889948,33460.9715781435
"2096/2097",2097,123,123,100,119,-1021.5,9.83641794070945,36125.0150507744
"2097/2098",2098,123,123,100,122,-788.5,14.7983618000883,34710.2013441194
"2098/2099",2099,123,123,100,263,-520.5,19.6663625187282,31767.7857957669
"2099/2100",2100,123,123,100,100,-1053,8.57212957796628,35879.2820160445
