"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,770,650,44.4801407588979,20576.3280879139
"2000/2001",2001,123,123,100,844,760,49.1855393624037,19893.7143114489
"2001/2002",2002,123,123,100,768,642,43.2617556593149,21929.0631084536
"2002/2003",2003,123,123,100,809,641,46.4076261847634,20760.3643860203
"2003/2004",2004,123,123,100,813,741,46.9573430872745,20645.6007796144
"2004/2005",2005,123,123,100,761,697,50.4507806561329,21110.5434980858
"2005/2006",2006,123,123,100,828,778.5,45.1362881319996,19569.5330430059
"2006/2007",2007,123,123,100,776,684.5,48.5239547918945,20073.0697021878
"2007/2008",2008,123,123,100,567,473,37.1935855870029,23242.950007751
"2008/2009",2009,123,123,100,788,609.5,47.7041194226403,21355.2150109084
"2009/2010",2010,123,123,100,796,606.5,43.6667766130465,21558.5897225889
"2010/2011",2011,123,123,100,812,845.5,55.7727158846147,19677.0603665975
"2011/2012",2012,123,123,100,746,584,40.9887388980657,21878.7754931722
"2012/2013",2013,123,123,100,793,617,42.9848060229851,21377.1080866656
"2013/2014",2014,123,123,100,797,696.5,46.9368209556138,20519.4584483916
"2014/2015",2015,123,123,100,634,528,37.5352900772647,23020.0152389447
"2015/2016",2016,123,123,100,779,547,41.7361138331067,22590.1763657385
"2016/2017",2017,123,123,100,707,660,42.4200527135397,22057.7677808984
"2017/2018",2018,123,123,100,874,925.5,53.4109735827101,18560.9026880907
"2018/2019",2019,123,123,100,748,620.5,41.7788005598468,21679.0162777966
"2019/2020",2020,123,123,100,705,594.5,45.7922371255169,21736.2874039845
"2020/2021",2021,123,123,100,699,611.5,47.223258334838,21625.0575033799
"2021/2022",2022,123,123,100,637,514,41.8756425672022,22391.1244060909
"2022/2023",2023,123,123,100,838,966,55.2132109645136,18244.3261146559
"2023/2024",2024,123,123,100,547,300,28.7692143325851,24850.5041971295
"2024/2025",2025,123,123,100,684,672.5,50.5777582968833,20806.0756661412
"2025/2026",2026,123,123,100,797,734,49.5981435204444,19687.6182664633
"2026/2027",2027,123,123,100,640,571.5,37.5256242630871,22738.7206204012
"2027/2028",2028,123,123,100,703,693,43.7612771524928,21786.8978237589
"2028/2029",2029,123,123,100,837,710,46.0750464136722,20097.5949752643
"2029/2030",2030,123,123,100,651,627.5,45.058950549289,22206.6184286363
"2030/2031",2031,123,123,100,835,703.5,48.6029029652827,20879.5478764162
"2031/2032",2032,123,123,100,849,881.5,50.5697078932899,19241.0519433874
"2032/2033",2033,123,123,100,855,584,41.6223057806183,21777.3585197488
"2033/2034",2034,123,123,100,678,512,38.8470901540561,22929.5412636874
"2034/2035",2035,123,123,100,819,799,51.0023850978746,19863.8888231958
"2035/2036",2036,123,123,100,1041,910.5,54.7706873199186,18110.9513130696
"2036/2037",2037,123,123,100,696,512.5,42.9596892216778,22827.5484441631
"2037/2038",2038,123,123,100,688,502.5,39.0177621501359,23147.501100983
"2038/2039",2039,123,123,100,720,561.5,40.4356927110125,23003.8372261231
"2039/2040",2040,123,123,100,758,592.5,44.3946455295286,21936.5342309605
"2040/2041",2041,123,123,100,745,724,45.2484304518248,21252.0411178027
"2041/2042",2042,123,123,100,714,553.5,41.2848891514668,22732.0547603597
"2042/2043",2043,123,123,100,757,775.5,44.5303624260632,20878.1649796432
"2043/2044",2044,123,123,100,825,796.5,49.0271185291658,19874.056928196
"2044/2045",2045,123,123,100,770,736.5,53.3415045361362,20319.2430259101
"2045/2046",2046,123,123,100,874,985,59.9679291522348,17989.6551244603
"2046/2047",2047,123,123,100,666,580,41.0091951091472,22513.8774587866
"2047/2048",2048,123,123,100,773,770,50.5329746373768,20331.0431442102
"2048/2049",2049,123,123,100,820,705,46.5414878601496,20557.270158397
"2049/2050",2050,123,123,100,730,626.5,48.938466889158,20872.8457879666
"2050/2051",2051,123,123,100,834,681.5,51.1727609258414,21009.5495956596
"2051/2052",2052,123,123,100,784,631.5,41.6546106569722,21482.661626189
"2052/2053",2053,123,123,100,712,526.5,46.1747830377844,21759.1827877099
"2053/2054",2054,123,123,100,780,747.5,50.1262909309626,20644.7829152457
"2054/2055",2055,123,123,100,728,621,40.7560740120275,22149.0466694776
"2055/2056",2056,123,123,100,767,625.5,38.5670030328893,21486.8571556173
"2056/2057",2057,123,123,100,895,793,49.1428169036158,19559.5520230336
"2057/2058",2058,123,123,100,667,335,33.3875177030559,23661.4572853176
"2058/2059",2059,123,123,100,709,578,42.771180306328,22016.749177062
"2059/2060",2060,123,123,100,726,607.5,44.945801895683,22335.5114954775
"2060/2061",2061,123,123,100,907,844.5,49.7946866448015,19300.4240506841
