"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,817,793.5,52.4039460279194,19141.5884956127
"2000/2001",2001,123,123,100,887,890,55.2721817193006,18439.4767959488
"2001/2002",2002,123,123,100,826,813.5,50.1538642213127,20340.7566927185
"2002/2003",2003,123,123,100,866,827,51.6165787670546,19094.377595358
"2003/2004",2004,123,123,100,869,905,51.8584295785401,18966.2483440751
"2004/2005",2005,123,123,100,823,890,54.3011300047603,19388.2068493378
"2005/2006",2006,123,123,100,887,934,53.3133572911937,18061.0059922363
"2006/2007",2007,123,123,100,834,849,51.4162546771704,18541.09485857
"2007/2008",2008,123,123,100,613,646.5,47.3999649619786,21671.855826017
"2008/2009",2009,123,123,100,841,757,51.0221999016162,20025.9359362053
"2009/2010",2010,123,123,100,844,783,49.8252281408974,19897.1199435466
"2010/2011",2011,123,123,100,887,1005,59.972566311851,18012.6833685057
"2011/2012",2012,123,123,100,795,715,46.4181583736441,20630.7650097758
"2012/2013",2013,123,123,100,855,783,51.5172564093301,19774.5866680804
"2013/2014",2014,123,123,100,863,863.5,53.538818740215,18944.081125078
"2014/2015",2015,123,123,100,716,695,43.5205533540781,21376.787133116
"2015/2016",2016,123,123,100,840,714,45.8111535459678,21042.8935309588
"2016/2017",2017,123,123,100,769,852.5,49.3291565119598,20246.0469484529
"2017/2018",2018,123,123,100,936,1080,60.3963640987788,16993.7059782508
"2018/2019",2019,123,123,100,801,793,48.2093793494464,20237.3833945834
"2019/2020",2020,123,123,100,772,753,50.6039014093781,20345.7854414696
"2020/2021",2021,123,123,100,758,768.5,56.4894571827576,20092.1672656271
"2021/2022",2022,123,123,100,680,661.5,49.8678037520467,20914.3145206808
"2022/2023",2023,123,123,100,916,1150,62.5197358397988,16473.3439758862
"2023/2024",2024,123,123,100,583,466,35.4113773605361,23470.3562394176
"2024/2025",2025,123,123,100,753,843.5,54.6458593453258,19292.420300914
"2025/2026",2026,123,123,100,871,879,55.0618137502781,18182.175164531
"2026/2027",2027,123,123,100,689,723,48.0423160011283,21112.8856258956
"2027/2028",2028,123,123,100,773,839.5,53.2924488782937,20159.4188749241
"2028/2029",2029,123,123,100,905,882,54.8269500938457,18575.5514618531
"2029/2030",2030,123,123,100,712,812,50.6430126239138,20560.5558959483
