"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,798,776.5,51.2407485193422,19565.6731023987
"2000/2001",2001,123,123,100,882,879,57.269458770705,18868.8228434765
"2001/2002",2002,123,123,100,777,782,51.7541993076151,20750.9374717381
"2002/2003",2003,123,123,100,833,785.5,53.4785744405315,19588.3030514719
"2003/2004",2004,123,123,100,825,868.5,52.7547153102452,19342.8453246752
"2004/2005",2005,123,123,100,801,846.5,56.6876040416396,19845.3594831486
"2005/2006",2006,123,123,100,839,910,55.8477544223664,18453.6773882017
"2006/2007",2007,123,123,100,771,818,52.0821108427788,18931.0633080545
"2007/2008",2008,123,123,100,568,612,48.2676897752056,22124.5031482392
"2008/2009",2009,123,123,100,807,751,52.3218349976074,20443.686271904
"2009/2010",2010,123,123,100,793,742.5,48.4086698960976,20422.9085187147
"2010/2011",2011,123,123,100,848,981,58.8219039159123,18418.1473853493
"2011/2012",2012,123,123,100,773,703.5,47.3669272797692,21079.7617308344
"2012/2013",2013,123,123,100,813,739,49.9562694736943,20227.0061884946
"2013/2014",2014,123,123,100,807,827,52.1509862421185,19410.2592205005
"2014/2015",2015,123,123,100,667,667,43.7565771254772,21884.7935356293
"2015/2016",2016,123,123,100,804,646.5,43.8785469688409,21692.0028928819
"2016/2017",2017,123,123,100,719,794.5,48.3150470888394,20796.9093516986
"2017/2018",2018,123,123,100,897,1055,59.7297628323454,17362.0374413982
"2018/2019",2019,123,123,100,742,742,48.424985188075,20687.913149884
"2019/2020",2020,123,123,100,717,723.5,51.0311973935648,20767.3627171139
"2020/2021",2021,123,123,100,721,741,54.066400926172,20526.4634751554
"2021/2022",2022,123,123,100,684,645.5,51.0786726596862,21305.3178590694
"2022/2023",2023,123,123,100,872,1131,62.1738223868604,16874.8244558126
"2023/2024",2024,123,123,100,550,397.5,36.6083677767215,24106.6045336244
"2024/2025",2025,123,123,100,696,808.5,54.8952150808805,19756.8596041449
"2025/2026",2026,123,123,100,819,858,54.2978445832246,18568.3609012947
"2026/2027",2027,123,123,100,659,679.5,49.3139477290897,21586.916537811
"2027/2028",2028,123,123,100,722,824,52.2542700742699,20556.1669093822
"2028/2029",2029,123,123,100,860,865.5,52.7306874851299,18954.6261179824
"2029/2030",2030,123,123,100,677,776.5,52.7387892447136,20975.1716051302
"2030/2031",2031,123,123,100,855,838,53.2899383743159,19685.612924403
"2031/2032",2032,123,123,100,852,1025,59.2863742650138,17945.2698797197
"2032/2033",2033,123,123,100,886,715.5,47.4478267016943,20691.6473357663
"2033/2034",2034,123,123,100,694,646,44.1584961188939,21784.2086979058
"2034/2035",2035,123,123,100,851,935.5,55.3566307367018,18648.2957909754
"2035/2036",2036,123,123,100,1061,1021,60.1530815638075,16930.3468440138
"2036/2037",2037,123,123,100,722,616,47.4118100538885,21725.8786089984
"2037/2038",2038,123,123,100,714,640,47.117644398551,21948.3761512642
"2038/2039",2039,123,123,100,757,703,48.984730348247,21819.8583724964
"2039/2040",2040,123,123,100,773,708,51.3794718788181,20899.2966469484
"2040/2041",2041,123,123,100,752,899,54.8875815872311,19856.6531025148
"2041/2042",2042,123,123,100,728,658,45.6152392393401,21737.7719237218
"2042/2043",2043,123,123,100,776,932,51.9172715924747,19577.5804307386
"2043/2044",2044,123,123,100,860,934.5,53.9126823845522,18653.5417475654
"2044/2045",2045,123,123,100,801,871.5,57.4995770304267,19138.9621531582
"2045/2046",2046,123,123,100,901,1115,66.7436175925568,16814.9832395306
"2046/2047",2047,123,123,100,669,712.5,46.135841141167,21187.2275364473
"2047/2048",2048,123,123,100,775,877.5,53.3489738013632,19442.6232587695
"2048/2049",2049,123,123,100,847,831.5,57.9797131887449,19426.6728808656
"2049/2050",2050,123,123,100,738,776.5,53.7224407227327,19471.8357787402
"2050/2051",2051,123,123,100,866,826.5,55.1921626616295,19812.0031235674
"2051/2052",2052,123,123,100,788,790,50.9635164536003,20244.9684888721
"2052/2053",2053,123,123,100,734,659,48.8085564155731,21002.162046371
"2053/2054",2054,123,123,100,798,918,56.9288939967746,19306.0795810577
"2054/2055",2055,123,123,100,726,753,45.5549982785078,21067.7786129033
"2055/2056",2056,123,123,100,794,752.5,51.2674212650213,20471.8812268106
"2056/2057",2057,123,123,100,906,958,57.2559344529332,18138.89936601
"2057/2058",2058,123,123,100,668,400.5,39.2715840557998,23246.2615399193
"2058/2059",2059,123,123,100,711,699.5,48.3634597434821,21001.3150132662
"2059/2060",2060,123,123,100,743,708,46.604360668267,21293.5547838667
"2060/2061",2061,123,123,100,947,948.5,55.2171951947967,18162.8393120784
"2061/2062",2062,123,123,100,959,877.5,52.1810508091985,18577.5943729049
"2062/2063",2063,123,123,100,819,771,50.2497832771414,20146.3255840503
"2063/2064",2064,123,123,100,781,755.5,51.30685469332,20721.469233688
"2064/2065",2065,123,123,100,662,816,52.0953927465812,20367.2908152258
"2065/2066",2066,123,123,100,699,637,47.1552406578671,21809.4219717151
"2066/2067",2067,123,123,100,755,763,46.6724835018408,20871.3256509602
"2067/2068",2068,123,123,100,761,878,55.4496904103921,19491.256644859
"2068/2069",2069,123,123,100,627,736.5,52.9057710657107,21279.5222590184
"2069/2070",2070,123,123,100,783,924,53.8340970330437,19196.7178586088
"2070/2071",2071,123,123,100,791,756,45.2694053530759,20804.6775791803
"2071/2072",2072,123,123,100,761,737.5,48.1916662953945,21229.9434173219
"2072/2073",2073,123,123,100,624,390,38.2705014504782,23673.8224246986
"2073/2074",2074,123,123,100,695,641.5,42.9595197534945,21577.8062124066
"2074/2075",2075,123,123,100,861,807.5,52.3350313014025,18723.6182831954
"2075/2076",2076,123,123,100,820,819.5,57.2914046296582,20014.8744516745
"2076/2077",2077,123,123,100,835,694,45.824067616476,20424.347621399
"2077/2078",2078,123,123,100,825,850.5,50.9150033404867,19793.4786138637
"2078/2079",2079,123,123,100,689,698,49.745509655314,20806.4330069777
"2079/2080",2080,123,123,100,708,585.5,47.4015179088738,22103.7055251496
"2080/2081",2081,123,123,100,651,611.5,46.6958905571992,22049.1695398651
"2081/2082",2082,123,123,100,768,787.5,45.0320247276459,20469.1220068373
"2082/2083",2083,123,123,100,781,907,59.065927448969,18675.6561403796
"2083/2084",2084,123,123,100,662,684.5,50.9462076789541,21330.5403067954
"2084/2085",2085,123,123,100,716,707,52.754611637195,20537.9387206724
"2085/2086",2086,123,123,100,797,852.5,54.8964466374573,19208.2998243226
"2086/2087",2087,123,123,100,545,353.5,38.452493180931,24419.0252954308
"2087/2088",2088,123,123,100,859,940.5,53.6044505352993,18329.9717118833
"2088/2089",2089,123,123,100,876,955,55.4992808559755,18502.483192388
"2089/2090",2090,123,123,100,817,821,52.754848952246,19729.7720916364
"2090/2091",2091,123,123,100,1002,965,57.5240579661795,17394.5453711711
"2091/2092",2092,123,123,100,699,763,49.0345775605028,20151.5558192693
"2092/2093",2093,123,123,100,909,1190,65.7689292421028,16307.1871630345
"2093/2094",2094,123,123,100,886,1026,58.483327558054,17961.3088064436
"2094/2095",2095,123,123,100,706,600,45.7386490460685,21839.12707486
"2095/2096",2096,123,123,100,823,792,52.5108353797741,20414.86418055
"2096/2097",2097,123,123,100,812,740.5,52.6263776246924,20319.7335893009
"2097/2098",2098,123,123,100,952,1029,61.7212601325955,17637.7953408249
"2098/2099",2099,123,123,100,746,723,44.1532871621639,20990.4189909566
"2099/2100",2100,123,123,100,837,939.5,56.0181454336844,18928.9629949406
