"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,982,1232.5,68.784496974521,14519.7081514478
"2000/2001",2001,123,123,100,996,1163,65.9254517359121,15269.8100021789
"2001/2002",2002,123,123,100,1098,1332.5,72.104192053844,13275.4624587221
"2002/2003",2003,123,123,100,1048,1278.5,68.9743046822687,14487.5393447471
"2003/2004",2004,123,123,100,977,1168,69.3402640516694,15311.7456579782
"2004/2005",2005,123,123,100,1051,1243,70.2739671051405,14139.4369016868
"2005/2006",2006,123,123,100,955,1089,63.471995036913,15641.401288255
"2006/2007",2007,123,123,100,975,1040.5,63.964855621457,15980.431395196
"2007/2008",2008,123,123,100,1058,1206.5,71.6275975381966,13124.2308402708
"2008/2009",2009,123,123,100,1105,1376,73.6438951224897,13398.030840783
"2009/2010",2010,123,123,100,1012,1253.5,72.2390108102404,14571.0146181269
"2010/2011",2011,123,123,100,907,1088,65.7616272444606,15528.1577797591
"2011/2012",2012,123,123,100,1065,1314,73.0160125582543,13715.2362599772
"2012/2013",2013,123,123,100,1001,1254.5,71.1743646582174,14693.7453338318
"2013/2014",2014,123,123,100,1043,1243,70.5709697616326,14197.2191085087
"2014/2015",2015,123,123,100,1088,1322.5,74.1807514723539,12942.5346236811
"2015/2016",2016,123,123,100,1070,1317,71.4398717260806,12998.054576718
"2016/2017",2017,123,123,100,1085,1193.5,70.0962959546357,13788.5500762446
"2017/2018",2018,123,123,100,1001,1138.5,63.339556044865,15960.6487198859
"2018/2019",2019,123,123,100,1075,1290.5,69.010709072395,13492.3456661992
"2019/2020",2020,123,123,100,1014,1282,71.9955330670202,13190.3906743268
"2020/2021",2021,123,123,100,1047,1324,73.1209108546909,13924.5207680953
"2021/2022",2022,123,123,100,1078,1278.5,73.0849786388108,13313.5371887956
"2022/2023",2023,123,123,100,924,1007.5,58.1349751941239,16914.0571334027
"2023/2024",2024,123,123,100,1166,1407,76.4351309460835,11436.4341930156
"2024/2025",2025,123,123,100,968,1119,65.4918275324708,15079.3202130506
"2025/2026",2026,123,123,100,994,1241.5,68.617962311836,14675.3421766995
"2026/2027",2027,123,123,100,1195,1400.5,76.0618804995233,12141.5587478131
"2027/2028",2028,123,123,100,1008,1121,68.2620210739201,14085.4987049336
"2028/2029",2029,123,123,100,913,1149.5,65.8285223615944,15609.8791061486
"2029/2030",2030,123,123,100,1092,1189.5,66.8879251721951,13282.1771510355
"2030/2031",2031,123,123,100,945,1321,73.191983163339,14369.1537903571
"2031/2032",2032,123,123,100,927,974,59.6128047977718,16522.9704153021
"2032/2033",2033,123,123,100,1037,1389,75.1512906187722,13672.6351089166
"2033/2034",2034,123,123,100,1118,1287.5,69.2978395066793,13249.1163036744
"2034/2035",2035,123,123,100,995,1123.5,66.8093506080672,15175.4582121619
"2035/2036",2036,123,123,100,853,1020.5,61.1771874960332,17407.7355976091
"2036/2037",2037,123,123,100,1155,1320.5,72.6414153492683,13088.9432925
"2037/2038",2038,123,123,100,974,1305,75.9370137057599,13069.6477276464
"2038/2039",2039,123,123,100,1126,1317.5,73.6573003456383,12714.5456326972
"2039/2040",2040,123,123,100,1051,1276.5,71.7492965035049,13600.8168012765
"2040/2041",2041,123,123,100,994,1203,70.7503653707881,14583.803699878
"2041/2042",2042,123,123,100,1043,1309,70.8904399053513,13549.4274698272
"2042/2043",2043,123,123,100,1034,1161,68.6437214218986,14598.0939927055
"2043/2044",2044,123,123,100,1024,1166.5,70.7020924138033,15193.5471246201
"2044/2045",2045,123,123,100,1003,1141.5,69.5688424897694,15241.7286893548
"2045/2046",2046,123,123,100,882,1003.5,60.7914530074668,16521.8398669409
"2046/2047",2047,123,123,100,1022,1149.5,69.5961505294663,14034.5739523522
"2047/2048",2048,123,123,100,1085,1199.5,65.4723945978931,14005.855929777
"2048/2049",2049,123,123,100,1009,1410,73.1631092668322,14039.6827566302
"2049/2050",2050,123,123,100,968,1183.5,65.1231052836702,14991.9461368537
"2050/2051",2051,123,123,100,919,1222,69.0439315756903,14398.5264559388
"2051/2052",2052,123,123,100,1036,1385,73.1878149706808,13834.0748420646
"2052/2053",2053,123,123,100,1057,1268.5,73.8539903992341,13210.1363068316
"2053/2054",2054,123,123,100,916,1193.5,67.6374260065486,14875.1397807822
"2054/2055",2055,123,123,100,1045,1300.5,71.6938392089205,13052.2844033437
"2055/2056",2056,123,123,100,984,1311,72.8229042244657,13621.5127816061
"2056/2057",2057,123,123,100,881,1058.5,62.1395743711719,16591.0985138742
"2057/2058",2058,123,123,100,1313,1562.5,77.595635390262,10924.6301861117
"2058/2059",2059,123,123,100,1036,1256,70.7768733618323,13418.9301090054
"2059/2060",2060,123,123,100,1115,1358.5,73.4830395790568,12837.9448926197
"2060/2061",2061,123,123,100,988,1155,65.2776216804314,15379.6965142228
"2061/2062",2062,123,123,100,914,1107,62.4821272047393,15908.094389433
"2062/2063",2063,123,123,100,954,1145,65.2471866947826,14066.2759329518
"2063/2064",2064,123,123,100,993,1382,72.3528941889117,13608.3113809358
"2064/2065",2065,123,123,100,1114,1205.5,67.0837258282299,13820.5986351185
"2065/2066",2066,123,123,100,1112,1291.5,71.4254956820996,12990.1196155176
"2066/2067",2067,123,123,100,1026,1273.5,67.812401081088,14132.1302800309
"2067/2068",2068,123,123,100,1021,1154,69.2255073047872,14610.770505636
"2068/2069",2069,123,123,100,1201,1247,71.4857253278205,12682.8756602248
"2069/2070",2070,123,123,100,1016,1295.5,70.6698591873064,14315.9734207299
"2070/2071",2071,123,123,100,1024,1306.5,72.7725535995114,13843.8373199236
"2071/2072",2072,123,123,100,1054,1309,71.0375732539651,13585.1731409356
"2072/2073",2073,123,123,100,1260,1540,78.4030867022002,11256.29693894
"2073/2074",2074,123,123,100,1027,1389,72.4402465691237,13345.4398975866
"2074/2075",2075,123,123,100,965,1150.5,65.6869433150287,15817.8307617707
"2075/2076",2076,123,123,100,1060,1330,76.1385996279851,13726.15276819
"2076/2077",2077,123,123,100,976,1192.5,68.44510145819,14382.5408769576
"2077/2078",2078,123,123,100,1035,1358.5,71.8480224763107,13934.9688820932
"2078/2079",2079,123,123,100,1013,1225,72.0763142174092,14001.5786740677
"2079/2080",2080,123,123,100,1049,1190.5,67.8557554050412,13878.1085643563
"2080/2081",2081,123,123,100,1080,1358,72.7103007161522,13175.3787484104
"2081/2082",2082,123,123,100,1069,1297,69.9458442373825,13878.5029052049
"2082/2083",2083,123,123,100,900,1005,64.3759837263788,15986.2245291686
"2083/2084",2084,123,123,100,1078,1282.5,71.635219667357,13000.6553230183
"2084/2085",2085,123,123,100,981,1158,69.0707269941686,13832.4034462254
"2085/2086",2086,123,123,100,1005,1101.5,62.2530663378047,15157.3319652397
"2086/2087",2087,123,123,100,1162,1423.5,75.974660103936,10892.6361780101
"2087/2088",2088,123,123,100,971,1194,65.2489332984223,15578.8621194214
"2088/2089",2089,123,123,100,927,1153,67.0525344886737,15503.0775459865
"2089/2090",2090,123,123,100,1027,1333.5,68.1951113173473,14082.6637610896
"2090/2091",2091,123,123,100,801,1080.5,66.6571147536079,16796.8789107259
"2091/2092",2092,123,123,100,1009,1175.5,67.7673115842017,14541.2711239876
"2092/2093",2093,123,123,100,930,1013.5,61.0423202374423,16503.2912227893
"2093/2094",2094,123,123,100,946,1158.5,69.5524907162235,15820.5670350678
"2094/2095",2095,123,123,100,1062,1319.5,74.0750909068265,13244.8185613137
"2095/2096",2096,123,123,100,935,1352,73.0588729533592,14072.4124778658
"2096/2097",2097,123,123,100,1039,1269,71.3304491905001,14142.8246995378
"2097/2098",2098,123,123,100,984,1243,65.5750923551514,15550.1789063225
"2098/2099",2099,123,123,100,984,1267.5,69.6726112936394,13497.4952767035
"2099/2100",2100,123,123,100,1048,1177.5,67.6297035966236,15107.7259387765
