"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1069,1366,76.2018884035042,12980.649586248
"2000/2001",2001,123,123,100,1047,1289.5,70.2348029586154,13802.348007856
"2001/2002",2002,123,123,100,1183,1433,74.2737069606858,11898.9112089459
"2002/2003",2003,123,123,100,1137,1390,73.4043768514781,13066.0310057703
"2003/2004",2004,123,123,100,1044,1302.5,71.7107907541262,13875.7821404161
"2004/2005",2005,123,123,100,1103,1356.5,75.875816942756,12724.0316419635
"2005/2006",2006,123,123,100,1020,1207.5,68.6514424085148,14234.8752605065
"2006/2007",2007,123,123,100,1016,1149,67.7833127826979,14594.6615758317
"2007/2008",2008,123,123,100,1115,1327,74.3211888296962,11731.9496676555
"2008/2009",2009,123,123,100,1186,1486,77.8143805646342,12010.295879367
"2009/2010",2010,123,123,100,1076,1381,76.9743078366456,13114.1941852501
"2010/2011",2011,123,123,100,974,1205.5,69.0016885692824,14066.0886857392
"2011/2012",2012,123,123,100,1170,1456.5,77.1555193762565,12165.6228828356
"2012/2013",2013,123,123,100,1054,1375,75.8382884233718,13288.3174723017
"2013/2014",2014,123,123,100,1122,1365,75.5025698102422,12770.4604197505
"2014/2015",2015,123,123,100,1179,1429.5,77.64624606231,11568.4006924115
"2015/2016",2016,123,123,100,1160,1435.5,77.1629904236083,11579.9113248072
"2016/2017",2017,123,123,100,1151,1312.5,74.9785303413876,12438.1143688872
"2017/2018",2018,123,123,100,1066,1258,68.0328124948378,14540.8196218363
"2018/2019",2019,123,123,100,1126,1398,74.3533970945684,12124.7034740818
"2019/2020",2020,123,123,100,1101,1392,77.0160617521308,11768.8909778621
"2020/2021",2021,123,123,100,1127,1450.5,73.4753508824324,12469.5341637097
"2021/2022",2022,123,123,100,1151,1413.5,78.0318399957273,11882.5591141223
"2022/2023",2023,123,123,100,979,1129.5,65.5507789633416,15460.2554941238
"2023/2024",2024,123,123,100,1209,1496.5,79.225200275735,10119.6359511612
"2024/2025",2025,123,123,100,1023,1254.5,72.8456196538036,13633.0268362425
"2025/2026",2026,123,123,100,1067,1337.5,70.9411328735232,13329.5589784971
"2026/2027",2027,123,123,100,1269,1513.5,78.6214004750586,10774.4159571561
"2027/2028",2028,123,123,100,1062,1233,69.8786525430137,12784.0637517003
"2028/2029",2029,123,123,100,983,1273,68.7641654972012,14177.4028772246
"2029/2030",2030,123,123,100,1155,1295.5,73.1635510242768,11939.9825856588
"2030/2031",2031,123,123,100,1010,1435.5,79.06574340105,12922.8222467508
"2031/2032",2032,123,123,100,970,1097,66.1383377826014,15092.632966287
"2032/2033",2033,123,123,100,1112,1512.5,77.870799883015,12240.7877583466
"2033/2034",2034,123,123,100,1172,1400,73.1860076340249,11877.0850561196
"2034/2035",2035,123,123,100,1058,1238,67.5883727194746,13749.0643643197
"2035/2036",2036,123,123,100,918,1156.5,66.8523068185264,15886.4246277008
"2036/2037",2037,123,123,100,1208,1403.5,75.5003903292495,11849.9728422239
"2037/2038",2038,123,123,100,1073,1446,80.2672660702847,11632.9202445075
"2038/2039",2039,123,123,100,1169,1396.5,75.2556430265836,11419.3526266534
"2039/2040",2040,123,123,100,1102,1394.5,74.4025969568147,12248.7131798156
"2040/2041",2041,123,123,100,1063,1326,73.5174064816965,13143.4492056551
"2041/2042",2042,123,123,100,1121,1412.5,75.0480124927672,12187.6433429951
"2042/2043",2043,123,123,100,1083,1257,70.8540254300378,13249.4451479325
"2043/2044",2044,123,123,100,1096,1278.5,72.075475912784,13756.9356362233
"2044/2045",2045,123,123,100,1060,1279,73.533059486811,13779.9601771235
"2045/2046",2046,123,123,100,956,1135.5,64.1519236676268,15079.647577554
"2046/2047",2047,123,123,100,1080,1258.5,73.8098011053826,12688.8413770772
"2047/2048",2048,123,123,100,1140,1310.5,70.8014192863538,12579.3761012126
"2048/2049",2049,123,123,100,1094,1545,75.751321748904,12626.1333414861
"2049/2050",2050,123,123,100,1036,1304,70.8666311895859,13533.6504204068
"2050/2051",2051,123,123,100,991,1344.5,73.4292698265772,12966.007433001
"2051/2052",2052,123,123,100,1112,1492,77.1453424383553,12429.9879056811
"2052/2053",2053,123,123,100,1135,1372,76.0797983395551,11866.9319078997
"2053/2054",2054,123,123,100,1006,1329,72.0110437302992,13367.8970673839
"2054/2055",2055,123,123,100,1111,1403.5,75.9261401883687,11713.1323308423
"2055/2056",2056,123,123,100,1092,1427.5,76.1083335881021,12212.4685974661
"2056/2057",2057,123,123,100,946,1200,67.0968472343075,15045.5343730198
