"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,183,-931.5,16.642042276283,35244.7148762279
"2000/2001",2001,123,123,100,170,-1178.5,15.803202156332,36913.9906968928
"2001/2002",2002,123,123,100,169,-1051,15.389471666003,36520.2961083834
"2002/2003",2003,123,123,100,191,-853.5,17.4310477599529,35391.2011942771
"2003/2004",2004,123,123,100,175,-965,16.9385665035682,35994.6225721949
"2004/2005",2005,123,123,100,102,-1121.5,12.0242999453975,36454.1322667263
"2005/2006",2006,123,123,100,186,-977,17.9994578286168,36347.5499043211
"2006/2007",2007,123,123,100,180,-842.5,18.9746714492692,34269.2555851003
"2007/2008",2008,123,123,100,160,-1381,12.628484781583,37398.6516236546
"2008/2009",2009,123,123,100,228,-1033,17.559418859755,35360.7472081945
"2009/2010",2010,123,123,100,133,-773.5,17.8996433340176,34413.5030225723
"2010/2011",2011,123,123,100,96,-1329.5,6.98431436081069,39661.6105034892
"2011/2012",2012,123,123,100,228,-985.5,18.4847715623571,35747.2061125848
"2012/2013",2013,123,123,100,205,-647,22.3980563296967,33491.1753980997
"2013/2014",2014,123,123,100,178,-1097.5,15.3902350112381,36168.8396118092
"2014/2015",2015,123,123,100,163,-995,13.9461479292443,35335.8623366025
"2015/2016",2016,123,123,100,116,-1218.5,10.0300155100025,38107.6266469711
"2016/2017",2017,123,123,100,89,-1630,8.63256445950447,39991.5600234158
"2017/2018",2018,123,123,100,85,-1335.5,11.9044901706428,37232.2577121449
"2018/2019",2019,123,123,100,330,-731.5,23.4840216961313,32947.5801192722
"2019/2020",2020,123,123,100,153,-978,10.528485004542,36257.4422841328
"2020/2021",2021,123,123,100,112,-1039.5,16.0757945775509,36162.0948405834
"2021/2022",2022,123,123,100,118,-1386.5,10.4527243319013,38232.1289596213
"2022/2023",2023,123,123,100,110,-1486,10.9576499739456,39675.1615543226
"2023/2024",2024,123,123,100,188,-809.5,17.0357660171388,34019.4270478161
"2024/2025",2025,123,123,100,194,-1156,18.1625978791185,35879.780182438
"2025/2026",2026,123,123,100,184,-1089.5,14.2352915490728,36221.7892526425
"2026/2027",2027,123,123,100,77,-1358.5,6.67951660618655,38730.5070393803
"2027/2028",2028,123,123,100,111,-1262,11.6569158964622,37212.4374343492
"2028/2029",2029,123,123,100,168,-674,19.4321127091105,33441.1240174072
"2029/2030",2030,123,123,100,126,-1401.5,8.55659104086806,39294.6032883762
"2030/2031",2031,123,123,100,154,-877,15.78844994542,34444.7865754045
"2031/2032",2032,123,123,100,93,-1265,6.46683159895485,37751.9043373214
"2032/2033",2033,123,123,100,176,-632.5,21.7495264458615,33251.9962217859
"2033/2034",2034,123,123,100,194,-1034,16.4807542305499,35977.8118015453
