"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,207,-823,17.8611059701582,34441.6774986881
"2000/2001",2001,123,123,100,192,-1062,15.1547366889336,35992.2338297714
"2001/2002",2002,123,123,100,194,-917.5,16.7348990863769,35545.9119413739
"2002/2003",2003,123,123,100,209,-743,22.9330062011978,34606.4468965556
"2003/2004",2004,123,123,100,194,-846,22.7454029119833,35151.0221671427
"2004/2005",2005,123,123,100,115,-1005,14.0395510433499,35779.8939488526
"2005/2006",2006,123,123,100,196,-874,18.0947379602614,35655.5122012155
"2006/2007",2007,123,123,100,199,-713,22.5759743294365,33602.3806876298
"2007/2008",2008,123,123,100,178,-1274,16.1220824061077,36792.0712544834
"2008/2009",2009,123,123,100,248,-924,18.1610390415321,34640.6690783044
"2009/2010",2010,123,123,100,163,-637,21.1501167435255,33303.3218188556
"2010/2011",2011,123,123,100,107,-1203.5,9.46913968221963,38832.4285331112
"2011/2012",2012,123,123,100,243,-876,20.1887102718041,34977.34647341
"2012/2013",2013,123,123,100,246,-512.5,24.0425230359733,32337.8924938606
"2013/2014",2014,123,123,100,201,-985.5,19.0139465581821,35569.1482242241
"2014/2015",2015,123,123,100,190,-879,16.0038504076473,34659.1196664537
"2015/2016",2016,123,123,100,130,-1094.5,10.4301216355989,37236.6245988884
"2016/2017",2017,123,123,100,98,-1536,8.0024142117756,39555.3044504151
"2017/2018",2018,123,123,100,92,-1226.5,11.24726132085,36806.0457704901
"2018/2019",2019,123,123,100,339,-616,24.7610211791917,32264.3305107462
"2019/2020",2020,123,123,100,175,-858,14.2613704325366,35242.8423733595
"2020/2021",2021,123,123,100,150,-918.5,19.7209390988559,35184.7755536786
"2021/2022",2022,123,123,100,127,-1257.5,12.2800860991085,37498.6540997741
"2022/2023",2023,123,123,100,116,-1395.5,11.5834667132582,39210.0306174397
"2023/2024",2024,123,123,100,226,-660.5,21.3614068337507,33008.9162579053
"2024/2025",2025,123,123,100,213,-1036,19.1160474272313,35120.8018049314
"2025/2026",2026,123,123,100,211,-978.5,17.3039722497354,35580.0986516741
"2026/2027",2027,123,123,100,96,-1240,8.64408317864957,38012.3595580608
"2027/2028",2028,123,123,100,130,-1132.5,13.5431779523805,36464.5470915381
"2028/2029",2029,123,123,100,216,-548.5,22.4058185363767,32261.0137259178
"2029/2030",2030,123,123,100,134,-1302,9.07167276160339,38702.5571370865
"2030/2031",2031,123,123,100,186,-746.5,20.8002989101709,33445.5957871904
"2031/2032",2032,123,123,100,100,-1137,12.6112377646307,36839.6102714869
"2032/2033",2033,123,123,100,218,-483,25.5430334958661,32052.2450573491
"2033/2034",2034,123,123,100,216,-926,17.1456866419657,35320.748891199
"2034/2035",2035,123,123,100,62,-1368.5,9.06121087945792,39446.1243871418
"2035/2036",2036,123,123,100,76,-1171,11.2605666616595,38221.2874373104
"2036/2037",2037,123,123,100,228,-998.5,21.7746825338038,34289.4859470464
"2037/2038",2038,123,123,100,200,-576.5,23.657772172407,32173.398095673
"2038/2039",2039,123,123,100,68,-1226.5,6.30055729091453,38134.5063776989
"2039/2040",2040,123,123,100,120,-1085,11.6362124211882,36650.5402512141
"2040/2041",2041,123,123,100,108,-1040.5,12.9893416150763,36684.4912105706
"2041/2042",2042,123,123,100,155,-903,14.4830587935547,35324.004741882
"2042/2043",2043,123,123,100,140,-983.5,11.7376459556003,36609.6570679955
"2043/2044",2044,123,123,100,125,-1018.5,14.4218074171301,36370.6493776971
"2044/2045",2045,123,123,100,54,-1427.5,5.82736398378108,39692.6325370418
"2045/2046",2046,123,123,100,117,-1509,10.4423554038275,39443.0660901563
"2046/2047",2047,123,123,100,99,-1355.5,8.14435706693598,38195.3911528504
"2047/2048",2048,123,123,100,163,-1049,13.3146507737674,36579.1360280029
"2048/2049",2049,123,123,100,302,-523,24.0826183397979,32411.5004543019
"2049/2050",2050,123,123,100,379,-861,23.8842339604425,32962.3697750811
"2050/2051",2051,123,123,100,245,-614,24.3537932041008,32783.9729501205
"2051/2052",2052,123,123,100,178,-559,21.3276431506077,32130.2497656392
"2052/2053",2053,123,123,100,236,-571,18.9049625024599,33111.5092233047
"2053/2054",2054,123,123,100,117,-808,17.3312224021149,34539.3825374553
"2054/2055",2055,123,123,100,157,-852,15.0315457620309,35440.2372938273
"2055/2056",2056,123,123,100,291,-503,22.1710653917153,32609.5643675951
"2056/2057",2057,123,123,100,160,-567,22.8688788524926,32898.6718207803
"2057/2058",2058,123,123,100,244,-587.5,15.2058402559753,32434.4087488782
"2058/2059",2059,123,123,100,132,-919.5,17.2426843253197,35610.4848622438
"2059/2060",2060,123,123,100,288,-900,16.8618857906099,34638.5999478903
"2060/2061",2061,123,123,100,173,-1007,13.6152428655662,36945.0865412159
"2061/2062",2062,123,123,100,189,-601.5,22.0096221877889,33691.886378685
"2062/2063",2063,123,123,100,131,-868.5,17.8367734664155,34862.564840517
"2063/2064",2064,123,123,100,236,-613,23.4214146220049,32608.1914797481
"2064/2065",2065,123,123,100,72,-1221,8.64203980084949,37741.2782122679
"2065/2066",2066,123,123,100,209,-964,18.9172336937499,34839.6458308054
"2066/2067",2067,123,123,100,183,-813,15.7463534409696,35270.6907123886
"2067/2068",2068,123,123,100,110,-1058,13.3721312545708,36038.2311813207
"2068/2069",2069,123,123,100,112,-1492.5,6.86967624351018,39014.6959991399
"2069/2070",2070,123,123,100,148,-1166,11.9874762878389,37462.055727616
"2070/2071",2071,123,123,100,212,-424.5,23.7289284482206,32473.6874841973
"2071/2072",2072,123,123,100,213,-840.5,17.4945896297818,35439.7720382316
"2072/2073",2073,123,123,100,369,-539,24.0602583103841,31574.1501819883
"2073/2074",2074,123,123,100,265,-65.5,30.2817510291943,28726.2299768813
"2074/2075",2075,123,123,100,203,-431.5,23.0028538776828,31899.7331489399
"2075/2076",2076,123,123,100,143,-909.5,17.0884516543633,35732.2801057026
"2076/2077",2077,123,123,100,133,-1071.5,17.7503068091146,36074.3088085428
"2077/2078",2078,123,123,100,228,-750.5,17.3606689899386,34122.7189128324
"2078/2079",2079,123,123,100,144,-806,15.2376297999028,34489.0569373127
"2079/2080",2080,123,123,100,173,-864.5,17.956788362761,34726.9979703352
"2080/2081",2081,123,123,100,252,-385.5,23.9378454535447,30880.4027452003
"2081/2082",2082,123,123,100,299,-506,27.3281909913828,31878.4476521183
"2082/2083",2083,123,123,100,118,-832.5,19.5514833179045,34069.0258971136
"2083/2084",2084,123,123,100,121,-919.5,12.417151842373,34852.166102482
"2084/2085",2085,123,123,100,215,-726,23.9813076714938,33107.380692808
"2085/2086",2086,123,123,100,84,-1409,9.57357422315158,38687.5158924907
