"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,210,-724.5,17.6609488675179,33715.9022666252
"2000/2001",2001,123,123,100,206,-964.5,17.4121712533099,35100.7222473153
"2001/2002",2002,123,123,100,207,-819.5,16.223079970892,34939.5701595083
"2002/2003",2003,123,123,100,222,-656,20.2282956865195,33956.9946933629
"2003/2004",2004,123,123,100,206,-750.5,19.9532479198561,34315.7927432023
"2004/2005",2005,123,123,100,137,-905,14.0160233278919,34798.9112733766
"2005/2006",2006,123,123,100,217,-791,18.7025901649398,34974.1523120452
"2006/2007",2007,123,123,100,192,-636.5,22.4247639858706,32899.970944682
"2007/2008",2008,123,123,100,176,-1202.5,13.7448320498336,36533.7625815446
"2008/2009",2009,123,123,100,260,-847.5,17.9550123902233,34266.8151040694
"2009/2010",2010,123,123,100,183,-544.5,24.943346601455,32523.525753685
"2010/2011",2011,123,123,100,127,-1078,9.660703633297,37667.9096577188
"2011/2012",2012,123,123,100,263,-769.5,19.2460779805292,34072.1570122244
"2012/2013",2013,123,123,100,269,-390.5,28.0432299248615,31367.9104379516
"2013/2014",2014,123,123,100,230,-895.5,18.4519449042243,34720.1460287136
"2014/2015",2015,123,123,100,199,-774.5,18.9855174545928,33828.2368483348
"2015/2016",2016,123,123,100,140,-992.5,9.69192778651836,36324.5484793177
"2016/2017",2017,123,123,100,122,-1428.5,10.0601189536662,38648.4731954676
"2017/2018",2018,123,123,100,107,-1117,14.6850154270195,35852.5386664034
"2018/2019",2019,123,123,100,350,-505,26.8864115604931,31346.6365413931
"2019/2020",2020,123,123,100,184,-750.5,15.6055436383117,34098.5854471559
"2020/2021",2021,123,123,100,157,-833.5,17.9849526101388,34722.2194832
"2021/2022",2022,123,123,100,138,-1165.5,10.8200740745302,36767.627140095
"2022/2023",2023,123,123,100,119,-1294,11.650192230894,38424.9286373616
"2023/2024",2024,123,123,100,260,-563,23.623203900278,32128.1583271776
"2024/2025",2025,123,123,100,210,-955,18.9122461512022,34794.2921808651
"2025/2026",2026,123,123,100,216,-882.5,16.1632875922936,34930.7964594201
"2026/2027",2027,123,123,100,110,-1127.5,8.55544198236714,37008.7781971749
"2027/2028",2028,123,123,100,152,-1058.5,13.3108461006085,36031.4973374032
"2028/2029",2029,123,123,100,220,-448,25.8360232639002,31666.2164074434
"2029/2030",2030,123,123,100,154,-1229,10.2793208170341,38021.1589402682
"2030/2031",2031,123,123,100,217,-653.5,23.5681561627849,32775.8691386897
"2031/2032",2032,123,123,100,112,-1019.5,14.0597342224104,35813.8537774934
"2032/2033",2033,123,123,100,249,-402.5,26.7699774684872,31290.592251129
"2033/2034",2034,123,123,100,224,-816.5,20.0907516136045,34448.6832453278
"2034/2035",2035,123,123,100,67,-1261,8.71844383913265,38410.6535822735
"2035/2036",2036,123,123,100,91,-1052.5,13.286509768924,37094.8184367619
"2036/2037",2037,123,123,100,223,-951.5,22.7300754046656,34052.0212765289
"2037/2038",2038,123,123,100,254,-461,26.7931049050433,31075.9042352214
"2038/2039",2039,123,123,100,83,-1142,8.21643580431919,37629.7601886028
"2039/2040",2040,123,123,100,154,-988.5,15.2004807888172,35666.9118030863
"2040/2041",2041,123,123,100,121,-968,14.9474458682182,36045.1691486826
"2041/2042",2042,123,123,100,172,-807.5,15.4502654185138,34343.1428080583
"2042/2043",2043,123,123,100,141,-882,13.9152069208342,35942.6708118012
"2043/2044",2044,123,123,100,148,-915.5,16.9069826968282,35530.5453675175
"2044/2045",2045,123,123,100,66,-1333.5,9.38124648723374,38685.5274948161
"2045/2046",2046,123,123,100,118,-1418.5,12.0364421735836,38905.9956394229
"2046/2047",2047,123,123,100,99,-1256,9.1699747889146,37447.11034068
"2047/2048",2048,123,123,100,170,-956,14.0324954091947,35701.5408219555
"2048/2049",2049,123,123,100,305,-461.5,23.0915492098544,32146.5973677179
"2049/2050",2050,123,123,100,379,-764,24.5681079008634,32126.8560105711
"2050/2051",2051,123,123,100,267,-528,26.4878666632353,32124.7364058578
"2051/2052",2052,123,123,100,214,-460,25.0624079160874,31293.1818396654
"2052/2053",2053,123,123,100,287,-467.5,22.2362770541793,32176.2460480798
"2053/2054",2054,123,123,100,128,-732.5,17.247460945742,33832.6069188928
"2054/2055",2055,123,123,100,174,-734,13.9756641678007,34444.1007242519
"2055/2056",2056,123,123,100,315,-418,24.4762777098642,31624.7812627247
"2056/2057",2057,123,123,100,164,-457,23.6311613852249,32013.3615792645
"2057/2058",2058,123,123,100,277,-513.5,17.194668473127,31524.6411744673
"2058/2059",2059,123,123,100,143,-833.5,17.0950630575383,34933.5313673327
"2059/2060",2060,123,123,100,286,-808.5,16.6045352810695,33880.1295314943
"2060/2061",2061,123,123,100,189,-907,12.4339088618194,36046.78778899
"2061/2062",2062,123,123,100,216,-504.5,23.1456213789527,32896.9898882536
"2062/2063",2063,123,123,100,135,-777.5,18.8819449871162,34215.5626520393
"2063/2064",2064,123,123,100,247,-518.5,23.7616591545655,31694.5339923352
"2064/2065",2065,123,123,100,81,-1132,8.31237404482317,36791.5655350853
"2065/2066",2066,123,123,100,216,-869,21.3541388321521,34099.8206073502
"2066/2067",2067,123,123,100,219,-704.5,17.9187172951458,34269.3333725026
"2067/2068",2068,123,123,100,134,-988,16.4640214665326,35387.4069983903
"2068/2069",2069,123,123,100,127,-1415.5,8.77294028393953,38248.4823796721
"2069/2070",2070,123,123,100,146,-1086.5,12.0626260035174,36941.8896131711
"2070/2071",2071,123,123,100,258,-313.5,23.417477572521,31529.3495167466
"2071/2072",2072,123,123,100,212,-720.5,17.7492923209518,34285.1715675704
"2072/2073",2073,123,123,100,359,-452.5,23.4240582262064,31154.7053055838
"2073/2074",2074,123,123,100,282,53.5,33.1062698518824,27700.2622894365
"2074/2075",2075,123,123,100,225,-332,22.629260888353,31279.8550827038
"2075/2076",2076,123,123,100,157,-822,15.2558990732487,35038.4075437915
"2076/2077",2077,123,123,100,147,-995,17.9337182312897,35722.8782408163
"2077/2078",2078,123,123,100,237,-619,21.9506774618881,32946.2749334313
"2078/2079",2079,123,123,100,144,-711.5,16.940192714444,33577.0856799409
"2079/2080",2080,123,123,100,186,-805.5,18.7725036837264,34468.038751442
