"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,209,-674,22.1449321008874,33672.1162810494
"2000/2001",2001,123,123,100,193,-912.5,16.864308181789,35438.2404106452
"2001/2002",2002,123,123,100,171,-783.5,16.7077249953817,35187.657131614
"2002/2003",2003,123,123,100,211,-617,23.9369784618901,33903.2561037908
"2003/2004",2004,123,123,100,165,-694.5,23.2552777526404,34170.9896139306
"2004/2005",2005,123,123,100,157,-859.5,18.7592115563766,34932.1540038377
"2005/2006",2006,123,123,100,189,-743,21.3220092019512,35064.6733875565
"2006/2007",2007,123,123,100,229,-598.5,24.8358839547228,32918.4176292699
"2007/2008",2008,123,123,100,176,-1233.5,17.0872933330055,37954.270062844
"2008/2009",2009,123,123,100,246,-824.5,19.4175964402786,34451.5898239766
"2009/2010",2010,123,123,100,145,-471.5,28.6530672152882,32527.4109548894
"2010/2011",2011,123,123,100,125,-1028.5,15.9537325595037,37683.1717075116
"2011/2012",2012,123,123,100,259,-735,24.213640226174,34717.3019664045
"2012/2013",2013,123,123,100,239,-330.5,31.3534538817431,31341.239473663
"2013/2014",2014,123,123,100,221,-845.5,20.8449725725344,34544.7052920018
"2014/2015",2015,123,123,100,173,-729.5,22.2413242268459,33847.3627896407
"2015/2016",2016,123,123,100,120,-974,13.2433523984125,36818.0764799349
"2016/2017",2017,123,123,100,104,-1400.5,11.1366262772028,39426.5166166727
"2017/2018",2018,123,123,100,88,-1070.5,17.7398543104285,35910.3844272117
"2018/2019",2019,123,123,100,392,-476.5,30.3983303226831,31272.3862903221
"2019/2020",2020,123,123,100,161,-685,17.099890306418,34165.8146776906
"2020/2021",2021,123,123,100,119,-800.5,20.7622916071127,34928.6876502498
"2021/2022",2022,123,123,100,131,-1158.5,12.703038346046,37637.1986210346
"2022/2023",2023,123,123,100,133,-1259,13.7557903909973,38667.2584494343
"2023/2024",2024,123,123,100,231,-517,25.6213157526049,32417.8527506841
"2024/2025",2025,123,123,100,220,-961.5,20.7451516379216,35368.2247250127
"2025/2026",2026,123,123,100,210,-837.5,17.8682126504494,34816.3320879838
"2026/2027",2027,123,123,100,96,-1121.5,13.691420895255,37528.3226327193
"2027/2028",2028,123,123,100,134,-1061.5,17.6396155101012,36944.0058749216
"2028/2029",2029,123,123,100,195,-387.5,29.0923379751637,31533.9218022926
"2029/2030",2030,123,123,100,149,-1202.5,15.0255298570264,38545.0157187898
"2030/2031",2031,123,123,100,195,-622,26.8927485853868,33220.0881796163
"2031/2032",2032,123,123,100,109,-954,16.2837566777852,35527.8386627943
"2032/2033",2033,123,123,100,211,-348,26.3616559397118,31596.8165515675
"2033/2034",2034,123,123,100,205,-773,23.8575658296359,34798.6443453506
"2034/2035",2035,123,123,100,61,-1253,10.0513286183519,38991.3532731486
"2035/2036",2036,123,123,100,92,-1016,15.8742012713706,37215.1437499942
"2036/2037",2037,123,123,100,208,-932,25.7968960818157,35157.8588986862
"2037/2038",2038,123,123,100,261,-432,30.6173107238633,31188.8924123058
"2038/2039",2039,123,123,100,52,-1170.5,8.92631707966279,38817.8046209523
"2039/2040",2040,123,123,100,140,-901,18.6417606342981,35442.8394744182
"2040/2041",2041,123,123,100,106,-932,18.8863047682868,36085.0102827307
"2041/2042",2042,123,123,100,145,-804.5,19.7214557906177,34908.0311638173
"2042/2043",2043,123,123,100,107,-855.5,16.6099400654354,36212.7958215382
"2043/2044",2044,123,123,100,141,-860.5,19.4210909793599,35842.010851643
"2044/2045",2045,123,123,100,54,-1337.5,8.97199584452653,39156.5135746188
"2045/2046",2046,123,123,100,100,-1426,11.9435306470991,40365.1414827481
"2046/2047",2047,123,123,100,92,-1223.5,9.53601597904765,37595.0989828613
"2047/2048",2048,123,123,100,144,-920,19.1493349369948,36171.9490413107
"2048/2049",2049,123,123,100,293,-438,27.4275533015164,32442.2336481661
"2049/2050",2050,123,123,100,375,-746,24.728349034275,32213.8606765559
"2050/2051",2051,123,123,100,237,-489,30.6795333330549,32612.272074813
"2051/2052",2052,123,123,100,204,-369,28.7597660307667,30753.0382516524
"2052/2053",2053,123,123,100,213,-431,25.9036931723558,32282.5776833454
"2053/2054",2054,123,123,100,118,-691,19.2689806770984,33907.1875215489
"2054/2055",2055,123,123,100,157,-684,18.811158201491,34369.5495697754
"2055/2056",2056,123,123,100,303,-349.5,28.4565612636218,31327.0359070618
"2056/2057",2057,123,123,100,159,-398,29.6464112271738,31474.837488072
"2057/2058",2058,123,123,100,232,-427.5,21.4544704640718,31139.5783885373
"2058/2059",2059,123,123,100,114,-850,17.6917463570103,35716.2202269156
"2059/2060",2060,123,123,100,274,-793,19.4916738367783,34151.9039222058
"2060/2061",2061,123,123,100,159,-885.5,16.7682014573695,36197.9205643162
"2061/2062",2062,123,123,100,214,-450.5,29.3721775224519,32558.2512287889
