"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,512,441.5,47.9403765166396,23695.2740017999
"2000/2001",2001,123,123,100,616,437.5,42.0032211436401,23243.753304122
"2001/2002",2002,123,123,100,505,405.5,42.0945423939109,24140.5095407558
"2002/2003",2003,123,123,100,516,261,39.2815340675629,25418.2584963217
"2003/2004",2004,123,123,100,477,349.5,42.9223865178447,24954.3920817125
"2004/2005",2005,123,123,100,556,527.5,50.5487561633178,23025.8745829427
"2005/2006",2006,123,123,100,519,403.5,48.5636391657092,23463.8087163026
"2006/2007",2007,123,123,100,430,418,43.291007490924,24447.2395060662
"2007/2008",2008,123,123,100,619,782,56.0057592881658,20696.9014556826
"2008/2009",2009,123,123,100,549,271,42.4695346706883,25130.0290647843
"2009/2010",2010,123,123,100,425,269,41.2103809526523,25908.7768022898
"2010/2011",2011,123,123,100,705,604,51.9216579579158,21815.1154792598
"2011/2012",2012,123,123,100,489,245.5,43.4937552635096,25336.9116547552
"2012/2013",2013,123,123,100,428,135.5,32.6478300701433,26920.9806978493
"2013/2014",2014,123,123,100,622,456.5,45.1599879589853,23192.3014776637
"2014/2015",2015,123,123,100,526,486.5,49.2682836481098,23362.610335534
"2015/2016",2016,123,123,100,557,542,47.0968828806563,22535.4889058685
"2016/2017",2017,123,123,100,758,843.5,54.9162849134322,19757.206820392
"2017/2018",2018,123,123,100,745,601.5,49.9080246545388,21597.7322773046
"2018/2019",2019,123,123,100,372,83,32.9018823434762,27136.1612478292
"2019/2020",2020,123,123,100,520,467,50.1611823152091,23443.3502020747
"2020/2021",2021,123,123,100,503,430,43.6591738096668,24028.5538470917
"2021/2022",2022,123,123,100,688,629,53.2898317737811,21788.0522632482
"2022/2023",2023,123,123,100,731,700.5,49.1103030497327,20534.6522808783
"2023/2024",2024,123,123,100,430,307.5,40.3307841798558,25737.6467295974
"2024/2025",2025,123,123,100,680,748.5,52.9270436477782,21037.439195456
"2025/2026",2026,123,123,100,627,555.5,48.5356062483252,22254.4551470038
"2026/2027",2027,123,123,100,434,416.5,41.7023762303686,23976.0107140117
"2027/2028",2028,123,123,100,653,742,53.0993866472468,21369.3298172755
"2028/2029",2029,123,123,100,469,264.5,40.8164423883748,25498.001092291
"2029/2030",2030,123,123,100,600,707.5,51.9021298027428,21327.067434005
"2030/2031",2031,123,123,100,593,399,41.1507464391768,23930.8299868694
"2031/2032",2032,123,123,100,613,650,50.7955899356473,21942.4451412009
"2032/2033",2033,123,123,100,416,50.5,30.0456391295129,27866.702349402
"2033/2034",2034,123,123,100,504,423,44.84366756332,24180.5852862438
"2034/2035",2035,123,123,100,609,739,51.5296134020446,20591.5994604505
"2035/2036",2036,123,123,100,603,528,50.2299925241716,22237.0558776185
"2036/2037",2037,123,123,100,513,657,49.5267491219831,22120.7694227733
"2037/2038",2038,123,123,100,437,102,37.5285072311499,26856.6277419096
"2038/2039",2039,123,123,100,530,631,50.1118257299977,22436.9806497572
"2039/2040",2040,123,123,100,596,474.5,47.4027876054538,23429.5345987347
"2040/2041",2041,123,123,100,497,550,45.0104999729688,23188.9000282595
"2041/2042",2042,123,123,100,475,353.5,39.853394402171,24749.3027975056
"2042/2043",2043,123,123,100,515,601,45.7973061824873,22645.5669606868
