"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,982,1294,74.6520989453315,13643.7457481384
"2000/2001",2001,123,123,100,972,1238,68.3520076536971,14377.5881564418
"2001/2002",2002,123,123,100,1136,1460,77.5748304571679,11833.3289419201
"2002/2003",2003,123,123,100,1035,1413,75.9634120758849,13223.2697434418
"2003/2004",2004,123,123,100,946,1275,71.3994614446473,14450.6211145621
"2004/2005",2005,123,123,100,1025,1285,73.8579292382443,13094.5342809861
"2005/2006",2006,123,123,100,936,1142.5,68.4736699212805,15038.889114861
"2006/2007",2007,123,123,100,958,1045.5,63.5721291383001,15666.6353535025
"2007/2008",2008,123,123,100,1017,1310.5,74.6629143884586,11798.5808365652
"2008/2009",2009,123,123,100,1125,1527,79.401657724979,12099.9881798754
"2009/2010",2010,123,123,100,965,1380.5,78.0987751239456,13755.7013873057
"2010/2011",2011,123,123,100,902,1202,69.1801924726508,14165.7260776475
"2011/2012",2012,123,123,100,1110,1391,74.2959180848459,12845.3065126068
"2012/2013",2013,123,123,100,985,1376.5,74.8928184484932,13462.5256986448
"2013/2014",2014,123,123,100,1037,1377.5,74.5978025907125,12897.7537246388
"2014/2015",2015,123,123,100,1076,1439.5,77.4916082708805,11456.0699329046
"2015/2016",2016,123,123,100,1128,1467,81.8270171104396,11334.1495695207
"2016/2017",2017,123,123,100,1088,1319.5,74.73860637709,12128.5033721942
"2017/2018",2018,123,123,100,971,1215.5,66.6690879245205,15103.3864093337
"2018/2019",2019,123,123,100,1069,1386.5,75.7801449936226,12479.3896074235
"2019/2020",2020,123,123,100,1050,1372,76.5136024361918,11915.7336635669
"2020/2021",2021,123,123,100,1019,1444,76.4886899107896,12876.8746362603
"2021/2022",2022,123,123,100,1091,1378,77.6802146273503,12137.9341140678
"2022/2023",2023,123,123,100,919,1170,63.5528977031449,15727.6746144462
"2023/2024",2024,123,123,100,1142,1479,79.5479113159222,10256.5515324497
"2024/2025",2025,123,123,100,932,1216,70.3239474115221,14165.5096720709
"2025/2026",2026,123,123,100,1036,1361.5,73.0670412012769,13445.1442057886
"2026/2027",2027,123,123,100,1202,1523.5,80.6668989238974,10846.1449853433
"2027/2028",2028,123,123,100,1009,1190.5,69.3430445933463,12878.1956597664
"2028/2029",2029,123,123,100,909,1247.5,69.3818433384736,14645.7384492042
"2029/2030",2030,123,123,100,1103,1268.5,72.7538481747056,11800.1686943816
"2030/2031",2031,123,123,100,959,1416.5,78.718181354749,13157.6029737312
"2031/2032",2032,123,123,100,897,1026.5,64.0253037080943,15806.1882639676
