"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,240,121.5,35.1413796602386,27475.019518756
"2000/2001",2001,123,123,100,322,264.5,37.1074535276821,26403.3863197592
"2001/2002",2002,123,123,100,168,81.5,33.0640027751118,28156.7014934615
"2002/2003",2003,123,123,100,209,-2,32.5181329651543,28638.9340099419
"2003/2004",2004,123,123,100,160,62,37.102425001471,28190.3265329001
"2004/2005",2005,123,123,100,131,185,43.5070655796728,26951.4893498939
"2005/2006",2006,123,123,100,248,189.5,38.1576965343536,26617.6519366396
"2006/2007",2007,123,123,100,149,108,30.7249381259354,27588.6462014673
"2007/2008",2008,123,123,100,115,305.5,40.5007288055081,25815.0173435074
"2008/2009",2009,123,123,100,223,29.5,39.8567911873533,28458.3325059912
"2009/2010",2010,123,123,100,99,-135,32.1798204833684,29859.4858071618
"2010/2011",2011,123,123,100,254,386.5,44.6285142833426,25501.636880144
"2011/2012",2012,123,123,100,248,-93.5,27.843671706367,29348.6180332268
"2012/2013",2013,123,123,100,195,-164.5,25.7867706070369,30238.5288858563
"2013/2014",2014,123,123,100,244,189,44.0429985639935,26764.4724081256
"2014/2015",2015,123,123,100,174,83,33.1980114504004,28083.5710042196
"2015/2016",2016,123,123,100,273,158,38.2167254827419,26932.365178867
"2016/2017",2017,123,123,100,265,534.5,48.3626425120398,23951.5695599306
"2017/2018",2018,123,123,100,387,425,48.1374856269342,24611.0076662977
"2018/2019",2019,123,123,100,129,-209,26.1521219684786,30584.9698988996
"2019/2020",2020,123,123,100,190,34,36.7942804033419,28007.5265248381
"2020/2021",2021,123,123,100,135,75.5,38.8738715535247,28002.9447370665
"2021/2022",2022,123,123,100,240,242,40.3604720559607,26372.9721858217
"2022/2023",2023,123,123,100,231,511,46.7516679514786,23910.8401001375
"2023/2024",2024,123,123,100,76,-202,29.0558639974171,30573.6637388743
"2024/2025",2025,123,123,100,175,412,43.5889307811939,25104.0005535102
"2025/2026",2026,123,123,100,295,245,39.7225645451372,26043.0737538389
"2026/2027",2027,123,123,100,173,67,33.1945557690335,28039.5375930839
"2027/2028",2028,123,123,100,117,319,41.3104726115012,25882.409256849
"2028/2029",2029,123,123,100,167,0,32.1728086622622,28826.6185118672
"2029/2030",2030,123,123,100,168,292,40.8945451344659,26056.9681807794
"2030/2031",2031,123,123,100,237,80,38.4526376005756,27939.1222033268
"2031/2032",2032,123,123,100,169,336.5,43.0715086466541,25706.8337452435
"2032/2033",2033,123,123,100,217,-304.5,26.2113068170163,31451.7953804433
"2033/2034",2034,123,123,100,102,51,35.1896052824584,28365.29854366
"2034/2035",2035,123,123,100,293,395,44.4294990830404,24560.8802002589
"2035/2036",2036,123,123,100,308,349,43.4393416143153,25041.7700021211
"2036/2037",2037,123,123,100,135,213,37.9154834190779,26704.5389885418
"2037/2038",2038,123,123,100,147,-246,31.7196345266493,30896.366726731
"2038/2039",2039,123,123,100,130,206.5,36.8139052940874,27028.5948335072
"2039/2040",2040,123,123,100,195,179.5,40.261358866811,27234.3756195055
"2040/2041",2041,123,123,100,82,156.5,36.80187531755,27281.6929984344
"2041/2042",2042,123,123,100,191,-61,28.6363580078648,29247.2717137253
"2042/2043",2043,123,123,100,121,198,39.2652036871234,26810.462344625
"2043/2044",2044,123,123,100,283,256.5,40.7629644244728,26310.2497009756
"2044/2045",2045,123,123,100,239,498,47.7120899824904,24301.6740502249
"2045/2046",2046,123,123,100,419,639,48.1215678171238,22835.5806425782
"2046/2047",2047,123,123,100,121,381,38.146313347748,25446.5514605744
"2047/2048",2048,123,123,100,228,149.5,39.3430876487621,27430.2890935056
"2048/2049",2049,123,123,100,155,-32.5,32.1384601113675,28814.5007352782
"2049/2050",2050,123,123,100,208,59,33.648581837198,27764.7622760376
"2050/2051",2051,123,123,100,220,60,34.6537550413959,27901.6807069285
"2051/2052",2052,123,123,100,67,-213.5,28.9659052585757,30519.1795917787
"2052/2053",2053,123,123,100,208,-125,33.9317517512832,29786.626776115
"2053/2054",2054,123,123,100,127,133,38.8745684463806,27645.2063854355
"2054/2055",2055,123,123,100,92,-79,30.993197721145,29470.5772143351
"2055/2056",2056,123,123,100,146,-279.5,25.3084366000899,30979.0811830889
"2056/2057",2057,123,123,100,140,22,29.9658623974619,28738.5987982824
"2057/2058",2058,123,123,100,158,-433,27.5451773626319,32524.9335960383
"2058/2059",2059,123,123,100,179,19,27.8495508412957,28233.711328648
"2059/2060",2060,123,123,100,138,-77.5,31.0539611176059,29514.571004495
"2060/2061",2061,123,123,100,220,101.5,36.4934265832362,27393.6681070914
"2061/2062",2062,123,123,100,155,-62.5,31.5541809621054,29187.2499077953
"2062/2063",2063,123,123,100,162,167,35.5628080736165,27184.6090503437
"2063/2064",2064,123,123,100,133,-190.5,24.0937348936704,30459.6498098131
"2064/2065",2065,123,123,100,190,208,37.0869969590444,26829.3548255693
"2065/2066",2066,123,123,100,186,102.5,35.3742353861121,27702.311002681
"2066/2067",2067,123,123,100,103,-129.5,30.1993178425651,30047.3038018625
"2067/2068",2068,123,123,100,236,280,35.9062863791569,26253.7611169629
"2068/2069",2069,123,123,100,175,421.5,43.016778495673,24954.7936457498
"2069/2070",2070,123,123,100,144,273.5,38.5115341363999,26347.9580250345
"2070/2071",2071,123,123,100,76,-294,25.8316478792613,31206.8303024489
"2071/2072",2072,123,123,100,191,-164.5,28.7768440261898,30335.4806095641
"2072/2073",2073,123,123,100,41,-344,18.1277539057078,31949.3763852026
"2073/2074",2074,123,123,100,116,-544.5,23.2380619308874,33594.7709340248
"2074/2075",2075,123,123,100,119,-53,27.2984483750015,29082.5330558456
"2075/2076",2076,123,123,100,185,112,36.7251869587894,27475.1398918405
"2076/2077",2077,123,123,100,262,256,38.4072727372691,25963.9443858135
"2077/2078",2078,123,123,100,144,-102.5,31.6050275540811,29800.907786997
"2078/2079",2079,123,123,100,158,14.5,34.1965448405904,28403.8838024288
"2079/2080",2080,123,123,100,102,31.5,30.1761153481857,28369.3397500366
"2080/2081",2081,123,123,100,152,-338.5,25.4894332034391,31763.069914218
"2081/2082",2082,123,123,100,117,-226.5,27.3841632402396,30605.3520262633
"2082/2083",2083,123,123,100,198,217.5,41.5857024117495,26801.6681975741
"2083/2084",2084,123,123,100,120,174,34.703798028625,27300.6219033301
"2084/2085",2085,123,123,100,260,161.5,36.1596109315237,27054.7105775457
"2085/2086",2086,123,123,100,261,476,47.2820490866934,24377.4467507396
"2086/2087",2087,123,123,100,36,-547.5,24.2081043988287,33335.4473875742
"2087/2088",2088,123,123,100,274,244.5,39.9697102666264,26585.9519062601
"2088/2089",2089,123,123,100,235,40.5,41.6686558127763,28302.3935546204
"2089/2090",2090,123,123,100,125,74,33.9173873653217,27884.5814477149
"2090/2091",2091,123,123,100,224,100.5,35.6514096216515,27664.6767897643
"2091/2092",2092,123,123,100,107,12.5,35.4692417194847,28774.9894010294
"2092/2093",2093,123,123,100,397,798,57.9463165072953,21611.6848961543
"2093/2094",2094,123,123,100,279,487.5,47.9135291750913,24081.38937301
"2094/2095",2095,123,123,100,102,-97,30.2109327074586,29464.9775896985
"2095/2096",2096,123,123,100,90,-229,30.0770539976438,30801.6093032453
"2096/2097",2097,123,123,100,221,235.5,36.8218598035642,26528.8205248248
"2097/2098",2098,123,123,100,318,284,45.0698499235718,25978.7289059572
"2098/2099",2099,123,123,100,173,-98.5,30.3059963440087,29663.510153003
"2099/2100",2100,123,123,100,204,427.5,39.6790062103723,24794.034390239
