"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,141,-174.5,25.887793466286,30348.2948434849
"2000/2001",2001,123,123,100,231,-40.5,34.8174037073185,29162.4514578221
"2001/2002",2002,123,123,100,104,-243.5,28.5064053605599,31103.1956172481
"2002/2003",2003,123,123,100,126,-296.5,27.491201386026,31567.0339512692
"2003/2004",2004,123,123,100,83,-261.5,27.8264681531911,31021.7165180102
"2004/2005",2005,123,123,100,89,-121,31.9745551162802,29869.367979736
"2005/2006",2006,123,123,100,199,-114,32.8408381128928,29408.5567549865
"2006/2007",2007,123,123,100,80,-200.5,21.7970777017924,30628.4850525706
"2007/2008",2008,123,123,100,55,-19,30.8213766413077,28735.1560268969
"2008/2009",2009,123,123,100,121,-272,30.1028254661506,31185.0393601442
"2009/2010",2010,123,123,100,70,-454.5,20.4612053906254,32784.6533487563
"2010/2011",2011,123,123,100,158,62,38.081910122405,28317.0679337273
"2011/2012",2012,123,123,100,179,-371.5,27.5545561954492,31959.9080836968
"2012/2013",2013,123,123,100,120,-491,21.6774065105773,33130.7032352332
"2013/2014",2014,123,123,100,146,-126,34.1751349514809,29525.1208314141
"2014/2015",2015,123,123,100,88,-230.5,27.7346306969964,30991.6614820354
"2015/2016",2016,123,123,100,193,-131.5,34.5387316480683,29812.3005026611
"2016/2017",2017,123,123,100,173,212.5,41.0189958780135,26842.8639836712
"2017/2018",2018,123,123,100,271,155.5,43.1255002902369,27159.6631351924
"2018/2019",2019,123,123,100,94,-547,21.4719357331661,33575.2124100886
"2019/2020",2020,123,123,100,93,-232.5,30.2671787311227,30688.8880184982
"2020/2021",2021,123,123,100,76,-251,25.8167409610001,30937.4225053615
"2021/2022",2022,123,123,100,162,-51,36.3594140546704,29000.4800096168
"2022/2023",2023,123,123,100,172,208.5,37.8356510725654,26783.7390266508
"2023/2024",2024,123,123,100,34,-507,21.1319360667709,33542.0676024607
"2024/2025",2025,123,123,100,116,74.5,36.3659779515282,28056.0541017447
"2025/2026",2026,123,123,100,215,-2.5,35.3910372589714,28783.4871528586
"2026/2027",2027,123,123,100,116,-243,26.2572720513089,30915.2360188253
"2027/2028",2028,123,123,100,66,-27,31.4289956269148,28927.7214922779
"2028/2029",2029,123,123,100,104,-336.5,24.3427512285576,31699.4466611263
"2029/2030",2030,123,123,100,109,-22,33.62924079634,29063.4082101351
"2030/2031",2031,123,123,100,141,-225,30.8991875511679,30777.1317003057
"2031/2032",2032,123,123,100,101,-0.5,31.3570889918547,28661.8660164978
"2032/2033",2033,123,123,100,114,-605.5,22.9468641469807,34182.6330747209
"2033/2034",2034,123,123,100,62,-299.5,24.3802692799879,31309.1129423431
"2034/2035",2035,123,123,100,221,128,32.9502699110972,27342.4120271476
"2035/2036",2036,123,123,100,231,59.5,36.0713491285305,27815.994833257
"2036/2037",2037,123,123,100,74,-107.5,26.1625322174948,29689.3814336257
"2037/2038",2038,123,123,100,112,-544.5,22.0474252335541,33691.5326969661
"2038/2039",2039,123,123,100,70,-152,30.5547736745666,29989.7880038284
"2039/2040",2040,123,123,100,128,-137.5,33.9072671689939,30125.896120457
"2040/2041",2041,123,123,100,44,-171,25.1805705292679,30373.3556964761
"2041/2042",2042,123,123,100,98,-357.5,24.5102629979629,32022.9025633782
"2042/2043",2043,123,123,100,82,-120,28.2280711649175,29801.8970556529
"2043/2044",2044,123,123,100,199,-51,35.067772426303,29130.3013915326
"2044/2045",2045,123,123,100,162,193,40.9741401599811,27088.1716203215
"2045/2046",2046,123,123,100,235,350.5,45.0288390483124,25332.0705196122
"2046/2047",2047,123,123,100,52,24.5,30.0816841578842,28506.2798191672
"2047/2048",2048,123,123,100,131,-136,33.8632235802888,30093.2970320117
"2048/2049",2049,123,123,100,90,-353,26.4355278608939,31675.6984906849
"2049/2050",2050,123,123,100,145,-226,28.848435308352,30520.349818497
"2050/2051",2051,123,123,100,132,-247,28.2196567057301,30529.2657614881
"2051/2052",2052,123,123,100,27,-533.5,23.1626793856319,33490.6588470703
"2052/2053",2053,123,123,100,125,-407,29.4530800563166,32337.1149282111
"2053/2054",2054,123,123,100,64,-208.5,30.0439647709854,30555.0699915243
"2054/2055",2055,123,123,100,58,-416,27.1465307972348,32513.7493226985
"2055/2056",2056,123,123,100,100,-584,23.6792053878216,33865.2969597736
"2056/2057",2057,123,123,100,88,-310,22.1216449427261,31696.9629399218
"2057/2058",2058,123,123,100,105,-718.5,24.7042220320261,35231.4633061029
"2058/2059",2059,123,123,100,129,-277,22.4276170197536,31124.7832213035
"2059/2060",2060,123,123,100,74,-425,23.6872900537587,32532.5382028138
"2060/2061",2061,123,123,100,157,-180.5,30.1972806528029,30228.1957260789
"2061/2062",2062,123,123,100,114,-386,23.8867196935914,32085.9105104608
"2062/2063",2063,123,123,100,100,-145.5,24.8316250910862,30095.807643082
"2063/2064",2064,123,123,100,72,-526.5,20.7209391633041,33436.3996143835
"2064/2065",2065,123,123,100,107,-108,28.4675025693664,29679.6014818335
"2065/2066",2066,123,123,100,141,-209,25.6789412561225,30614.4080267521
"2066/2067",2067,123,123,100,76,-467.5,24.1350703964254,33049.4563008649
"2067/2068",2068,123,123,100,131,-17.5,29.4876878567125,29128.6719656726
"2068/2069",2069,123,123,100,93,94.5,32.6448298517785,27810.1457066629
"2069/2070",2070,123,123,100,75,-75,29.7171161571414,29354.4972510394
"2070/2071",2071,123,123,100,45,-605,18.0516701354413,34137.9172582701
"2071/2072",2072,123,123,100,110,-471.5,24.7972246100744,33074.6853315439
"2072/2073",2073,123,123,100,22,-710.5,15.1125501740053,35066.5021773223
"2073/2074",2074,123,123,100,61,-852,16.7943704140621,36411.2837790474
"2074/2075",2075,123,123,100,83,-389,20.0235171436861,32033.7630653381
"2075/2076",2076,123,123,100,106,-209,29.7752098737747,30402.3671816941
"2076/2077",2077,123,123,100,215,-58,29.6444579299018,28984.8368156273
"2077/2078",2078,123,123,100,69,-432,23.2415150376241,32662.9756910261
"2078/2079",2079,123,123,100,97,-269.5,30.0636972630141,31260.9413112178
"2079/2080",2080,123,123,100,61,-336.5,25.153505526449,31420.2840333264
"2080/2081",2081,123,123,100,103,-634,20.4944670570062,34537.0910760015
"2081/2082",2082,123,123,100,66,-552,17.970620520372,33547.0928640831
"2082/2083",2083,123,123,100,80,-95.5,31.1492612872985,29627.6337240599
"2083/2084",2084,123,123,100,47,-143.5,27.8547175059093,30314.8401352633
"2084/2085",2085,123,123,100,201,-152,29.9710721964202,29856.6706302874
"2085/2086",2086,123,123,100,148,180.5,39.4542483936234,27157.4874333516
"2086/2087",2087,123,123,100,17,-835.5,15.0816667918079,36209.2427834757
"2087/2088",2088,123,123,100,184,-60.5,35.3919546830552,29367.7134311441
"2088/2089",2089,123,123,100,129,-246,32.7470812807792,30911.9551122095
"2089/2090",2090,123,123,100,83,-249,23.095063159597,30935.682608312
"2090/2091",2091,123,123,100,139,-194,31.175191204115,30358.6269996725
"2091/2092",2092,123,123,100,54,-330,24.1544102188782,31748.3856487442
"2092/2093",2093,123,123,100,256,523.5,53.073419078753,24225.2467334867
"2093/2094",2094,123,123,100,166,206,39.1300891794535,26875.54609509
"2094/2095",2095,123,123,100,64,-413.5,21.5067058033633,32428.3393494021
"2095/2096",2096,123,123,100,27,-556,23.1188678516346,33737.9804234989
"2096/2097",2097,123,123,100,152,-83.5,32.8500918011969,29406.3165634423
"2097/2098",2098,123,123,100,225,1.5,39.11622328673,28683.8679110762
"2098/2099",2099,123,123,100,111,-419.5,26.3996374790913,32480.1360667832
"2099/2100",2100,123,123,100,136,109,33.404532706063,27793.3515096325
