"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,86,-551,20.0672985474562,34051.1287892488
"2000/2001",2001,123,123,100,131,-479.5,27.8293683759776,32952.3717255912
"2001/2002",2002,123,123,100,56,-719,19.1366201333934,35074.4828959226
"2002/2003",2003,123,123,100,57,-685.5,19.2296272124201,35271.8547140565
"2003/2004",2004,123,123,100,45,-728,19.0871044304078,35018.4422049974
"2004/2005",2005,123,123,100,43,-510.5,21.0682859984048,33391.5856922232
"2005/2006",2006,123,123,100,103,-471.5,23.3186279635171,32953.5464886866
"2006/2007",2007,123,123,100,28,-637,13.8470389693013,34653.178048878
"2007/2008",2008,123,123,100,31,-477.5,21.1187450271599,32929.407955693
"2008/2009",2009,123,123,100,60,-656,19.9093524077634,34726.6192481027
"2009/2010",2010,123,123,100,45,-848,13.0167804770761,36344.2104404659
"2010/2011",2011,123,123,100,60,-331.5,28.2338463129806,31714.8476237196
"2011/2012",2012,123,123,100,117,-762,23.2404342962679,35709.8089888401
"2012/2013",2013,123,123,100,69,-863.5,17.580802192571,36716.7008484169
"2013/2014",2014,123,123,100,93,-493.5,29.7562718825101,32805.7548061067
"2014/2015",2015,123,123,100,54,-692,20.900631967286,34759.4651137108
"2015/2016",2016,123,123,100,136,-529.5,27.7656958544491,33505.3567057906
"2016/2017",2017,123,123,100,91,-216,35.9874911010031,30559.7840922147
"2017/2018",2018,123,123,100,161,-205.5,34.7257116711218,30563.7185826777
"2018/2019",2019,123,123,100,50,-953,15.028843038619,37274.0881285644
"2019/2020",2020,123,123,100,55,-611.5,22.2560294516594,34393.7774336347
"2020/2021",2021,123,123,100,39,-671,15.6605875287785,34870.2685557725
"2021/2022",2022,123,123,100,98,-452,29.9940218897236,32605.0334120626
"2022/2023",2023,123,123,100,90,-233.5,30.5501429212222,30472.604751775
"2023/2024",2024,123,123,100,5,-941.5,16.1184711114978,37322.0811975449
"2024/2025",2025,123,123,100,50,-376.5,25.0852792493284,32007.1165431058
"2025/2026",2026,123,123,100,156,-375,27.1707105566467,32342.8167121192
"2026/2027",2027,123,123,100,78,-644.5,19.2792612499197,34487.9148865389
"2027/2028",2028,123,123,100,33,-470.5,19.4230687394395,33011.6411489262
"2028/2029",2029,123,123,100,42,-725.5,17.114500312662,35421.0811880729
"2029/2030",2030,123,123,100,48,-445.5,21.0475207671602,32927.349560929
"2030/2031",2031,123,123,100,91,-617.5,25.0786982320255,34334.6846470693
"2031/2032",2032,123,123,100,49,-422,24.9147019413467,32544.4665579265
"2032/2033",2033,123,123,100,66,-983,19.0600246130942,37615.3903616215
"2033/2034",2034,123,123,100,24,-717,19.0485643460918,34979.6752971071
"2034/2035",2035,123,123,100,154,-232.5,21.9098169970745,31123.358103924
"2035/2036",2036,123,123,100,147,-299.5,29.0443862484016,31311.5707248687
"2036/2037",2037,123,123,100,50,-552.5,21.4025096176748,33714.5961386794
"2037/2038",2038,123,123,100,62,-905,17.879259007388,36953.344366747
"2038/2039",2039,123,123,100,36,-578.5,17.8016639383578,33849.5263844868
"2039/2040",2040,123,123,100,74,-515.5,28.7196945194634,33646.2919936571
"2040/2041",2041,123,123,100,17,-608,17.0925956988187,34328.0405985685
"2041/2042",2042,123,123,100,62,-770.5,20.5986954081401,35577.576387926
"2042/2043",2043,123,123,100,21,-572,17.911112085694,33760.7437252197
"2043/2044",2044,123,123,100,118,-466,27.3865783564563,32874.4503448484
"2044/2045",2045,123,123,100,75,-205.5,31.1967482047496,30569.8245523637
"2045/2046",2046,123,123,100,151,-75,34.9206532601963,29143.9296640214
"2046/2047",2047,123,123,100,18,-407.5,18.1065720171616,32507.7174114892
"2047/2048",2048,123,123,100,61,-543.5,27.023609282111,33719.5787343066
"2048/2049",2049,123,123,100,55,-786,16.5514011250477,35646.5015454777
"2049/2050",2050,123,123,100,125,-653,21.7432342444758,34284.8783428511
"2050/2051",2051,123,123,100,64,-642,21.4850293712577,34289.8754592482
"2051/2052",2052,123,123,100,9,-926,14.0658771598096,37026.3649497023
"2052/2053",2053,123,123,100,60,-748,23.8684054050593,35498.194093735
"2053/2054",2054,123,123,100,15,-583.5,20.0953642781951,34184.7110718386
"2054/2055",2055,123,123,100,18,-814,18.1336958318393,36373.0897275992
"2055/2056",2056,123,123,100,54,-950.5,14.179544495232,37378.340977883
"2056/2057",2057,123,123,100,26,-718,15.1232617963392,35357.5926326392
"2057/2058",2058,123,123,100,62,-1068,18.9801966946684,38498.7685513869
"2058/2059",2059,123,123,100,83,-684,13.99912784752,35019.6882696357
"2059/2060",2060,123,123,100,49,-878.5,17.1042897985885,36448.3106194977
"2060/2061",2061,123,123,100,121,-568.5,24.4602011203294,33902.2799406061
"2061/2062",2062,123,123,100,65,-763.5,15.686770060277,35730.3042274853
"2062/2063",2063,123,123,100,70,-569,19.1074963894125,34008.1183698792
"2063/2064",2064,123,123,100,41,-923.5,15.0649395888233,37093.2126963958
"2064/2065",2065,123,123,100,70,-539,20.9822009242062,33483.3013818096
"2065/2066",2066,123,123,100,112,-641,17.0252314529346,34490.5384795731
"2066/2067",2067,123,123,100,31,-869,17.4015754860379,36655.5669362256
"2067/2068",2068,123,123,100,75,-458,21.1884029104867,32990.3550772592
"2068/2069",2069,123,123,100,48,-335,25.9242532676251,31716.6225307314
"2069/2070",2070,123,123,100,40,-490.5,20.2535750359039,33150.2010259982
"2070/2071",2071,123,123,100,16,-1018.5,10.062132827099,37813.3482693657
"2071/2072",2072,123,123,100,45,-873.5,16.9922717206291,36684.3827244081
"2072/2073",2073,123,123,100,3,-1152,7.0304439973736,39115.438872952
"2073/2074",2074,123,123,100,43,-1226,12.0369489004722,39806.2900473159
"2074/2075",2075,123,123,100,47,-832.5,10.9812342038458,36035.1440575905
"2075/2076",2076,123,123,100,49,-616.5,20.9981374923163,34258.1346186809
"2076/2077",2077,123,123,100,122,-452,21.4950385841237,32700.7178458516
"2077/2078",2078,123,123,100,35,-805.5,18.850837523024,36163.3979010638
"2078/2079",2079,123,123,100,54,-697.5,22.724419306669,34979.9410691913
"2079/2080",2080,123,123,100,35,-736,14.5057993256462,35408.7690502871
"2080/2081",2081,123,123,100,60,-991.5,15.9900140423033,37734.5584644936
"2081/2082",2082,123,123,100,47,-957.5,11.7017771780711,37264.4150442816
"2082/2083",2083,123,123,100,45,-512,25.1041769412723,33095.4375044182
"2083/2084",2084,123,123,100,21,-594,15.1132406821139,34327.9575239047
"2084/2085",2085,123,123,100,119,-534.5,22.7000318147188,33608.5250352398
"2085/2086",2086,123,123,100,100,-257.5,29.2091361057628,30949.8364595287
"2086/2087",2087,123,123,100,7,-1274,8.05859761629927,40088.4561975896
"2087/2088",2088,123,123,100,91,-474,26.5933800146786,32888.8579395413
"2088/2089",2089,123,123,100,79,-585.5,27.0387137938644,33731.1476178598
"2089/2090",2090,123,123,100,44,-681,16.0559208624575,34955.8919993062
"2090/2091",2091,123,123,100,92,-582,22.793314402868,33985.0523917899
"2091/2092",2092,123,123,100,27,-735,17.0527840068944,35554.1224368177
"2092/2093",2093,123,123,100,137,92,42.779333442516,27798.9708619136
"2093/2094",2094,123,123,100,83,-218,32.2473713483414,30703.6917047221
"2094/2095",2095,123,123,100,45,-814.5,12.5940900731603,36217.7751103453
"2095/2096",2096,123,123,100,10,-951,14.0984158621222,37327.6153635401
"2096/2097",2097,123,123,100,84,-515.5,22.3973574756506,33031.1366425753
"2097/2098",2098,123,123,100,110,-366,30.0415959003853,31990.654425079
"2098/2099",2099,123,123,100,64,-785,18.5162257804345,35758.205737995
"2099/2100",2100,123,123,100,69,-308.5,23.9982208971937,31736.5930938162
