"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,312,508.5,50.3748888825214,24116.1199892066
"2000/2001",2001,123,123,100,268,289,44.7350539849197,26035.1431627356
"2001/2002",2002,123,123,100,304,414,47.8673635968231,24955.0746015264
"2002/2003",2003,123,123,100,341,527.5,50.4366610564262,23790.9403147143
"2003/2004",2004,123,123,100,312,511,51.9924352506401,24005.0370586159
"2004/2005",2005,123,123,100,236,305,43.2834815579942,25922.8110023425
"2005/2006",2006,123,123,100,317,385.5,46.7608423155842,24995.5582608517
"2006/2007",2007,123,123,100,336,476.5,46.8628210998979,24099.914531603
"2007/2008",2008,123,123,100,240,-72.5,34.5452702157521,29042.8479449782
"2008/2009",2009,123,123,100,335,391,48.6403608586847,24737.3482840199
"2009/2010",2010,123,123,100,286,709,56.8567905483663,22419.2748270417
"2010/2011",2011,123,123,100,158,313.5,39.3652838457921,25900.6459061098
"2011/2012",2012,123,123,100,360,388,45.2084913526089,24895.4099747904
"2012/2013",2013,123,123,100,377,716.5,53.1069354330898,21959.4432568143
"2013/2014",2014,123,123,100,259,292.5,43.1699835107962,25937.5432898502
"2014/2015",2015,123,123,100,266,317,43.8171079826016,25695.7035600306
"2015/2016",2016,123,123,100,189,211.5,39.3953668927397,26780.6230327024
"2016/2017",2017,123,123,100,129,-142.5,30.0630846157748,29878.0005775692
"2017/2018",2018,123,123,100,177,63,39.5905001830203,28011.5589657438
"2018/2019",2019,123,123,100,394,567.5,49.4386350737852,23236.895438618
"2019/2020",2020,123,123,100,247,409,43.3667149021123,24840.7873146753
"2020/2021",2021,123,123,100,297,416,49.0305315109081,24846.4630474444
"2021/2022",2022,123,123,100,179,46,38.8801301105784,28201.2470120522
"2022/2023",2023,123,123,100,185,167,40.6744495053335,27070.6453314335
"2023/2024",2024,123,123,100,318,420,47.3191900240563,24913.1391410534
"2024/2025",2025,123,123,100,302,224,40.1996908596921,26580.6647236929
"2025/2026",2026,123,123,100,283,306.5,42.1189045703989,25762.5869883713
"2026/2027",2027,123,123,100,143,164.5,39.1469173485573,27291.0189556368
"2027/2028",2028,123,123,100,227,106.5,39.6568223751308,27598.675913523
"2028/2029",2029,123,123,100,311,725.5,61.8297944009207,21858.3817316131
"2029/2030",2030,123,123,100,209,25.5,35.5295206831315,28261.0487029683
"2030/2031",2031,123,123,100,283,525,51.1507843044371,23857.6980795008
"2031/2032",2032,123,123,100,139,277.5,45.4561732633504,25820.1509540114
"2032/2033",2033,123,123,100,333,791,57.8691044479283,21504.3265967923
"2033/2034",2034,123,123,100,316,331,43.1814910529567,25515.0911886799
"2034/2035",2035,123,123,100,131,29,35.2525743618955,28435.299686973
"2035/2036",2036,123,123,100,186,426,47.0391456171731,25098.7971915836
"2036/2037",2037,123,123,100,333,155.5,42.3505857179709,27317.7078975821
"2037/2038",2038,123,123,100,315,576.5,50.8934972032398,23357.7386801718
"2038/2039",2039,123,123,100,172,143.5,40.4526564645062,27463.5472896993
"2039/2040",2040,123,123,100,208,294.5,40.5550430853164,26081.1987466337
"2040/2041",2041,123,123,100,186,326.5,46.503870221256,25747.5812059706
"2041/2042",2042,123,123,100,220,414,43.7636790072293,25019.8271773914
"2042/2043",2043,123,123,100,241,367,44.3767161730661,25541.7445968781
"2043/2044",2044,123,123,100,251,375,46.4496473347654,25405.4563014572
"2044/2045",2045,123,123,100,129,122,38.0464509035519,27755.5089040957
"2045/2046",2046,123,123,100,174,-50.5,34.740067771505,29261.4988568109
"2046/2047",2047,123,123,100,140,28.5,38.2638931399929,28644.8902913695
"2047/2048",2048,123,123,100,270,284,42.7928445534912,25866.493454664
"2048/2049",2049,123,123,100,472,655,56.1868481711654,22534.7509121504
"2049/2050",2050,123,123,100,446,281.5,42.4548728842647,25546.1289907899
"2050/2051",2051,123,123,100,373,549.5,51.4378521702574,23606.5597492559
"2051/2052",2052,123,123,100,300,708,55.0305062828679,22212.990653675
"2052/2053",2053,123,123,100,329,671.5,55.7968384422988,22807.543782006
"2053/2054",2054,123,123,100,257,512,50.0299809712674,23684.7751364736
"2054/2055",2055,123,123,100,258,509,48.5043964602128,24076.938795995
"2055/2056",2056,123,123,100,380,724,55.5210928362039,21852.3420499554
"2056/2057",2057,123,123,100,348,712.5,56.1976058470664,22224.9172646683
"2057/2058",2058,123,123,100,286,585.5,54.5674871933934,23194.1157946978
"2058/2059",2059,123,123,100,238,324.5,44.6020797442584,25981.917727638
"2059/2060",2060,123,123,100,356,321,44.8457431916959,25382.1006038506
"2060/2061",2061,123,123,100,285,405,46.3814421722154,24805.2346907277
"2061/2062",2062,123,123,100,375,778.5,55.3149174887981,21660.4052856248
"2062/2063",2063,123,123,100,224,321.5,47.7701713387851,25721.4440351501
"2063/2064",2064,123,123,100,349,687,55.7989972438045,22350.5974667342
"2064/2065",2065,123,123,100,118,127,36.7336202668916,27657.9724537283
"2065/2066",2066,123,123,100,296,233,43.4292147267261,26316.5313540921
"2066/2067",2067,123,123,100,249,612,51.0245235391872,23067.0739665404
"2067/2068",2068,123,123,100,212,227.5,43.3817866526692,26643.3471229319
"2068/2069",2069,123,123,100,157,-165.5,33.4259916816945,29932.4388118871
"2069/2070",2070,123,123,100,215,246.5,40.8167254778145,26455.2886146633
"2070/2071",2071,123,123,100,360,842.5,56.637040899172,21266.8127893172
"2071/2072",2072,123,123,100,296,515.5,47.3822786908645,23913.4239520878
"2072/2073",2073,123,123,100,459,549.5,50.6488798484875,23203.7399124904
"2073/2074",2074,123,123,100,396,1042.5,63.0357619846573,19222.1379126906
"2074/2075",2075,123,123,100,380,839,56.9065969962303,21213.9465999883
"2075/2076",2076,123,123,100,249,409,45.5759199570193,24953.3945080545
"2076/2077",2077,123,123,100,260,201,45.916278456767,27166.943534594
"2077/2078",2078,123,123,100,344,665,53.8103900460537,22551.1900620628
"2078/2079",2079,123,123,100,274,455.5,49.3055211690225,24472.0364312325
"2079/2080",2080,123,123,100,264,415.5,50.0968627989469,24758.8623669483
"2080/2081",2081,123,123,100,387,773,55.5034144480032,21618.3874040805
"2081/2082",2082,123,123,100,394,738.5,55.8506232354002,22019.492911255
"2082/2083",2083,123,123,100,207,478.5,45.9026879571729,24502.7293182909
"2083/2084",2084,123,123,100,233,275,43.9217956598995,26012.5864388905
"2084/2085",2085,123,123,100,334,311.5,47.4326745718072,25776.4559984654
"2085/2086",2086,123,123,100,132,46,35.8677756300585,28179.3670735583
"2086/2087",2087,123,123,100,464,611.5,49.7023623552177,22946.9215091076
"2087/2088",2088,123,123,100,302,489,49.8170516194787,24293.5779862944
"2088/2089",2089,123,123,100,352,600.5,51.8526598962335,23149.6855979711
"2089/2090",2090,123,123,100,207,433.5,49.2118125746747,25022.0155374352
"2090/2091",2091,123,123,100,209,706.5,55.8414119488689,22354.5894972961
"2091/2092",2092,123,123,100,351,477.5,45.3576234840748,24323.8618051782
"2092/2093",2093,123,123,100,192,-144.5,34.5361908061277,30130.0645453911
"2093/2094",2094,123,123,100,77,199.5,42.2965446420958,26996.4340195954
"2094/2095",2095,123,123,100,343,445.5,51.2748398860731,24752.4122056942
"2095/2096",2096,123,123,100,249,789,57.4623929214367,21629.7872604784
"2096/2097",2097,123,123,100,211,235.5,40.5612499800682,26470.7400041521
"2097/2098",2098,123,123,100,237,413,43.2670491591816,24956.5396752395
"2098/2099",2099,123,123,100,373,630,53.578187406014,22881.2097594403
"2099/2100",2100,123,123,100,185,142,42.9537738803592,27392.7103775684
