"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,220,66,35.5951717616654,28032.0271503028
"2000/2001",2001,123,123,100,181,-128,36.5057130044712,29763.034690234
"2001/2002",2002,123,123,100,214,-15,35.3085000691944,29001.1098909823
"2002/2003",2003,123,123,100,238,89.5,39.5690018457989,27741.5280755967
"2003/2004",2004,123,123,100,199,89,39.9730558980762,27730.5044544775
"2004/2005",2005,123,123,100,150,-123,31.3024192027494,29954.7175795003
"2005/2006",2006,123,123,100,231,-41,35.3698103485409,29105.2453965211
"2006/2007",2007,123,123,100,237,37,35.2034247483417,28030.1273429269
"2007/2008",2008,123,123,100,175,-457.5,26.6139827256468,32513.4815698105
"2008/2009",2009,123,123,100,247,-32,35.7110053008408,28444.7048195153
"2009/2010",2010,123,123,100,169,236,41.0171053555895,26546.5696349104
"2010/2011",2011,123,123,100,113,-174.5,27.6139166877813,30259.2330750588
"2011/2012",2012,123,123,100,244,-6,33.093041709071,28670.1833736128
"2012/2013",2013,123,123,100,279,287.5,42.4806154490484,26103.047500496
"2013/2014",2014,123,123,100,180,-127.5,33.1289418468933,29839.875234609
"2014/2015",2015,123,123,100,196,-116,32.868178320433,29402.7758634645
"2015/2016",2016,123,123,100,123,-220,29.9206272454735,30710.7403575571
"2016/2017",2017,123,123,100,93,-549.5,18.1419084992485,33425.1495635512
"2017/2018",2018,123,123,100,114,-339,31.2326999074257,31809.1178018195
"2018/2019",2019,123,123,100,303,117.5,39.5117584970975,27110.4851029916
"2019/2020",2020,123,123,100,172,-21,30.1857140345318,28839.4527377025
"2020/2021",2021,123,123,100,165,-17.5,37.7083125647409,28621.4866635217
"2021/2022",2022,123,123,100,128,-358.5,26.3167684421663,31861.1624838794
"2022/2023",2023,123,123,100,140,-291.5,27.8691115506175,31291.6472877041
"2023/2024",2024,123,123,100,216,29,33.7890028379534,28570.0022125458
"2024/2025",2025,123,123,100,221,-189,33.180652237654,30061.1974317366
"2025/2026",2026,123,123,100,211,-124,32.1264833341961,29648.4222499905
"2026/2027",2027,123,123,100,97,-282.5,22.8268119336083,31388.8766143871
"2027/2028",2028,123,123,100,149,-296.5,26.5433513713967,31377.6587425517
"2028/2029",2029,123,123,100,211,295.5,44.7797420326629,25895.0630119252
"2029/2030",2030,123,123,100,155,-400,23.9738534426381,32287.7941262778
"2030/2031",2031,123,123,100,181,104,41.3822367646937,27697.2463361481
"2031/2032",2032,123,123,100,113,-155.5,31.7330456327809,29768.6269419244
"2032/2033",2033,123,123,100,209,349.5,47.0465655409682,25558.9899704717
"2033/2034",2034,123,123,100,205,-73.5,33.0004278127165,29430.7681588884
"2034/2035",2035,123,123,100,78,-423.5,20.9263930057621,32460.871115935
"2035/2036",2036,123,123,100,117,-52,32.4710100378852,29161.775940815
"2036/2037",2037,123,123,100,220,-254.5,31.766876112303,30615.691821388
"2037/2038",2038,123,123,100,220,155,35.3360334515014,27144.0803853935
"2038/2039",2039,123,123,100,95,-317,25.7703422058516,31351.342543195
"2039/2040",2040,123,123,100,136,-148,31.6809019026225,30097.1643822435
"2040/2041",2041,123,123,100,123,-134,33.2835822443828,29880.5958109666
"2041/2042",2042,123,123,100,141,-36,31.9310744814879,29012.647050757
"2042/2043",2043,123,123,100,131,-90,32.3130833205337,29652.1849281471
"2043/2044",2044,123,123,100,143,-65,33.1229463273903,29414.7176141739
"2044/2045",2045,123,123,100,62,-329,25.1791363793395,31835.2648287611
"2045/2046",2046,123,123,100,115,-486.5,24.6399965501691,33108.0162090817
"2046/2047",2047,123,123,100,97,-408.5,28.1592553985502,32363.7375708036
"2047/2048",2048,123,123,100,197,-142.5,31.2625156414547,29939.2537158504
"2048/2049",2049,123,123,100,299,241.5,42.5372423243459,26348.9112361921
"2049/2050",2050,123,123,100,345,-110.5,34.9099775563122,28913.8185692932
"2050/2051",2051,123,123,100,224,151,44.7918734770678,27346.5996600203
"2051/2052",2052,123,123,100,192,271,44.3713769947465,26085.4629127588
"2052/2053",2053,123,123,100,199,216.5,39.439851626249,26872.204128094
"2053/2054",2054,123,123,100,162,89.5,36.4335381499473,27542.1381014427
"2054/2055",2055,123,123,100,170,65,36.6772135127057,28174.4532051636
"2055/2056",2056,123,123,100,268,274.5,40.4932458912162,26024.0617302721
"2056/2057",2057,123,123,100,201,278,44.7153300846862,26132.0105789285
"2057/2058",2058,123,123,100,208,150,36.64700742882,27186.3600532413
"2058/2059",2059,123,123,100,161,-127.5,29.8207373120645,29907.6210572114
"2059/2060",2060,123,123,100,270,-67,32.736362808354,29204.430454921
"2060/2061",2061,123,123,100,195,-40,33.3020503513944,29018.466854169
"2061/2062",2062,123,123,100,210,331.5,39.9924209483147,25808.9270406347
"2062/2063",2063,123,123,100,146,-116,32.981151908356,29535.0422185361
"2063/2064",2064,123,123,100,274,230,42.613649925866,26339.2584268395
"2064/2065",2065,123,123,100,76,-313,25.3611182618679,31673.4043165585
"2065/2066",2066,123,123,100,214,-194,32.0808569389319,30115.0030495711
