"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,186,-23.5,35.0712495135141,28843.4816988494
"2000/2001",2001,123,123,100,160,-235.5,34.8753558323388,30726.3233221617
"2001/2002",2002,123,123,100,164,-114.5,34.9616425007318,29777.6172888423
"2002/2003",2003,123,123,100,207,8.5,39.0516229970236,28545.293262674
"2003/2004",2004,123,123,100,169,-6.5,36.7807939492821,28569.2985623975
"2004/2005",2005,123,123,100,119,-222,29.6798485038306,30918.6513556425
"2005/2006",2006,123,123,100,194,-141,32.3346298641748,29972.7616693968
"2006/2007",2007,123,123,100,209,-37,35.1934898687684,28707.6332076084
"2007/2008",2008,123,123,100,162,-554,27.3323973978993,33416.4722718489
"2008/2009",2009,123,123,100,214,-89.5,33.6821339555386,29237.9279930646
"2009/2010",2010,123,123,100,133,147.5,41.6153906127478,27369.4865708177
"2010/2011",2011,123,123,100,87,-263,25.7120467166485,31222.5715775525
"2011/2012",2012,123,123,100,225,-102.5,32.2756604977142,29545.8386899726
"2012/2013",2013,123,123,100,233,200,41.9442945487124,26920.8297869575
"2013/2014",2014,123,123,100,124,-220.5,33.1600546139988,30744.7952306739
"2014/2015",2015,123,123,100,155,-209,31.7258164177979,30283.4877899112
"2015/2016",2016,123,123,100,99,-321.5,25.4768750428401,31603.4027490092
"2016/2017",2017,123,123,100,80,-636.5,19.6805420401004,34247.7799568074
"2017/2018",2018,123,123,100,92,-441.5,30.161232977837,32735.7905140007
"2018/2019",2019,123,123,100,285,22.5,35.9692484363583,27999.3333867211
"2019/2020",2020,123,123,100,148,-135.5,29.3474159541533,29769.2818853324
"2020/2021",2021,123,123,100,136,-113,35.0483304731349,29465.6342765167
"2021/2022",2022,123,123,100,115,-454.5,25.3995006919155,32792.9545033993
"2022/2023",2023,123,123,100,131,-375.5,29.2235967336048,32171.423942985
"2023/2024",2024,123,123,100,175,-79,36.0779026069605,29513.536480085
"2024/2025",2025,123,123,100,193,-271.5,28.9361204722667,30844.611556144
"2025/2026",2026,123,123,100,190,-212.5,31.7400773827281,30434.5640739151
"2026/2027",2027,123,123,100,65,-378.5,22.0718958227183,32254.5295877382
"2027/2028",2028,123,123,100,110,-382,27.8019240487718,32157.6829675385
"2028/2029",2029,123,123,100,175,207,45.1324016603921,26619.8503092593
"2029/2030",2030,123,123,100,129,-494.5,23.6497920108413,33175.1506114244
"2030/2031",2031,123,123,100,151,12.5,39.8585890488857,28468.0159851969
"2031/2032",2032,123,123,100,101,-255.5,29.9115854980294,30761.2437660377
"2032/2033",2033,123,123,100,160,274,44.5974545049878,26302.2118472173
"2033/2034",2034,123,123,100,171,-171,32.3573197881931,30308.4308657935
"2034/2035",2035,123,123,100,53,-524.5,19.4525682912665,33470.1428022133
"2035/2036",2036,123,123,100,98,-163.5,29.7338065907245,30066.3326832778
"2036/2037",2037,123,123,100,190,-314,31.6816148776177,31257.3220898621
"2037/2038",2038,123,123,100,187,49,34.4383930291124,28142.0527969776
"2038/2039",2039,123,123,100,69,-399,26.0211789177813,32174.1828792654
