"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,170,11,34.1343384500566,28709.6489800361
"2000/2001",2001,123,123,100,144,-190,32.8025680934402,30436.6924434841
"2001/2002",2002,123,123,100,163,-103.5,34.8332405136135,29697.5469150796
"2002/2003",2003,123,123,100,212,13.5,37.1839001046193,28469.7740834496
"2003/2004",2004,123,123,100,165,10,37.153077320031,28436.5806871065
"2004/2005",2005,123,123,100,92,-211.5,32.7725471873783,30689.8451914665
"2005/2006",2006,123,123,100,171,-113,32.4521843007196,29721.272051565
"2006/2007",2007,123,123,100,203,-22.5,35.4518692263753,28672.363954602
"2007/2008",2008,123,123,100,153,-545,27.2820005816304,33396.4275002405
"2008/2009",2009,123,123,100,205,-78.5,36.0275511665886,29110.5322293108
"2009/2010",2010,123,123,100,158,165,40.0910809162469,27305.9339167052
"2010/2011",2011,123,123,100,73,-225,25.6058044369825,31014.7479020751
"2011/2012",2012,123,123,100,193,-61,35.7604532158718,29287.0037388932
"2012/2013",2013,123,123,100,251,211.5,41.4308980338295,26790.9585929092
"2013/2014",2014,123,123,100,119,-204.5,31.6856372979897,30648.7591761821
"2014/2015",2015,123,123,100,163,-192.5,33.1056343303489,30174.2284966586
"2015/2016",2016,123,123,100,100,-315.5,27.2741280458025,31602.5833684045
"2016/2017",2017,123,123,100,77,-622,17.7487326337839,34296.4851830143
"2017/2018",2018,123,123,100,87,-422,29.3724329672098,32563.8803267069
"2018/2019",2019,123,123,100,239,96.5,39.1397116734219,27652.2420971994
"2019/2020",2020,123,123,100,153,-103.5,29.049289024939,29554.7786426432
"2020/2021",2021,123,123,100,125,-104,34.715463888592,29396.5739327148
"2021/2022",2022,123,123,100,106,-435.5,27.3730088099542,32672.4903618339
"2022/2023",2023,123,123,100,105,-361.5,25.6518887898496,31962.4920103913
"2023/2024",2024,123,123,100,174,-63,35.7090761079388,29328.0094795385
"2024/2025",2025,123,123,100,177,-248,30.3722751843559,30819.4388403283
"2025/2026",2026,123,123,100,200,-201,31.9979910597251,30435.7288058358
"2026/2027",2027,123,123,100,67,-362,20.1454734513297,32207.6476027877
"2027/2028",2028,123,123,100,86,-372.5,28.1732658306837,32158.2217311668
"2028/2029",2029,123,123,100,195,221,42.1875670801285,26552.8298224518
"2029/2030",2030,123,123,100,107,-480,23.5545782490713,33077.6817074325
"2030/2031",2031,123,123,100,181,12.5,40.0912188212174,28490.8741237149
"2031/2032",2032,123,123,100,96,-233.5,31.6793569218612,30515.5522824861
"2032/2033",2033,123,123,100,201,280.5,42.4969473543563,26272.3968572239
"2033/2034",2034,123,123,100,182,-164,31.3736056488658,30251.3551915931
"2034/2035",2035,123,123,100,50,-510.5,21.4980818846561,33251.0164287975
"2035/2036",2036,123,123,100,83,-137,31.0437508329435,29907.3218338257
"2036/2037",2037,123,123,100,226,-301.5,32.2298767342597,31463.7752424637
"2037/2038",2038,123,123,100,172,90,35.7073374336226,27802.6543334508
"2038/2039",2039,123,123,100,65,-383,27.1151386785721,32280.2967147576
"2039/2040",2040,123,123,100,84,-214,31.9053909014269,30861.8235265883
"2040/2041",2041,123,123,100,77,-218,32.4450232138688,30602.3774410579
"2041/2042",2042,123,123,100,130,-118,29.4399684727146,29851.3422624785
"2042/2043",2043,123,123,100,94,-207,28.6212608315861,30416.4987646909
"2043/2044",2044,123,123,100,105,-126,35.2294472058652,30086.7396310065
"2044/2045",2045,123,123,100,42,-429.5,23.1599842103726,32681.0433229571
"2045/2046",2046,123,123,100,81,-551.5,25.9000756756093,33869.3030126113
"2046/2047",2047,123,123,100,73,-498.5,26.8201649546447,33277.3478359142
"2047/2048",2048,123,123,100,152,-210.5,27.7148903177147,30657.5620671269
"2048/2049",2049,123,123,100,224,211.5,42.793186752491,26862.9893396823
"2049/2050",2050,123,123,100,332,-168.5,35.3406464456982,29562.2516362071
"2050/2051",2051,123,123,100,192,65,40.3382203079839,28033.2052413952
"2051/2052",2052,123,123,100,150,204.5,44.2844232973575,26790.5565731339
"2052/2053",2053,123,123,100,156,135,37.208720759163,27595.894430452
"2053/2054",2054,123,123,100,108,16,33.8246396476081,28226.1268412666
"2054/2055",2055,123,123,100,122,-12,36.2302661424728,28891.2348460015
"2055/2056",2056,123,123,100,225,222.5,38.4698461526627,26629.6097954642
"2056/2057",2057,123,123,100,173,171.5,41.5052099186005,26848.4880331401
"2057/2058",2058,123,123,100,159,82,34.889384999281,27793.3224215126
"2058/2059",2059,123,123,100,119,-229,31.9383016741858,30682.6867181696
"2059/2060",2060,123,123,100,244,-122,31.6312982217805,29932.4791393178
"2060/2061",2061,123,123,100,172,-108,31.9722282699358,29728.8693489712
"2061/2062",2062,123,123,100,159,265.5,38.973442558764,26392.1229759231
"2062/2063",2063,123,123,100,135,-206,32.1527142701957,30399.0372444307
"2063/2064",2064,123,123,100,239,172.5,41.4790656285745,26984.4967211382
"2064/2065",2065,123,123,100,57,-423.5,25.5357257422861,32515.4511879338
"2065/2066",2066,123,123,100,184,-250.5,34.5624152044347,30847.5224667871
"2066/2067",2067,123,123,100,133,93.5,37.4226122277046,27967.3607483897
"2067/2068",2068,123,123,100,102,-278.5,33.9678514304414,31367.9784862017
"2068/2069",2069,123,123,100,77,-642.5,18.1471128812341,34410.8951054057
"2069/2070",2070,123,123,100,124,-297,29.8067622120243,31384.6930866139
"2070/2071",2071,123,123,100,184,294,38.9655908805271,26063.6557155903
"2071/2072",2072,123,123,100,175,13,32.085565536443,28688.9199865963
"2072/2073",2073,123,123,100,282,141.5,40.8695943129615,27468.186230408
"2073/2074",2074,123,123,100,231,531,50.2633293153449,23888.0152959302
"2074/2075",2075,123,123,100,181,319.5,46.1130349564291,25942.2627345622
"2075/2076",2076,123,123,100,117,-96,35.6795352824097,29591.2056485824
"2076/2077",2077,123,123,100,107,-304.5,35.189730732026,31618.7584796287
"2077/2078",2078,123,123,100,200,136.5,34.4719845939831,27402.628952885
"2078/2079",2079,123,123,100,155,-51.5,35.5883674613974,29188.7233463414
"2079/2080",2080,123,123,100,149,-72.5,34.1992523620434,29382.1728860736
"2080/2081",2081,123,123,100,215,271.5,42.1145986848132,26251.3401534315
"2081/2082",2082,123,123,100,232,234.5,44.5472308098133,26721.948719969
"2082/2083",2083,123,123,100,118,-59,35.7054805334856,29126.5701877829
"2083/2084",2084,123,123,100,116,-218,33.6585561559755,30445.5726644434
"2084/2085",2085,123,123,100,185,-166,34.4767318004242,30234.2154934835
"2085/2086",2086,123,123,100,85,-469.5,24.958993549621,32657.8759209886
"2086/2087",2087,123,123,100,301,133,37.9623714470927,27425.9999945089
"2087/2088",2088,123,123,100,180,-24.5,38.5007234269806,28959.1394300591
"2088/2089",2089,123,123,100,238,145,41.7763801256583,27605.1502829269
"2089/2090",2090,123,123,100,115,-105.5,34.4268887712137,29759.350773992
"2090/2091",2091,123,123,100,91,153,39.6525504546412,27280.4375047274
"2091/2092",2092,123,123,100,232,-30.5,32.4608015669191,29034.8318587206
"2092/2093",2093,123,123,100,101,-654,23.7628134445363,34427.374373123
"2093/2094",2094,123,123,100,36,-380.5,25.8528358224034,31867.2822999004
"2094/2095",2095,123,123,100,187,-14.5,37.8880540991545,29209.1533631608
"2095/2096",2096,123,123,100,125,233,40.363934036724,26591.464372918
"2096/2097",2097,123,123,100,125,-282.5,26.5678013276506,31331.064479107
"2097/2098",2098,123,123,100,105,-104.5,30.0071385077422,29893.8544035144
