"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1160,1285,73.8341647921561,11207.3340738461
"2000/2001",2001,123,123,100,1247,1370.5,75.3938728506993,10416.1398366921
"2001/2002",2002,123,123,100,1170,1271,72.3131158115733,12067.977624301
"2002/2003",2003,123,123,100,1214,1284,76.3787382337608,11008.0315535881
"2003/2004",2004,123,123,100,1273,1397.5,76.5072782902882,10367.6033707305
"2004/2005",2005,123,123,100,1277,1414,75.0703862643064,11149.905276978
"2005/2006",2006,123,123,100,1266,1374.5,76.4193037758738,10178.3866070842
"2006/2007",2007,123,123,100,1227,1284.5,73.7175361752545,10606.6900131982
"2007/2008",2008,123,123,100,1082,1380,77.837319348906,12832.1815825353
"2008/2009",2009,123,123,100,1153,1254,70.7612031743485,11891.9083838431
"2009/2010",2010,123,123,100,1192,1306.5,74.5777454319011,11093.8561520386
"2010/2011",2011,123,123,100,1271,1470,76.5103713585909,10074.4770835822
"2011/2012",2012,123,123,100,1183,1303.5,72.8772107281832,11772.9854184403
"2012/2013",2013,123,123,100,1216,1263.5,72.0180631742717,11337.9847260499
"2013/2014",2014,123,123,100,1209,1362.5,78.1365342374474,10922.7624011729
"2014/2015",2015,123,123,100,1112,1321,71.5019170797932,12593.7837758737
"2015/2016",2016,123,123,100,1170,1179,68.3146347965614,12838.1572494411
"2016/2017",2017,123,123,100,1208,1354,74.7820129895072,11783.4217770027
"2017/2018",2018,123,123,100,1362,1505.5,77.986659044298,9082.72156740353
"2018/2019",2019,123,123,100,1247,1311,73.3219870754103,11835.6450367584
"2019/2020",2020,123,123,100,1176,1312,71.6893580740091,12406.9675667859
"2020/2021",2021,123,123,100,1182,1343,77.102940257319,11321.7375149059
"2021/2022",2022,123,123,100,1112,1308.5,73.6352173122109,12404.052715766
"2022/2023",2023,123,123,100,1368,1605,82.3002110919006,8462.37744160648
"2023/2024",2024,123,123,100,1016,1201,69.0855428336909,14205.1423572327
"2024/2025",2025,123,123,100,1191,1424.5,76.8506652863603,10625.604532623
"2025/2026",2026,123,123,100,1219,1327.5,74.1580383632349,10782.477101651
"2026/2027",2027,123,123,100,1231,1403.5,73.7491445778783,12578.6375051388
"2027/2028",2028,123,123,100,1193,1380,73.6918326643431,11924.9388030414
"2028/2029",2029,123,123,100,1250,1333.5,75.2855659685119,10321.2302463376
"2029/2030",2030,123,123,100,1237,1419.5,73.4095244201808,12131.4520287942
"2030/2031",2031,123,123,100,1271,1347.5,74.1596720737784,10534.122666155
"2031/2032",2032,123,123,100,1332,1498.5,81.1205262494523,9548.14616106078
"2032/2033",2033,123,123,100,1180,1184,68.5768279142912,11865.2607855489
"2033/2034",2034,123,123,100,1112,1336.5,74.4151764817848,12414.2556635034
"2034/2035",2035,123,123,100,1270,1408,75.3386272137518,10382.8298048121
"2035/2036",2036,123,123,100,1300,1357.5,78.3035409957938,8658.98700392898
"2036/2037",2037,123,123,100,1115,1316,72.4941604837472,12264.8416762366
"2037/2038",2038,123,123,100,1094,1298.5,73.9421612189908,12604.6149564222
"2038/2039",2039,123,123,100,1247,1329,72.0038378004724,12861.9627901902
"2039/2040",2040,123,123,100,1190,1247.5,72.5944629937085,12117.377105854
"2040/2041",2041,123,123,100,1303,1465.5,76.1029358441156,10650.0591252535
"2041/2042",2042,123,123,100,1238,1324.5,73.4875260606068,12088.1909151324
"2042/2043",2043,123,123,100,1316,1489.5,79.7936405478231,10686.7637332347
"2043/2044",2044,123,123,100,1279,1415,76.8439750810212,10169.9989102087
"2044/2045",2045,123,123,100,1280,1425.5,74.8295165546715,10118.3692747899
"2045/2046",2046,123,123,100,1328,1552.5,81.3112188270889,8627.67801880464
"2046/2047",2047,123,123,100,1162,1364.5,72.600838316871,11762.9812998814
"2047/2048",2048,123,123,100,1278,1433.5,76.5592472363114,11066.7576656844
"2048/2049",2049,123,123,100,1253,1343.5,74.0966217766054,10575.9612263958
"2049/2050",2050,123,123,100,1156,1359,78.5252402536626,10920.7268449413
"2050/2051",2051,123,123,100,1190,1244.5,73.0134432560908,11546.0455096718
"2051/2052",2052,123,123,100,1288,1365.5,77.2264512560023,10881.104904287
"2052/2053",2053,123,123,100,1088,1210.5,67.2818484831314,12745.1888959436
"2053/2054",2054,123,123,100,1231,1436,77.4526214802136,10538.7160562398
"2054/2055",2055,123,123,100,1245,1376.5,75.9973690414163,11990.9222183749
"2055/2056",2056,123,123,100,1196,1277,71.5464594665054,11895.1738245264
"2056/2057",2057,123,123,100,1228,1331.5,77.0731442692149,9828.84475288354
"2057/2058",2058,123,123,100,1114,1075,60.0646080758697,14429.7102466617
"2058/2059",2059,123,123,100,1170,1320,74.4397029822239,11861.414392177
"2059/2060",2060,123,123,100,1254,1356.5,70.9911721100216,12280.8868704857
"2060/2061",2061,123,123,100,1290,1333,77.6308244177326,10077.2637532363
"2061/2062",2062,123,123,100,1252,1288.5,73.5010297738818,10252.6214531315
"2062/2063",2063,123,123,100,1164,1300.5,74.0795375985217,11599.7339460533
"2063/2064",2064,123,123,100,1263,1312.5,75.600302993048,11386.7624257375
"2064/2065",2065,123,123,100,1232,1498,76.3664817639756,11421.9017689265
"2065/2066",2066,123,123,100,1188,1309,72.6133382896896,12581.8233556636
"2066/2067",2067,123,123,100,1269,1388.5,74.4792349403579,11492.7063241871
"2067/2068",2068,123,123,100,1220,1432.5,77.696934445562,10693.3100903081
"2068/2069",2069,123,123,100,1192,1503.5,74.9875590849288,12072.8566795057
"2069/2070",2070,123,123,100,1330,1556,81.4998877296521,10248.2935056305
"2070/2071",2071,123,123,100,1270,1327.5,75.9363787222728,11607.1439581467
"2071/2072",2072,123,123,100,1255,1292,70.879418399727,12093.5919753602
"2072/2073",2073,123,123,100,1037,1153,70.3501254363173,13873.374631864
"2073/2074",2074,123,123,100,1200,1215.5,70.3867495829354,12345.8758734809
"2074/2075",2075,123,123,100,1181,1298.5,74.7691597547755,10465.1422460014
"2075/2076",2076,123,123,100,1202,1334,71.7165801215488,11174.2297205692
"2076/2077",2077,123,123,100,1099,1225,72.4245245269321,11586.2485579513
"2077/2078",2078,123,123,100,1278,1349,78.563703010037,10868.3521769615
"2078/2079",2079,123,123,100,1137,1337,77.5008028819157,11723.2237604763
"2079/2080",2080,123,123,100,1109,1230.5,69.4347118578698,12753.3973215073
"2080/2081",2081,123,123,100,1223,1273,72.0121422705806,12410.751405932
"2081/2082",2082,123,123,100,1239,1352.5,76.2466591571601,11560.2377412822
"2082/2083",2083,123,123,100,1172,1388.5,77.7583202077167,10230.4749811832
"2083/2084",2084,123,123,100,1152,1313.5,74.0011014294869,12352.2164969547
"2084/2085",2085,123,123,100,1081,1249,71.7584458178626,12251.6032065256
"2085/2086",2086,123,123,100,1215,1384.5,75.6953383597865,10566.8947078623
"2086/2087",2087,123,123,100,1017,1156,67.9505730837591,14834.5469546551
"2087/2088",2088,123,123,100,1271,1357,78.1177983884536,9973.62057063449
"2088/2089",2089,123,123,100,1281,1372.5,77.9279406042388,9952.37347554695
"2089/2090",2090,123,123,100,1259,1374.5,78.8187941416327,10773.7253167694
"2090/2091",2091,123,123,100,1242,1260.5,74.0297228631825,9453.42584599368
"2091/2092",2092,123,123,100,1163,1344.5,76.4037050977695,11241.8827869985
"2092/2093",2093,123,123,100,1396,1605,80.1322150735505,8328.5130315097
"2093/2094",2094,123,123,100,1350,1465.5,78.7820670674373,9234.44887957256
"2094/2095",2095,123,123,100,1129,1246.5,71.1647613943696,12776.879968198
"2095/2096",2096,123,123,100,1235,1334,74.9433494135774,10938.4324489571
"2096/2097",2097,123,123,100,1232,1327,74.7963631423117,11265.8157522082
"2097/2098",2098,123,123,100,1396,1454,77.236804099346,9357.14785539545
"2098/2099",2099,123,123,100,1216,1339,73.7583965019639,11931.5797439069
"2099/2100",2100,123,123,100,1308,1459.5,76.8482979211476,10179.8428556621
