"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1098,1224,72.0266965678539,12168.2830322558
"2000/2001",2001,123,123,100,1212,1328.5,74.4177598634074,11288.8692878934
"2001/2002",2002,123,123,100,1132,1223.5,69.0236527087587,13017.3763478389
"2002/2003",2003,123,123,100,1161,1235.5,73.2334178297082,11944.1391582326
"2003/2004",2004,123,123,100,1236,1370.5,72.9017563643891,11236.4740473944
"2004/2005",2005,123,123,100,1205,1375.5,72.6178496006743,12042.9883740111
"2005/2006",2006,123,123,100,1232,1353,75.7594347872022,10947.6647738282
"2006/2007",2007,123,123,100,1184,1259,71.6265528892025,11457.4796678516
"2007/2008",2008,123,123,100,1009,1297,72.7217706380898,13858.7331725789
"2008/2009",2009,123,123,100,1112,1201,69.5357043493975,12780.7200115969
"2009/2010",2010,123,123,100,1139,1254,73.8981200435967,12020.6768139182
"2010/2011",2011,123,123,100,1222,1437,76.7712944182396,10929.572850926
"2011/2012",2012,123,123,100,1151,1250.5,68.1410361090473,12729.7902917744
"2012/2013",2013,123,123,100,1174,1206.5,69.7214025627056,12272.1264129058
"2013/2014",2014,123,123,100,1151,1323,72.2370157366774,11855.3326453615
"2014/2015",2015,123,123,100,1056,1239,68.9549004665128,13600.7310431108
"2015/2016",2016,123,123,100,1121,1113,66.7147437620399,13867.9335657363
"2016/2017",2017,123,123,100,1163,1294.5,72.8252888126708,12773.12100132
"2017/2018",2018,123,123,100,1287,1476.5,79.8435718677315,9913.28058526386
"2018/2019",2019,123,123,100,1174,1277,72.0988821662124,12685.1688692216
"2019/2020",2020,123,123,100,1124,1271.5,71.1186975012713,13316.7685845154
"2020/2021",2021,123,123,100,1124,1294,71.7797348387762,12299.6274526247
"2021/2022",2022,123,123,100,1074,1236,71.0997453065611,13445.1991220519
"2022/2023",2023,123,123,100,1315,1568.5,80.7408714964013,9295.88566675992
"2023/2024",2024,123,123,100,960,1136.5,67.1304752955834,15243.1449717931
"2024/2025",2025,123,123,100,1137,1383.5,75.3115323603342,11539.1687492593
"2025/2026",2026,123,123,100,1150,1264,73.7043307585795,11704.1314658942
"2026/2027",2027,123,123,100,1158,1332.5,70.3261468438518,13568.9826451559
"2027/2028",2028,123,123,100,1143,1342.5,72.976030943471,12817.0850371891
"2028/2029",2029,123,123,100,1218,1312.5,75.3985132763505,11164.5627610879
"2029/2030",2030,123,123,100,1178,1368.5,73.2966398891836,13061.0495244502
"2030/2031",2031,123,123,100,1234,1301,73.6735261081176,11440.5196847105
"2031/2032",2032,123,123,100,1288,1489,80.9269766440029,10327.5803613514
"2032/2033",2033,123,123,100,1143,1131,67.6866372037853,12835.1100466996
"2033/2034",2034,123,123,100,1047,1268,71.1928992323383,13419.0609862669
"2034/2035",2035,123,123,100,1223,1377,73.9277963573918,11239.0422434281
"2035/2036",2036,123,123,100,1258,1337.5,76.8720211247369,9452.47260242607
"2036/2037",2037,123,123,100,1046,1233,71.285589305965,13320.2975480803
"2037/2038",2038,123,123,100,1048,1229,71.3332949336573,13527.2820361224
"2038/2039",2039,123,123,100,1180,1271.5,70.2195802246442,13858.6718778745
"2039/2040",2040,123,123,100,1150,1189,67.5901178292061,13103.2346268641
"2040/2041",2041,123,123,100,1261,1439.5,77.5424224375947,11470.964574784
"2041/2042",2042,123,123,100,1171,1280,72.0015251536192,12991.7522010757
"2042/2043",2043,123,123,100,1254,1465.5,79.0229491676378,11524.4797811788
"2043/2044",2044,123,123,100,1220,1382.5,75.2714275420822,11052.7522834088
"2044/2045",2045,123,123,100,1252,1390,74.065684958834,10976.0821589637
"2045/2046",2046,123,123,100,1270,1510.5,81.9197885518724,9475.00559055479
"2046/2047",2047,123,123,100,1110,1319.5,72.8254252467686,12706.1565412418
"2047/2048",2048,123,123,100,1225,1402.5,71.4503211452293,11914.3572001634
"2048/2049",2049,123,123,100,1201,1295.5,72.8387140072227,11482.1004362954
"2049/2050",2050,123,123,100,1110,1313.5,74.2698230269843,11827.5605835626
"2050/2051",2051,123,123,100,1150,1208.5,69.51543944286,12455.0396330613
"2051/2052",2052,123,123,100,1230,1340,74.3603192590253,11751.2443399271
"2052/2053",2053,123,123,100,1039,1149.5,65.4589430278384,13673.964610178
"2053/2054",2054,123,123,100,1177,1398.5,76.8524762716524,11376.7604691368
"2054/2055",2055,123,123,100,1190,1338,71.2364802702941,12905.9978732597
"2055/2056",2056,123,123,100,1158,1242.5,72.0653857647039,12727.4043153767
"2056/2057",2057,123,123,100,1212,1325.5,75.1111175976348,10592.3703218978
"2057/2058",2058,123,123,100,1052,1008.5,59.0373284553152,15403.0059715351
"2058/2059",2059,123,123,100,1100,1263,71.4103000719688,12812.7677973416
"2059/2060",2060,123,123,100,1186,1284.5,68.9562719179648,13245.5446307594
"2060/2061",2061,123,123,100,1241,1309,75.823834924282,10883.2227826035
"2061/2062",2062,123,123,100,1218,1267,73.6081256927364,11041.828178036
"2062/2063",2063,123,123,100,1112,1234,70.4022456926323,12569.4171820125
"2063/2064",2064,123,123,100,1213,1277.5,72.5520576865883,12291.0030082641
"2064/2065",2065,123,123,100,1155,1457.5,75.0662221802168,12335.9511534646
"2065/2066",2066,123,123,100,1109,1254,68.862024746586,13576.2052569883
"2066/2067",2067,123,123,100,1216,1361,73.0274312097163,12363.5043609058
"2067/2068",2068,123,123,100,1158,1385.5,78.2195277124956,11577.3417637208
"2068/2069",2069,123,123,100,1131,1443,74.3245504456472,13043.0999893146
"2069/2070",2070,123,123,100,1243,1517,77.9705808461422,11123.9665063405
"2070/2071",2071,123,123,100,1212,1305,69.4336896141331,12470.0221531214
"2071/2072",2072,123,123,100,1215,1254.5,70.2038802931711,12957.455370822
"2072/2073",2073,123,123,100,966,1065.5,64.6526793677449,14930.4181755409
"2073/2074",2074,123,123,100,1158,1164.5,70.2191596490911,13221.6412951229
"2074/2075",2075,123,123,100,1141,1244,75.2285631303284,11346.8589029126
"2075/2076",2076,123,123,100,1160,1284.5,71.2913135641338,12083.4548492385
"2076/2077",2077,123,123,100,1045,1171.5,69.3128343535282,12557.5527101196
"2077/2078",2078,123,123,100,1217,1313.5,75.8215455307136,11732.3514587516
"2078/2079",2079,123,123,100,1085,1266.5,74.7687345932445,12687.6115380144
"2079/2080",2080,123,123,100,1081,1184.5,64.6433513896754,13645.9749652995
"2080/2081",2081,123,123,100,1162,1230,68.5337810277861,13283.0627746405
"2081/2082",2082,123,123,100,1191,1314.5,71.819474633251,12433.3406823473
"2082/2083",2083,123,123,100,1125,1363.5,76.0440435754326,11058.553616168
"2083/2084",2084,123,123,100,1088,1249.5,71.6121206599137,13274.5223557856
"2084/2085",2085,123,123,100,1018,1174,68.2356909543942,13211.3453535028
"2085/2086",2086,123,123,100,1170,1339.5,75.9490543355869,11488.214653397
"2086/2087",2087,123,123,100,956,1084.5,66.4446196761546,15816.3376057642
"2087/2088",2088,123,123,100,1212,1335.5,74.759494104952,10865.484416795
"2088/2089",2089,123,123,100,1248,1357.5,75.4509234698507,10765.748886141
"2089/2090",2090,123,123,100,1198,1341,76.2177116914208,11688.6486021215
"2090/2091",2091,123,123,100,1218,1231.5,73.1186512467702,10250.3495557774
"2091/2092",2092,123,123,100,1119,1309.5,76.2404165784828,12125.5031423839
"2092/2093",2093,123,123,100,1335,1580.5,82.0099315574316,9148.21258268505
"2093/2094",2094,123,123,100,1317,1431.5,76.235350941266,10071.4143197685
"2094/2095",2095,123,123,100,1076,1194,70.6072132292884,13742.0935287848
"2095/2096",2096,123,123,100,1180,1289.5,71.6098890605699,11856.4126375662
"2096/2097",2097,123,123,100,1198,1264,71.40793401665,12252.5807095133
"2097/2098",2098,123,123,100,1346,1433.5,76.3019036567202,10147.1749915155
"2098/2099",2099,123,123,100,1161,1302.5,73.6474367857791,12773.165511027
"2099/2100",2100,123,123,100,1241,1425,76.1821782606803,11046.0638618618
