"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,467,-53,31.8027647160885,27929.7827784384
"2000/2001",2001,123,123,100,421,-22,32.3971830090419,27947.5343418528
"2001/2002",2002,123,123,100,336,-260,25.7927946844943,30523.8693182982
"2002/2003",2003,123,123,100,426,-15.5,31.1891699524679,27894.769592577
"2003/2004",2004,123,123,100,408,-57.5,29.7035297341622,28609.4993015439
"2004/2005",2005,123,123,100,332,-151,29.3388692249178,29464.0908298808
"2005/2006",2006,123,123,100,455,47.5,34.5368822117618,26851.0464157769
"2006/2007",2007,123,123,100,485,-55,38.4747504253583,27143.8688911814
"2007/2008",2008,123,123,100,203,-703,19.6448258889297,34822.5215923103
"2008/2009",2009,123,123,100,394,-218,29.7395688619281,29495.222420716
"2009/2010",2010,123,123,100,400,-127,29.3935925018247,29182.0557196573
"2010/2011",2011,123,123,100,390,12.5,34.7508611933185,28020.8858142786
"2011/2012",2012,123,123,100,298,-274.5,26.7544817226378,30334.4646165043
"2012/2013",2013,123,123,100,395,-83,30.0405445699841,28037.5785816545
"2013/2014",2014,123,123,100,444,-88,29.5178302146043,28684.3557577159
"2014/2015",2015,123,123,100,230,-526.5,19.9888470255851,33015.3290769616
"2015/2016",2016,123,123,100,357,-296.5,29.1252162644597,30998.026800625
"2016/2017",2017,123,123,100,273,-425,27.3885038472813,32243.5090205935
"2017/2018",2018,123,123,100,452,237,33.9248814708436,25634.6783390271
"2018/2019",2019,123,123,100,391,-128.5,30.5381095476632,28695.5131101978
"2019/2020",2020,123,123,100,282,-417.5,21.3710207655456,31684.0039487234
"2020/2021",2021,123,123,100,324,-290.5,25.6652039608817,30628.147627831
"2021/2022",2022,123,123,100,299,-544,26.2634707339021,32456.8640671377
"2022/2023",2023,123,123,100,399,284.5,35.150134660575,25507.0329419915
"2023/2024",2024,123,123,100,211,-856.5,18.0932467069157,35363.4720063698
"2024/2025",2025,123,123,100,366,-169.5,31.7940978524258,28566.6199712846
"2025/2026",2026,123,123,100,443,19.5,35.517608016266,26888.0552967293
