"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,287,-380.5,25.8954824180035,31195.7741827091
"2000/2001",2001,123,123,100,403,-338,28.8208212851446,30419.2653868771
"2001/2002",2002,123,123,100,280,-415.5,22.8539010869413,32033.8958825493
"2002/2003",2003,123,123,100,309,-576.5,20.1418933102653,33048.1565793609
"2003/2004",2004,123,123,100,266,-541,19.2338066772272,32900.3050535864
"2004/2005",2005,123,123,100,277,-261,28.4588523336767,29946.2959721421
"2005/2006",2006,123,123,100,345,-359.5,26.0449093976092,30583.7545002307
"2006/2007",2007,123,123,100,176,-505.5,19.2044067326325,32534.5176855691
"2007/2008",2008,123,123,100,429,160,37.9975517668381,26218.6192049402
"2008/2009",2009,123,123,100,332,-498,23.9492191483101,32264.8052542035
"2009/2010",2010,123,123,100,174,-652.5,18.1530609923445,33664.0546733295
"2010/2011",2011,123,123,100,420,-63.5,32.1255242594088,28761.1043388809
"2011/2012",2012,123,123,100,274,-574,24.5295047341173,31882.9373522149
"2012/2013",2013,123,123,100,235,-813,15.6955477021265,35149.2656818524
"2013/2014",2014,123,123,100,397,-290.5,28.8580028215462,30570.0358077325
"2014/2015",2015,123,123,100,313,-228,29.4264960452291,30150.8949321888
"2015/2016",2016,123,123,100,360,-148.5,28.1198650064034,29185.1801428946
"2016/2017",2017,123,123,100,493,224.5,43.1366811236711,26421.8647735543
"2017/2018",2018,123,123,100,501,-182,33.4495799466875,28831.6119030025
"2018/2019",2019,123,123,100,200,-766,18.2410657474749,34573.5434106044
"2019/2020",2020,123,123,100,332,-243.5,29.0021370333,29612.466685792
"2020/2021",2021,123,123,100,276,-403,25.4048352165038,31552.2542656306
"2021/2022",2022,123,123,100,419,0,36.7148461987487,27575.5387194385
"2022/2023",2023,123,123,100,367,-71,26.4854979596307,28441.1621654234
"2023/2024",2024,123,123,100,237,-435.5,26.1138086928629,31887.3850537278
"2024/2025",2025,123,123,100,383,15,30.5262099252587,27544.6783809336
"2025/2026",2026,123,123,100,377,-179,28.6856152681701,29275.6686309003
"2026/2027",2027,123,123,100,291,-405.5,23.2047761257636,31853.4101591581
"2027/2028",2028,123,123,100,392,43.5,35.062451298009,27925.0700400858
"2028/2029",2029,123,123,100,236,-625.5,22.8452752897831,33392.1374098742
"2029/2030",2030,123,123,100,308,31,34.4917014528164,28352.0140795149
"2030/2031",2031,123,123,100,353,-371,28.0273115265718,30812.1146975025
"2031/2032",2032,123,123,100,321,-162,28.9766820131269,29615.7589013288
"2032/2033",2033,123,123,100,253,-856,19.8248079420989,35350.7735086246
"2033/2034",2034,123,123,100,280,-349,27.4633840860379,31266.0046747532
"2034/2035",2035,123,123,100,332,-94.5,30.5618544205446,28428.1204476934
"2035/2036",2036,123,123,100,314,-287,25.4032907721742,30304.2919692853
"2036/2037",2037,123,123,100,322,-132.5,31.018210803381,29610.0085444138
"2037/2038",2038,123,123,100,268,-637,27.4007022514747,33207.8022601949
"2038/2039",2039,123,123,100,303,-121,33.056927933962,29140.8949293839
"2039/2040",2040,123,123,100,365,-227,28.3070581422685,30361.5553403804
"2040/2041",2041,123,123,100,230,-333,18.9370852632644,31561.5958566973
"2041/2042",2042,123,123,100,312,-463,28.3082929549246,32088.7429765975
"2042/2043",2043,123,123,100,253,-199.5,28.1327135564779,30116.198214774
"2043/2044",2044,123,123,100,375,-309.5,28.3637381264612,30642.2511494309
"2044/2045",2045,123,123,100,407,31,34.9111670524717,27909.9655627385
"2045/2046",2046,123,123,100,544,57,37.4468786830255,26251.0701438226
"2046/2047",2047,123,123,100,284,28.5,31.6472909438839,28381.4108980969
"2047/2048",2048,123,123,100,380,-338.5,27.6991958248427,31061.8044713661
"2048/2049",2049,123,123,100,268,-619.5,22.6600434771583,32980.6441448489
"2049/2050",2050,123,123,100,295,-449.5,24.9261971830229,31016.7075422406
"2050/2051",2051,123,123,100,311,-411,28.5474759230942,30607.2898183512
"2051/2052",2052,123,123,100,146,-777,16.4476027554251,35099.4779039361
"2052/2053",2053,123,123,100,379,-527.5,24.5463337477552,32572.3925823271
"2053/2054",2054,123,123,100,319,-324,28.7877777300214,30550.5689231148
"2054/2055",2055,123,123,100,228,-508,25.4230386985646,32872.0635732021
"2055/2056",2056,123,123,100,203,-833,15.1343804330402,35766.4557558382
"2056/2057",2057,123,123,100,190,-647,16.5972186663425,33741.2612324674
"2057/2058",2058,123,123,100,226,-860,17.8291824856055,35917.1233109375
"2058/2059",2059,123,123,100,219,-417.5,22.3933344274617,31775.3154096967
"2059/2060",2060,123,123,100,242,-481.5,25.5781262632511,32805.6710897442
"2060/2061",2061,123,123,100,281,-491.5,19.7282189310711,32034.2792606102
"2061/2062",2062,123,123,100,182,-777,15.1062629498535,34395.3757880833
"2062/2063",2063,123,123,100,252,-226.5,29.1549333207006,30296.302335416
"2063/2064",2064,123,123,100,211,-714.5,17.8931381874263,34257.8335098773
"2064/2065",2065,123,123,100,283,-245,28.8099051482307,30073.9719385747
"2065/2066",2066,123,123,100,258,-281.5,25.0806433041234,30509.0057178838
"2066/2067",2067,123,123,100,183,-655,19.9066758421752,33690.6324521257
"2067/2068",2068,123,123,100,360,-199.5,29.424274081925,29581.1863184432
"2068/2069",2069,123,123,100,371,121.5,31.9846000712948,27158.1013637176
"2069/2070",2070,123,123,100,266,-198,25.8704959490822,30309.9958530422
"2070/2071",2071,123,123,100,153,-794,14.0433290586627,34948.5352963787
"2071/2072",2072,123,123,100,280,-710,22.1424429395227,33832.3950333493
"2072/2073",2073,123,123,100,129,-730,16.989873858457,34954.3262252621
"2073/2074",2074,123,123,100,135,-1161.5,10.5655865665813,37910.7662315452
"2074/2075",2075,123,123,100,160,-694,13.5949885657483,33995.9150284845
"2075/2076",2076,123,123,100,300,-393,22.2881211394783,31782.1638494451
