"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,313,-239,27.4336396187176,30034.3821429647
"2000/2001",2001,123,123,100,437,-228.5,31.0261873511348,29588.9198033753
"2001/2002",2002,123,123,100,304,-274,25.0753505071197,30756.5922554508
"2002/2003",2003,123,123,100,335,-452,25.7653166334866,32126.1366373976
"2003/2004",2004,123,123,100,291,-421,24.5208913858983,31789.4467079937
"2004/2005",2005,123,123,100,320,-103.5,32.3614603610861,28701.6945632608
"2005/2006",2006,123,123,100,364,-229,31.0135735469051,29470.2515183507
"2006/2007",2007,123,123,100,188,-374.5,20.8951229258515,31430.6450801928
"2007/2008",2008,123,123,100,507,274.5,40.8269888904684,25314.7880844121
"2008/2009",2009,123,123,100,348,-335.5,28.6484830639118,31194.4543820742
"2009/2010",2010,123,123,100,202,-512.5,23.5542550605207,32710.2362587096
"2010/2011",2011,123,123,100,471,70.5,36.5075827271907,27510.7473331522
"2011/2012",2012,123,123,100,292,-453,28.4494283795133,31096.2224532082
"2012/2013",2013,123,123,100,252,-676.5,17.0012684277246,34131.5136474844
"2013/2014",2014,123,123,100,445,-155,33.7278489517735,29296.2234993191
"2014/2015",2015,123,123,100,342,-88,32.5165345048346,28855.4055691031
"2015/2016",2016,123,123,100,402,-16.5,32.9441057048806,27942.9268429861
"2016/2017",2017,123,123,100,576,344,45.4261825738429,25103.3374315926
"2017/2018",2018,123,123,100,551,-40,37.3702788656534,27609.7223910689
"2018/2019",2019,123,123,100,221,-628.5,19.5957660597204,33495.4047829988
"2019/2020",2020,123,123,100,377,-108,34.4103941320127,28461.753467164
"2020/2021",2021,123,123,100,304,-284,26.9133377759964,30654.8661522274
"2021/2022",2022,123,123,100,473,136,39.5395303087672,26423.8498729635
"2022/2023",2023,123,123,100,428,72,33.1145029479419,27142.9835121091
"2023/2024",2024,123,123,100,271,-274.5,30.4218537521531,30938.2134932391
"2024/2025",2025,123,123,100,414,150.5,35.1266548101306,26481.549935909
"2025/2026",2026,123,123,100,425,-40,35.106787578711,28063.211495107
"2026/2027",2027,123,123,100,318,-232.5,27.7912866283483,30258.45646459
"2027/2028",2028,123,123,100,440,186,39.8053914493298,26647.9782183906
"2028/2029",2029,123,123,100,262,-494,22.6233063362935,32465.6697080154
"2029/2030",2030,123,123,100,357,207,38.8017774123412,26833.2364598811
"2030/2031",2031,123,123,100,385,-239,30.6737053684055,29884.6259549842
"2031/2032",2032,123,123,100,372,-18.5,31.6326399813759,28362.5555038662
"2032/2033",2033,123,123,100,278,-738.5,21.9110468721221,34607.7279578662
"2033/2034",2034,123,123,100,315,-201.5,32.1491541682399,29988.961762595
"2034/2035",2035,123,123,100,365,69.5,35.5446845795775,26973.7841049652
"2035/2036",2036,123,123,100,341,-161,30.3847986278886,29133.0993390963
"2036/2037",2037,123,123,100,343,-0.5,31.9980699165501,28413.9491007095
"2037/2038",2038,123,123,100,294,-505.5,32.7336775043373,32188.8823423348
"2038/2039",2039,123,123,100,330,25,36.7817185339391,27915.0511280522
"2039/2040",2040,123,123,100,414,-77.5,33.638447750368,29041.7033923529
"2040/2041",2041,123,123,100,261,-178,25.5387835160095,30114.9702175036
"2041/2042",2042,123,123,100,343,-315.5,28.7233777348993,30907.0356932711
"2042/2043",2043,123,123,100,294,-43,30.6153404723407,28852.8593795979
"2043/2044",2044,123,123,100,405,-184,31.9124593858621,29547.3444480915
"2044/2045",2045,123,123,100,460,181,40.4667907065389,26512.0566419736
"2045/2046",2046,123,123,100,584,176,40.0672608632476,25196.3130366104
"2046/2047",2047,123,123,100,331,192,36.2856745534114,26853.9711142518
"2047/2048",2048,123,123,100,416,-189.5,33.6157259262322,29877.881148519
"2048/2049",2049,123,123,100,281,-481,23.7615648080302,32166.2215433037
"2049/2050",2050,123,123,100,333,-327,28.3929374747815,29993.046387976
"2050/2051",2051,123,123,100,331,-265.5,29.9987134708167,29689.3593017776
"2051/2052",2052,123,123,100,174,-649.5,19.2206038907027,34025.3448290322
"2052/2053",2053,123,123,100,415,-387,27.5036109870093,31427.9867670787
"2053/2054",2054,123,123,100,360,-185.5,33.9456146073755,29665.7383537879
"2054/2055",2055,123,123,100,266,-354,28.4977630112332,31780.6900053294
"2055/2056",2056,123,123,100,226,-702,21.0247869495304,34593.56412791
"2056/2057",2057,123,123,100,223,-492.5,21.1454238239139,32633.5549317263
"2057/2058",2058,123,123,100,246,-715,22.1378679524535,34772.3174669072
"2058/2059",2059,123,123,100,239,-248.5,27.3390793189635,30381.421329489
"2059/2060",2060,123,123,100,280,-338.5,27.6485463611098,31723.0799437398
"2060/2061",2061,123,123,100,303,-356.5,22.0757165000691,30982.3356194654
"2061/2062",2062,123,123,100,207,-639.5,18.3149406839793,33369.0438869465
"2062/2063",2063,123,123,100,275,-70.5,33.0715866423948,28985.9289994445
"2063/2064",2064,123,123,100,238,-565,20.5910708789042,33236.9267717395
"2064/2065",2065,123,123,100,319,-55.5,31.9929337286394,28586.0063541243
"2065/2066",2066,123,123,100,299,-128.5,32.6945167524623,29140.3948060172
"2066/2067",2067,123,123,100,216,-487.5,26.6668737899831,32488.2261207504
"2067/2068",2068,123,123,100,385,-32.5,32.8089487357556,28286.8793421537
"2068/2069",2069,123,123,100,418,282.5,40.8458785899847,25523.5232160166
"2069/2070",2070,123,123,100,309,-32.5,32.0435017866721,28826.0891408073
"2070/2071",2071,123,123,100,177,-649.5,18.2093747402096,33835.5780709488
"2071/2072",2072,123,123,100,301,-554.5,24.9680891384764,32702.9641300831
"2072/2073",2073,123,123,100,163,-596.5,20.7951825575915,33966.5436917627
"2073/2074",2074,123,123,100,142,-1040,14.3491189792467,37113.5511217294
"2074/2075",2075,123,123,100,171,-571,15.9882868954573,33135.9601876913
"2075/2076",2076,123,123,100,337,-275,28.016454822055,30647.2467392907
"2076/2077",2077,123,123,100,361,-71,32.3176194606826,28133.2374488618
"2077/2078",2078,123,123,100,277,-572,22.6384478190816,33260.7258237824
"2078/2079",2079,123,123,100,319,-239,29.3791700777028,29993.0812658891
"2079/2080",2080,123,123,100,262,-187,28.6596896628848,30064.8661018219
"2080/2081",2081,123,123,100,257,-730.5,22.6873777350652,34338.4264404736
"2081/2082",2082,123,123,100,215,-618,19.7501513183593,33709.2814148385
"2082/2083",2083,123,123,100,405,-107.5,31.3864847111713,28767.5183238313
"2083/2084",2084,123,123,100,262,-84,31.3959470192517,29440.5012806579
"2084/2085",2085,123,123,100,409,-62.5,32.9389045793773,28385.4468294494
"2085/2086",2086,123,123,100,458,204.5,38.1940001985809,26322.4476325009
"2086/2087",2087,123,123,100,141,-724,21.6086948614161,34611.6704517584
"2087/2088",2088,123,123,100,372,-191,31.3582822178591,29701.0458186325
"2088/2089",2089,123,123,100,336,-514,24.023226312871,31650.9017182719
"2089/2090",2090,123,123,100,215,-292.5,21.3506644414188,31294.7777233645
"2090/2091",2091,123,123,100,302,-403,27.4877011812309,31561.9405550696
"2091/2092",2092,123,123,100,261,-325,25.9894896679116,31003.8439105134
"2092/2093",2093,123,123,100,688,410,45.8532167181061,23434.7184273582
"2093/2094",2094,123,123,100,417,106,35.7394095663017,27532.8166507967
"2094/2095",2095,123,123,100,258,-327,26.1082391985638,31136.3179312851
"2095/2096",2096,123,123,100,196,-654.5,17.2425375205034,34429.3043158129
"2096/2097",2097,123,123,100,353,-102,30.7947553726335,28835.2010498028
"2097/2098",2098,123,123,100,431,-205.5,29.8287869003548,29813.4688058272
"2098/2099",2099,123,123,100,397,-344,27.7763037610553,30604.4382812064
"2099/2100",2100,123,123,100,366,108.5,35.3150156969887,27159.1305962186
