"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,806,590,43.3659423083386,20036.7853897597
"2000/2001",2001,123,123,100,905,709,46.3887849536598,19348.8858581665
"2001/2002",2002,123,123,100,883,618,45.193479804506,21152.3761610373
"2002/2003",2003,123,123,100,849,605.5,45.5061363305579,20031.0466654829
"2003/2004",2004,123,123,100,908,683.5,40.5582292399433,20021.0163508098
"2004/2005",2005,123,123,100,862,632.5,47.3468663234167,20408.2491503794
"2005/2006",2006,123,123,100,913,738.5,46.9915629655023,18940.9229786852
"2006/2007",2007,123,123,100,859,630.5,48.7235128776589,19656.5679039012
"2007/2008",2008,123,123,100,689,464.5,39.9733251469805,22650.0494301176
"2008/2009",2009,123,123,100,832,552.5,46.2862085547525,20592.5157643086
"2009/2010",2010,123,123,100,887,573,39.2875447427473,20596.3759862714
"2010/2011",2011,123,123,100,912,806,50.4775960633447,19026.8045951194
"2011/2012",2012,123,123,100,847,565.5,40.3668693525241,21041.336125809
"2012/2013",2013,123,123,100,900,571,39.5263232395265,20571.6289262346
"2013/2014",2014,123,123,100,877,661.5,46.2852823763287,19905.6301818725
"2014/2015",2015,123,123,100,774,499.5,37.6691296485274,22073.5602896402
"2015/2016",2016,123,123,100,848,502.5,39.7758690566033,21812.3210276656
"2016/2017",2017,123,123,100,826,634.5,37.9618641446298,21355.9288121103
"2017/2018",2018,123,123,100,933,846.5,50.2978155178924,18026.5075944064
"2018/2019",2019,123,123,100,860,591,38.1302522603243,20979.6415233095
"2019/2020",2020,123,123,100,813,566,40.1693345008666,20950.3771252148
"2020/2021",2021,123,123,100,812,567.5,47.2954273111224,20877.2756403298
"2021/2022",2022,123,123,100,744,528,42.0838887848656,21392.4668958934
"2022/2023",2023,123,123,100,948,909.5,54.1653324025942,17861.5628321671
"2023/2024",2024,123,123,100,655,346.5,32.7814932427307,23511.5723984479
"2024/2025",2025,123,123,100,799,596.5,46.5090727856568,20509.3684953987
"2025/2026",2026,123,123,100,872,667.5,47.4460882715814,19131.8559226217
"2026/2027",2027,123,123,100,784,622,37.939808911158,21669.7089960771
"2027/2028",2028,123,123,100,845,623,42.0474433243992,21383.1379220732
"2028/2029",2029,123,123,100,930,632.5,44.8081940419199,19496.5711063878
"2029/2030",2030,123,123,100,798,629.5,46.1082898606953,21315.901687975
"2030/2031",2031,123,123,100,935,642.5,46.6603297233678,20138.9007110163
"2031/2032",2032,123,123,100,946,805,49.4204164842083,18828.5406929282
"2032/2033",2033,123,123,100,932,519.5,37.8933197553961,20900.140449503
"2033/2034",2034,123,123,100,776,548.5,41.7553746301414,21866.9957974264
"2034/2035",2035,123,123,100,900,762,46.9977379639442,19234.6459496771
"2035/2036",2036,123,123,100,1064,771.5,50.6488497025966,17797.3996754461
"2036/2037",2037,123,123,100,819,472,42.9899839783361,21928.40740684
"2037/2038",2038,123,123,100,804,499,35.6462559161926,22152.9338116823
"2038/2039",2039,123,123,100,869,545.5,40.7415452299228,22007.6972422586
"2039/2040",2040,123,123,100,846,549,45.1050271232723,21117.7882872131
"2040/2041",2041,123,123,100,865,686.5,47.5148727423443,20539.803129626
"2041/2042",2042,123,123,100,845,551.5,38.8634828946035,21675.0567896646
"2042/2043",2043,123,123,100,902,769.5,48.1438025277948,20074.3714700574
"2043/2044",2044,123,123,100,917,752.5,48.7071835137967,19259.6541899932
"2044/2045",2045,123,123,100,883,702.5,52.0913814639589,19594.3954626732
"2045/2046",2046,123,123,100,945,891,55.5027983970381,17667.7112060096
"2046/2047",2047,123,123,100,770,544.5,39.7966348640289,21759.6244016513
"2047/2048",2048,123,123,100,877,743,46.2118106911198,19585.760349853
"2048/2049",2049,123,123,100,915,641,49.084469778993,19907.726869938
"2049/2050",2050,123,123,100,816,610,43.6136564924655,20249.6125871511
"2050/2051",2051,123,123,100,909,565,48.5002842710051,20356.3214831995
"2051/2052",2052,123,123,100,917,593.5,40.6707011382423,20654.3963847142
"2052/2053",2053,123,123,100,786,500,42.822197131361,20942.6668548388
"2053/2054",2054,123,123,100,879,679,45.2122701886492,19980.7790088654
"2054/2055",2055,123,123,100,849,635.5,42.5459653553239,21298.8193441201
"2055/2056",2056,123,123,100,879,597.5,40.3015842439304,20489.4296840522
"2056/2057",2057,123,123,100,942,687,48.6304292921473,19015.0016204342
"2057/2058",2058,123,123,100,775,307.5,32.7919902693443,22504.4389812769
"2058/2059",2059,123,123,100,821,556,41.9369889431164,21252.4309226247
"2059/2060",2060,123,123,100,847,599,39.4999937140942,21558.035706725
"2060/2061",2061,123,123,100,989,761,47.4079819362209,18720.4397981595
"2061/2062",2062,123,123,100,964,685.5,44.0748710664889,19116.6434640717
"2062/2063",2063,123,123,100,882,608,40.7027739267655,20775.5944510391
"2063/2064",2064,123,123,100,889,589,42.7903505287081,21121.8250747081
"2064/2065",2065,123,123,100,796,678,41.958454827788,20931.7290313747
"2065/2066",2066,123,123,100,767,480.5,40.6020669050022,22178.7975190291
"2066/2067",2067,123,123,100,886,631.5,37.84076187955,21037.5592574151
"2067/2068",2068,123,123,100,846,685.5,46.7498121294475,20082.6176161906
"2068/2069",2069,123,123,100,765,625,42.9580769275899,21491.7447212972
"2069/2070",2070,123,123,100,902,764,48.4106853529079,19740.0465043848
"2070/2071",2071,123,123,100,904,590.5,39.4543608818303,21104.5500045838
"2071/2072",2072,123,123,100,889,578,41.4047973127222,21315.9112918647
"2072/2073",2073,123,123,100,719,241.5,34.6653419135564,23538.3317360049
"2073/2074",2074,123,123,100,829,492.5,37.4857685978436,21657.4939632351
"2074/2075",2075,123,123,100,924,616,44.9447250492622,19459.8349585254
"2075/2076",2076,123,123,100,862,599.5,48.8216213563433,20322.1431515589
"2076/2077",2077,123,123,100,860,539,39.9973822767452,20964.585091332
"2077/2078",2078,123,123,100,897,660.5,40.1201687816078,20129.9418506008
"2078/2079",2079,123,123,100,786,552.5,38.9565804408662,21272.2714726925
"2079/2080",2080,123,123,100,789,405.5,40.7916675010233,21911.1119253039
"2080/2081",2081,123,123,100,795,520,36.8393361150934,21775.6652741907
"2081/2082",2082,123,123,100,879,630.5,40.6784305958527,20814.0503376052
"2082/2083",2083,123,123,100,837,694,51.695437286684,19341.6583612086
"2083/2084",2084,123,123,100,767,509,43.0072390291421,21899.4140673215
"2084/2085",2085,123,123,100,770,494.5,46.2642567532166,21030.4903489826
"2085/2086",2086,123,123,100,853,661,45.5240556252875,20075.0345450258
"2086/2087",2087,123,123,100,671,279,31.2745937807522,23743.756006578
"2087/2088",2088,123,123,100,919,726,45.6423403842382,19040.9112195941
"2088/2089",2089,123,123,100,956,734,51.178404662689,19059.9288929701
"2089/2090",2090,123,123,100,885,664.5,44.9778466433891,20293.8603711026
"2090/2091",2091,123,123,100,1008,685,50.171957593484,18106.7053502835
"2091/2092",2092,123,123,100,795,571,45.3655620645113,20856.5646667508
"2092/2093",2093,123,123,100,949,978.5,55.9518200099565,17349.3738710834
"2093/2094",2094,123,123,100,961,825,48.526766396214,18694.4945372567
"2094/2095",2095,123,123,100,815,480,39.4795070744894,21826.0543013681
"2095/2096",2096,123,123,100,892,587.5,44.6612673592454,20604.2064356282
"2096/2097",2097,123,123,100,887,623.5,44.8133296530523,20633.1520552207
"2097/2098",2098,123,123,100,1006,833,53.2881855335027,18064.8438605033
"2098/2099",2099,123,123,100,852,574.5,39.7132428344339,21189.4739977121
"2099/2100",2100,123,123,100,897,755,48.2751842764801,19642.0468094647
