"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,716,384,33.242783245959,22424.4836328738
"2000/2001",2001,123,123,100,799,520.5,39.0450997354288,21785.773852594
"2001/2002",2002,123,123,100,758,390.5,35.6739133597618,23554.9401279355
"2002/2003",2003,123,123,100,771,403.5,34.4244273874988,22548.5839156775
"2003/2004",2004,123,123,100,791,494,32.8510558528265,22611.9958553842
"2004/2005",2005,123,123,100,739,412.5,35.7596772371131,23109.6067742468
"2005/2006",2006,123,123,100,775,553,38.2204594320645,21306.6934169999
"2006/2007",2007,123,123,100,727,430.5,38.3106813514894,22018.359806584
"2007/2008",2008,123,123,100,568,228,29.7900721997273,25223.3916670666
"2008/2009",2009,123,123,100,744,338.5,35.3445221909226,22756.3450050986
"2009/2010",2010,123,123,100,773,351,32.8234558499223,23205.280426475
"2010/2011",2011,123,123,100,763,594,45.6048442216009,21669.1885162406
"2011/2012",2012,123,123,100,737,357,32.8873374421465,23249.9553795769
"2012/2013",2013,123,123,100,774,381.5,38.8329524555988,22993.6766540797
"2013/2014",2014,123,123,100,740,452.5,37.5951276544989,22467.3604067198
"2014/2015",2015,123,123,100,632,268,28.2020392259982,24701.1213173054
"2015/2016",2016,123,123,100,723,290.5,36.5420226921611,24184.4391765015
"2016/2017",2017,123,123,100,665,390.5,35.2121924289029,24183.4282740357
"2017/2018",2018,123,123,100,813,659.5,44.2430477123713,20598.8551607428
"2018/2019",2019,123,123,100,716,396,34.0577813275225,23118.4522102294
"2019/2020",2020,123,123,100,702,350.5,32.7272096990957,23419.8629956285
"2020/2021",2021,123,123,100,679,364,31.5601380788852,23377.3420269054
"2021/2022",2022,123,123,100,629,284.5,34.2416457292087,23852.7796985712
"2022/2023",2023,123,123,100,800,699.5,48.5173074088592,20654.1260722568
"2023/2024",2024,123,123,100,551,95.5,22.8212174204244,25969.4894694989
"2024/2025",2025,123,123,100,667,364.5,35.3039541563244,22992.3912494378
"2025/2026",2026,123,123,100,751,483.5,39.9309181478466,21505.8732656529
"2026/2027",2027,123,123,100,638,390,27.9264598639879,24302.657298211
"2027/2028",2028,123,123,100,701,385,34.7815043870826,23962.7469376051
"2028/2029",2029,123,123,100,797,455,36.290782949324,21935.1882305131
"2029/2030",2030,123,123,100,655,390.5,33.4538367110824,23950.9535949077
"2030/2031",2031,123,123,100,789,433,38.99326566632,22669.6915765982
"2031/2032",2032,123,123,100,811,590.5,42.4600361009223,21580.9538756637
"2032/2033",2033,123,123,100,822,355.5,31.4241901366904,23197.4637985188
"2033/2034",2034,123,123,100,668,301.5,33.2010172508001,24411.9951267974
"2034/2035",2035,123,123,100,785,570,40.3323433481951,21684.1023497516
"2035/2036",2036,123,123,100,982,636,46.599160448344,20218.6162565583
"2036/2037",2037,123,123,100,683,247.5,32.424407373172,24649.7025792501
"2037/2038",2038,123,123,100,685,286,26.0910806401673,24653.3239528313
"2038/2039",2039,123,123,100,724,326.5,30.7818016301082,24657.5734194708
"2039/2040",2040,123,123,100,719,331.5,34.0503642786673,23745.1758766891
"2040/2041",2041,123,123,100,725,451.5,37.1586913966939,23296.1118754409
"2041/2042",2042,123,123,100,696,336,28.5812000074782,24143.7364545842
"2042/2043",2043,123,123,100,749,556.5,33.0631543050181,22740.0809869133
"2043/2044",2044,123,123,100,802,545.5,37.5942495715003,21756.1135268514
"2044/2045",2045,123,123,100,734,484,41.0068047808859,22156.5996216023
"2045/2046",2046,123,123,100,808,684.5,48.5237481392192,20238.2957235207
"2046/2047",2047,123,123,100,653,308.5,32.2701778099115,24534.8188686199
"2047/2048",2048,123,123,100,746,535,36.2726072060289,21944.9012086382
"2048/2049",2049,123,123,100,789,457.5,34.4680670460623,22347.3058002032
"2049/2050",2050,123,123,100,699,403.5,37.0789059015021,22920.6454782402
"2050/2051",2051,123,123,100,804,378.5,39.7077087848525,22703.5654547727
"2051/2052",2052,123,123,100,783,393.5,32.3200153135224,23217.5431837495
"2052/2053",2053,123,123,100,692,297,35.3273343389947,23104.7628585165
"2053/2054",2054,123,123,100,766,472.5,36.8709228045723,22492.3582342556
"2054/2055",2055,123,123,100,723,414,30.809961268083,23864.8729283893
"2055/2056",2056,123,123,100,747,401.5,29.886499783458,22821.5083603244
"2056/2057",2057,123,123,100,841,505.5,39.4727127354054,21621.1794024054
"2057/2058",2058,123,123,100,668,109.5,27.4187147588709,24477.7669863515
"2058/2059",2059,123,123,100,687,352,35.4301684129678,23707.4041744163
"2059/2060",2060,123,123,100,698,385.5,27.0444425657192,24100.5991502712
"2060/2061",2061,123,123,100,863,608.5,42.6914954860767,21109.6866502147
"2061/2062",2062,123,123,100,872,508,36.2392168602787,21521.5950320652
"2062/2063",2063,123,123,100,750,405,33.567250147697,23364.7043686043
"2063/2064",2064,123,123,100,763,394,29.1463862294945,23681.3661112161
"2064/2065",2065,123,123,100,627,427.5,32.1606897273596,23807.5965603814
"2065/2066",2066,123,123,100,635,253.5,32.4862502098254,24723.201901149
"2066/2067",2067,123,123,100,750,427,28.6509027313118,23619.0563412206
"2067/2068",2068,123,123,100,729,465.5,35.6388083502902,22733.5098022586
"2068/2069",2069,123,123,100,626,353.5,30.6318585439903,24338.1247095009
"2069/2070",2070,123,123,100,749,548.5,34.6490845026187,22537.0730169322
"2070/2071",2071,123,123,100,774,404.5,31.6693070223123,23547.6195220193
"2071/2072",2072,123,123,100,744,386,29.5449790761704,23637.5829650089
"2072/2073",2073,123,123,100,633,56,24.6902747264576,25908.1036043772
"2073/2074",2074,123,123,100,701,301,27.5594670125915,23869.3748009866
"2074/2075",2075,123,123,100,820,449,35.0566163927306,21905.8334017033
"2075/2076",2076,123,123,100,766,408.5,36.0650797455205,22764.0470993612
"2076/2077",2077,123,123,100,740,323.5,34.1536711359736,23452.574774012
"2077/2078",2078,123,123,100,772,451.5,34.3824739747511,22695.0391114829
"2078/2079",2079,123,123,100,663,338.5,30.9057015057006,23921.3627853245
"2079/2080",2080,123,123,100,678,190,30.8712091208095,24157.9253839115
"2080/2081",2081,123,123,100,656,289.5,26.9607598061261,24096.2217160426
"2081/2082",2082,123,123,100,749,406,29.1401815237018,23331.5094472151
"2082/2083",2083,123,123,100,734,471.5,39.4843007030195,22156.5834651291
"2083/2084",2084,123,123,100,660,293,31.7185826261716,24269.9926640326
"2084/2085",2085,123,123,100,644,288,34.812465400405,23427.1062373836
"2085/2086",2086,123,123,100,741,434.5,40.1841322452815,22753.750489247
"2086/2087",2087,123,123,100,558,37.5,20.2444008706761,25956.0953203868
"2087/2088",2088,123,123,100,782,551,36.737501975836,21588.424950039
"2088/2089",2089,123,123,100,822,524,37.7931847745199,21729.2416491145
"2089/2090",2090,123,123,100,769,438.5,34.6861560767047,22919.5061055794
"2090/2091",2091,123,123,100,935,554,43.1093324355779,20442.2288460005
"2091/2092",2092,123,123,100,674,353.5,33.3966848890896,23497.3805520749
"2092/2093",2093,123,123,100,821,739,49.3586869223127,20118.816896908
"2093/2094",2094,123,123,100,823,616,41.22769084211,21338.8528378801
"2094/2095",2095,123,123,100,685,273,27.6393096612537,24382.2750737555
"2095/2096",2096,123,123,100,791,384,31.8685944668755,23156.3430099133
"2096/2097",2097,123,123,100,755,407,36.8664620369141,23280.1630802769
"2097/2098",2098,123,123,100,880,641,46.6364017142164,20481.5671270713
"2098/2099",2099,123,123,100,709,357,30.7149120162485,23671.7936598137
"2099/2100",2100,123,123,100,773,520,38.671353669678,22407.7984418422
