"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,676,362,35.6263067374794,22895.9089562434
"2000/2001",2001,123,123,100,763,508.5,41.7210787079374,22214.0071256599
"2001/2002",2002,123,123,100,718,375,37.073621386397,24075.2076062487
"2002/2003",2003,123,123,100,750,389,38.5595994922114,22962.9346005056
"2003/2004",2004,123,123,100,746,461,35.5459124012053,23080.34659818
"2004/2005",2005,123,123,100,682,388,36.2478142688674,23558.6936419398
"2005/2006",2006,123,123,100,742,540,38.5748009268987,21780.3289634399
"2006/2007",2007,123,123,100,675,409,38.7346051085552,22520.4691413383
"2007/2008",2008,123,123,100,514,189,30.6536275225686,25824.2671186622
"2008/2009",2009,123,123,100,716,336,35.2428574737974,23270.3652619135
"2009/2010",2010,123,123,100,745,344.5,32.7438324480753,23634.9722795088
"2010/2011",2011,123,123,100,723,576.5,44.2285238026412,22100.0737114087
"2011/2012",2012,123,123,100,699,338,33.8807675124989,23808.8581337822
"2012/2013",2013,123,123,100,740,368.5,35.6140487282337,23445.4310256541
"2013/2014",2014,123,123,100,702,433.5,38.1460031187785,22927.1554930557
"2014/2015",2015,123,123,100,601,244,28.7010792592681,25251.3497193211
"2015/2016",2016,123,123,100,702,263.5,36.7552547994993,24679.4160148348
"2016/2017",2017,123,123,100,615,358.5,35.0895134252373,24720.9247879577
"2017/2018",2018,123,123,100,767,638.5,44.9464601539983,21052.5214188374
"2018/2019",2019,123,123,100,651,367,30.4585683415203,23716.3938401293
"2019/2020",2020,123,123,100,665,330,35.1159808047506,23904.0759922408
"2020/2021",2021,123,123,100,650,333.5,30.0759222650104,23848.7687114666
"2021/2022",2022,123,123,100,595,247.5,34.6081723992324,24364.6082162065
"2022/2023",2023,123,123,100,758,682.5,43.2806505315015,21059.1340016201
"2023/2024",2024,123,123,100,518,44,21.980722036691,26615.3447396718
"2024/2025",2025,123,123,100,627,347.5,37.4501897504048,23515.5429490926
"2025/2026",2026,123,123,100,711,457.5,41.0953990249512,21989.7845786307
"2026/2027",2027,123,123,100,599,339.5,29.8982415717937,24848.203867991
"2027/2028",2028,123,123,100,644,355,32.1786422372243,24528.2994654565
"2028/2029",2029,123,123,100,758,454,37.8937112368674,22353.0441217441
"2029/2030",2030,123,123,100,599,353,34.0701727099831,24468.3063374474
"2030/2031",2031,123,123,100,748,444.5,39.232310804548,23091.5016695871
"2031/2032",2032,123,123,100,753,571.5,41.5230351745784,22023.6725541512
"2032/2033",2033,123,123,100,799,342.5,31.7332311347204,23644.6305169933
"2033/2034",2034,123,123,100,633,260.5,32.6534397640414,24963.1217036042
"2034/2035",2035,123,123,100,749,535.5,43.719021570239,22180.4696570286
"2035/2036",2036,123,123,100,948,653.5,49.2646736597028,20555.6618516874
"2036/2037",2037,123,123,100,652,230,32.9588691341116,25111.9059923943
"2037/2038",2038,123,123,100,645,268.5,26.9072652651903,25178.8438039669
"2038/2039",2039,123,123,100,674,296,30.4358877280285,25123.0293328417
"2039/2040",2040,123,123,100,678,304.5,35.5804836659927,24250.5562512502
"2040/2041",2041,123,123,100,662,421,36.3121394758173,23758.4669940271
"2041/2042",2042,123,123,100,644,308,31.6609168234133,24677.1827380178
"2042/2043",2043,123,123,100,680,523,35.3320431448806,23237.5872299927
"2043/2044",2044,123,123,100,757,529.5,39.0645575994381,22225.2438474381
"2044/2045",2045,123,123,100,700,469.5,40.0451941432145,22600.6906666644
"2045/2046",2046,123,123,100,763,685.5,46.8629773472132,20645.0495485608
"2046/2047",2047,123,123,100,617,277,30.7717589542858,25083.5047535645
"2047/2048",2048,123,123,100,697,513.5,37.2325713740704,22455.7920337385
"2048/2049",2049,123,123,100,749,451.5,35.7663817089747,22807.9591050921
"2049/2050",2050,123,123,100,669,381.5,35.2929014505301,23367.1180167878
"2050/2051",2051,123,123,100,766,386.5,39.2821527986594,23092.0706813242
"2051/2052",2052,123,123,100,724,385.5,34.1355707021853,23696.8870601859
"2052/2053",2053,123,123,100,663,269,37.0501360979747,23609.4428392695
"2053/2054",2054,123,123,100,715,463,36.2294269043718,22952.5598609233
"2054/2055",2055,123,123,100,657,383.5,32.9691340790887,24394.6550135398
"2055/2056",2056,123,123,100,713,382.5,32.4923754893139,23306.0069640279
"2056/2057",2057,123,123,100,801,499.5,41.3116781195263,21956.2596183214
