"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,613,279,33.2717883503731,23978.3231888055
"2000/2001",2001,123,123,100,704,426,40.7979189659982,23221.1034435628
"2001/2002",2002,123,123,100,612,266,29.0693971440892,25241.0629528462
"2002/2003",2003,123,123,100,666,314.5,30.1317633608468,24199.3639324884
"2003/2004",2004,123,123,100,683,378.5,29.2245693344524,24173.9372589439
"2004/2005",2005,123,123,100,582,268,32.3106790770107,25000.7501364789
"2005/2006",2006,123,123,100,664,430.5,38.772265934823,22857.2532645994
"2006/2007",2007,123,123,100,609,290.5,33.3504171746994,23514.9699420409
"2007/2008",2008,123,123,100,423,74.5,27.4864631794414,26855.7427645512
"2008/2009",2009,123,123,100,659,242,35.2982461728951,24336.8250872379
"2009/2010",2010,123,123,100,652,255,30.7183271598628,24934.8348841466
"2010/2011",2011,123,123,100,636,481.5,41.239645703554,23482.143631766
"2011/2012",2012,123,123,100,626,249,32.3536867796595,24652.0360769487
"2012/2013",2013,123,123,100,644,253,32.1314000448705,24660.0197118958
"2013/2014",2014,123,123,100,625,321,34.9366813258556,24252.7821223026
"2014/2015",2015,123,123,100,503,140,25.921568648321,26604.7783714987
"2015/2016",2016,123,123,100,621,168.5,32.8124840192165,25826.4968603372
"2016/2017",2017,123,123,100,524,222,33.862560849949,26178.569348918
"2017/2018",2018,123,123,100,685,533.5,38.1189478363739,22356.7656819606
"2018/2019",2019,123,123,100,585,260,29.6692101839267,24667.682159655
"2019/2020",2020,123,123,100,581,234.5,33.1208110803027,25145.7179779361
"2020/2021",2021,123,123,100,576,232.5,29.4277678048841,25025.078079934
"2021/2022",2022,123,123,100,525,140.5,33.4037618994249,25646.0755163545
"2022/2023",2023,123,123,100,662,580.5,40.5930696827016,22442.2832542593
"2023/2024",2024,123,123,100,477,-63.5,23.1325895115447,27744.4371745633
"2024/2025",2025,123,123,100,566,221,36.9869592804125,24403.2635029452
"2025/2026",2026,123,123,100,625,353,36.4742644636051,23309.9720422151
"2026/2027",2027,123,123,100,501,220.5,26.2056492416202,26210.4069075938
"2027/2028",2028,123,123,100,533,225.5,33.8485253739925,25665.3392065386
"2028/2029",2029,123,123,100,668,343,35.3006763866356,23547.1924618399
"2029/2030",2030,123,123,100,479,225,27.313023786518,25763.472227559
"2030/2031",2031,123,123,100,665,326,34.2243859500227,24357.1635363228
"2031/2032",2032,123,123,100,671,464.5,36.4279667620951,23433.5724737081
"2032/2033",2033,123,123,100,700,271,31.4182151912814,24772.4939612406
"2033/2034",2034,123,123,100,561,162,26.3713364012954,26299.6202130015
"2034/2035",2035,123,123,100,676,422,41.2799594862977,23309.2159570609
"2035/2036",2036,123,123,100,889,589,41.6546503626555,21667.5599636338
"2036/2037",2037,123,123,100,555,118.5,23.3101190770446,26512.8735127947
"2037/2038",2038,123,123,100,555,182.5,24.9909036398458,26414.5937409727
"2038/2039",2039,123,123,100,536,173,28.8832813624924,26503.6975650308
"2039/2040",2040,123,123,100,581,173,29.5353007155466,25691.5246245693
"2040/2041",2041,123,123,100,582,285,31.3658441441171,25067.5358758052
"2041/2042",2042,123,123,100,561,168,26.3122961447657,25885.3920723717
"2042/2043",2043,123,123,100,588,397,33.7022400996325,24507.836940357
"2043/2044",2044,123,123,100,650,420.5,38.8650968251368,23392.7354700509
"2044/2045",2045,123,123,100,622,341.5,37.2535486585566,23889.5756275496
"2045/2046",2046,123,123,100,668,594,47.1801531428089,21659.6601606738
"2046/2047",2047,123,123,100,534,142.5,28.9044125259768,26506.1117202146
"2047/2048",2048,123,123,100,616,412.5,34.6971060379956,23593.0867143311
"2048/2049",2049,123,123,100,680,367.5,32.7796499541548,23877.122938361
"2049/2050",2050,123,123,100,607,297.5,33.7527761376182,24661.5432716617
"2050/2051",2051,123,123,100,664,304.5,34.846170599609,24145.8947978793
"2051/2052",2052,123,123,100,632,253,29.0978537092785,25014.378550509
"2052/2053",2053,123,123,100,599,182.5,34.3477469801271,24680.8871351006
"2053/2054",2054,123,123,100,622,368.5,36.5227109058744,24046.3765481282
"2054/2055",2055,123,123,100,550,276,23.3487666378435,25611.2370633949
"2055/2056",2056,123,123,100,611,302,28.1467509844431,24455.5005452996
"2056/2057",2057,123,123,100,746,422.5,38.815577746072,23273.1682385551
"2057/2058",2058,123,123,100,547,-21,27.0727669611697,26081.1670633256
"2058/2059",2059,123,123,100,570,211,30.7059598921355,25242.8672774462
"2059/2060",2060,123,123,100,551,224,27.1601533307066,25960.9576043021
"2060/2061",2061,123,123,100,726,516.5,37.9046638140562,22639.3890436413
"2061/2062",2062,123,123,100,786,438.5,33.2424729127356,23154.8481047349
"2062/2063",2063,123,123,100,617,298.5,29.3412184825775,25067.9541587979
"2063/2064",2064,123,123,100,613,276,27.6876457535909,25338.1116664829
"2064/2065",2065,123,123,100,475,267,27.2501898038045,25764.9963227846
"2065/2066",2066,123,123,100,537,92.5,31.0152335741745,26651.5313944938
"2066/2067",2067,123,123,100,583,306,24.0840929819365,25419.775658058
"2067/2068",2068,123,123,100,611,348.5,34.7445303731147,24410.7850565258
"2068/2069",2069,123,123,100,485,168.5,29.8887729313778,26306.4722379679
"2069/2070",2070,123,123,100,572,390,33.6663087036886,24477.4551301897
"2070/2071",2071,123,123,100,646,275.5,29.0762441002475,25165.0352935595
"2071/2072",2072,123,123,100,613,247,29.0644304386915,25183.1884230804
"2072/2073",2073,123,123,100,505,-76.5,21.9657254160693,27450.4846365089
"2073/2074",2074,123,123,100,598,179,29.4522925854171,25406.1473838771
"2074/2075",2075,123,123,100,712,368,32.0792366662017,23359.6448867898
"2075/2076",2076,123,123,100,636,281,34.5178472531461,24437.8991441466
"2076/2077",2077,123,123,100,653,197,34.0270264340406,25012.1568637695
"2077/2078",2078,123,123,100,654,351.5,29.419256498953,24432.9906319762
"2078/2079",2079,123,123,100,546,206,27.0523699617174,25579.1334912274
"2079/2080",2080,123,123,100,569,49,28.3088522768517,25820.3281258205
"2080/2081",2081,123,123,100,539,126,24.7631748593358,25767.0715298764
"2081/2082",2082,123,123,100,585,277.5,28.8707815738148,25115.1201989744
"2082/2083",2083,123,123,100,612,343,35.0674503681689,24156.4386947853
"2083/2084",2084,123,123,100,533,157,29.7170545845142,25486.2579270639
