"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,209,-1096.5,14.4076040990863,35921.2890033251
"2000/2001",2001,123,123,100,200,-1347.5,12.0653636587773,37268.4209963291
"2001/2002",2002,123,123,100,180,-1271.5,10.7024194668069,37515.6681495217
"2002/2003",2003,123,123,100,211,-1016.5,16.2692622492424,35714.1593651646
"2003/2004",2004,123,123,100,203,-1151,13.951435641123,36873.8711129623
"2004/2005",2005,123,123,100,126,-1315,11.9286092169869,37242.8785056135
"2005/2006",2006,123,123,100,202,-1118,14.9645897792713,36340.2526066263
"2006/2007",2007,123,123,100,206,-982.5,16.3196334211886,34385.9951495973
"2007/2008",2008,123,123,100,168,-1559,10.6196752718988,37211.9805589701
"2008/2009",2009,123,123,100,225,-1218,12.999069340285,36002.2623845596
"2009/2010",2010,123,123,100,162,-934.5,16.116560451084,35044.3686871151
"2010/2011",2011,123,123,100,98,-1530,5.00978671119626,40564.2636040708
"2011/2012",2012,123,123,100,258,-1171,17.7020034297771,35861.3793909252
"2012/2013",2013,123,123,100,246,-795.5,16.7967363650155,34021.8857993204
"2013/2014",2014,123,123,100,202,-1307.5,13.7079452356924,37097.9289341529
"2014/2015",2015,123,123,100,172,-1197,9.48596066134186,36136.7163678685
"2015/2016",2016,123,123,100,130,-1450.5,6.58167593783648,38805.6451353917
"2016/2017",2017,123,123,100,93,-1799.5,6.41314782448768,40109.5968175714
"2017/2018",2018,123,123,100,95,-1499.5,8.9318974203714,37982.7866043646
"2018/2019",2019,123,123,100,314,-898,21.9370538152731,33644.1318797513
"2019/2020",2020,123,123,100,159,-1198,7.9687044178209,37024.7436750173
"2020/2021",2021,123,123,100,170,-1163.5,16.3315501229555,36468.2062801062
"2021/2022",2022,123,123,100,127,-1561.5,9.89535790712796,38566.2418358931
"2022/2023",2023,123,123,100,119,-1621.5,9.13059725089232,40138.7044437691
"2023/2024",2024,123,123,100,223,-983,14.6755184771442,34478.6145844278
"2024/2025",2025,123,123,100,214,-1313.5,16.6002713916669,36083.3044574182
"2025/2026",2026,123,123,100,198,-1278,13.6420339779557,36986.4409079584
"2026/2027",2027,123,123,100,87,-1537,5.03846758847425,39256.9101281343
"2027/2028",2028,123,123,100,140,-1442,10.621315294281,37364.5877755098
"2028/2029",2029,123,123,100,184,-853.5,16.3654245874792,34223.6754390658
"2029/2030",2030,123,123,100,134,-1614.5,6.62365009179047,39715.9614053625
"2030/2031",2031,123,123,100,180,-1059,13.9155553528618,35082.5589389983
"2031/2032",2032,123,123,100,93,-1442.5,5.22154833951504,38729.0365537391
"2032/2033",2033,123,123,100,198,-812,19.3932387692793,33933.2316767541
"2033/2034",2034,123,123,100,214,-1200.5,15.855064027794,36272.2652105661
"2034/2035",2035,123,123,100,58,-1646,6.1560318679152,40323.7954186541
"2035/2036",2036,123,123,100,92,-1452.5,9.90904740906552,39421.9277830939
"2036/2037",2037,123,123,100,198,-1272,18.9983713448217,34927.1626109569
"2037/2038",2038,123,123,100,200,-905,17.0115022337075,33538.3655390427
"2038/2039",2039,123,123,100,70,-1563,3.10163104084882,39413.01962067
"2039/2040",2040,123,123,100,125,-1375.5,10.184550220835,38143.2320406763
"2040/2041",2041,123,123,100,113,-1313.5,11.7841101681103,37593.6796747288
"2041/2042",2042,123,123,100,141,-1200.5,11.8746482675285,36836.7050931184
"2042/2043",2043,123,123,100,140,-1261.5,9.52206898046313,38118.6131306374
"2043/2044",2044,123,123,100,144,-1269,11.3135283764998,37504.3698560279
"2044/2045",2045,123,123,100,53,-1733.5,5.50116342284946,41095.3791307062
"2045/2046",2046,123,123,100,122,-1752.5,8.8491520226728,40245.2294193413
"2046/2047",2047,123,123,100,89,-1652,6.08594374445897,39248.5832060194
"2047/2048",2048,123,123,100,170,-1324.5,9.110800770781,37851.2028545588
"2048/2049",2049,123,123,100,312,-807.5,19.475054608966,33794.430960631
"2049/2050",2050,123,123,100,350,-1096.5,18.5300669355365,33816.4183904687
"2050/2051",2051,123,123,100,253,-902.5,21.235846863249,34308.5288305897
"2051/2052",2052,123,123,100,169,-849,17.1584821833746,34041.6859632051
"2052/2053",2053,123,123,100,245,-866,17.8360744995888,34967.1224464681
"2053/2054",2054,123,123,100,115,-1086,11.8920097331103,35845.5148009323
"2054/2055",2055,123,123,100,150,-1188,9.41741161870789,37383.1132282224
"2055/2056",2056,123,123,100,275,-828.5,17.7954981816515,34442.1699224571
"2056/2057",2057,123,123,100,160,-810,19.204462886713,34046.8124450669
"2057/2058",2058,123,123,100,219,-912,8.87859339418458,34642.4114139387
"2058/2059",2059,123,123,100,126,-1209,12.9698027952074,37029.4882840496
"2059/2060",2060,123,123,100,265,-1206,14.0765678781263,35963.74188504
"2060/2061",2061,123,123,100,190,-1297.5,8.76049388405772,38161.000921811
"2061/2062",2062,123,123,100,205,-838,20.357979871673,35082.2473211931
"2062/2063",2063,123,123,100,117,-1198.5,9.1525201898146,36390.893139882
"2063/2064",2064,123,123,100,203,-945,15.5292530751282,34550.7606746759
"2064/2065",2065,123,123,100,68,-1532.5,6.75093549195253,38931.462225738
"2065/2066",2066,123,123,100,199,-1229.5,14.2249194588516,35709.2848341977
"2066/2067",2067,123,123,100,173,-1162,12.4859218762061,37334.5497622844
"2067/2068",2068,123,123,100,108,-1344.5,9.78407678948076,37198.7405573195
"2068/2069",2069,123,123,100,99,-1793,2.43260636131151,39763.4683489623
"2069/2070",2070,123,123,100,139,-1482.5,10.1884253121699,38914.6545843557
"2070/2071",2071,123,123,100,202,-746.5,18.2555399866523,34318.958839098
"2071/2072",2072,123,123,100,209,-1147.5,14.0950360670421,36782.4579313202
"2072/2073",2073,123,123,100,339,-880.5,20.1568938397106,32985.0286873579
"2073/2074",2074,123,123,100,251,-365,22.2418314397523,30983.1071114317
