"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,202,-1197.5,12.6048698307568,35926.2197712626
"2000/2001",2001,123,123,100,193,-1466.5,10.4636954857155,37619.0584595938
"2001/2002",2002,123,123,100,161,-1371,8.32636868118957,37709.9077836942
"2002/2003",2003,123,123,100,203,-1124,15.9146811333559,35900.1565794361
"2003/2004",2004,123,123,100,183,-1271.5,10.4836458921187,37356.0996174793
"2004/2005",2005,123,123,100,126,-1420.5,7.82601357869119,37308.8686364238
"2005/2006",2006,123,123,100,184,-1228,14.7277582063099,36435.9336189743
"2006/2007",2007,123,123,100,217,-1090,17.1440719614325,34312.797777464
"2007/2008",2008,123,123,100,166,-1633,10.4161975887149,36715.5691125104
"2008/2009",2009,123,123,100,211,-1317,12.4886515749533,35865.1137132227
"2009/2010",2010,123,123,100,145,-1084.5,15.484795680425,35613.5361801372
"2010/2011",2011,123,123,100,95,-1648.5,3.97014376299506,40904.4904853711
"2011/2012",2012,123,123,100,248,-1289.5,16.7783030448103,36230.4073853269
"2012/2013",2013,123,123,100,226,-942.5,14.7036597557246,34759.5044978831
"2013/2014",2014,123,123,100,178,-1398,10.9186900947497,37153.8978175912
"2014/2015",2015,123,123,100,168,-1299,8.1331433889145,36156.9551524702
"2015/2016",2016,123,123,100,120,-1549.5,6.19177303968914,38962.4661974059
"2016/2017",2017,123,123,100,86,-1887.5,4.65311016927612,39888.4813772074
"2017/2018",2018,123,123,100,88,-1614.5,5.66704268296559,38150.4377877384
"2018/2019",2019,123,123,100,312,-1033,18.1804485631773,33859.6272861245
"2019/2020",2020,123,123,100,147,-1330,8.41556286340432,37634.3660955117
"2020/2021",2021,123,123,100,159,-1264.5,13.6096818135259,36516.096470146
"2021/2022",2022,123,123,100,115,-1668,6.88239392229605,38524.6371941469
"2022/2023",2023,123,123,100,113,-1721,9.06067932013241,39969.1528832638
"2023/2024",2024,123,123,100,209,-1111,11.2556130621,34873.2858550134
"2024/2025",2025,123,123,100,206,-1408.5,15.1578564487189,35734.6847373894
"2025/2026",2026,123,123,100,186,-1360.5,13.7836176432066,36659.0231109955
"2026/2027",2027,123,123,100,80,-1633,2.4259807793423,39247.2640476716
"2027/2028",2028,123,123,100,137,-1531.5,8.44435429166015,37122.9241448119
"2028/2029",2029,123,123,100,169,-990.5,15.8203830934632,34776.2355481223
"2029/2030",2030,123,123,100,131,-1685.5,4.93960292434781,39189.7294150372
"2030/2031",2031,123,123,100,160,-1169,13.8450244175007,35429.0056994827
"2031/2032",2032,123,123,100,89,-1558.5,5.20370733826803,39099.5264505078
"2032/2033",2033,123,123,100,168,-961.5,17.0111135522296,34820.8604410836
"2033/2034",2034,123,123,100,198,-1305.5,12.8503426428034,36466.3074786547
"2034/2035",2035,123,123,100,56,-1762,6.0715825709317,40116.2226754432
"2035/2036",2036,123,123,100,85,-1592,8.70486861294614,39967.0715645538
"2036/2037",2037,123,123,100,195,-1364,15.0245493068045,34494.0146822971
"2037/2038",2038,123,123,100,177,-1057.5,12.8913371663535,34218.7754443982
"2038/2039",2039,123,123,100,59,-1656.5,3.01957310741636,39456.765423602
"2039/2040",2040,123,123,100,112,-1468,6.66350558019656,38087.7384589501
"2040/2041",2041,123,123,100,112,-1392,10.8428425920409,37318.2769500157
"2041/2042",2042,123,123,100,123,-1332,8.63900750748314,37249.1679397225
"2042/2043",2043,123,123,100,125,-1371,8.90469065044437,38271.7272471823
"2043/2044",2044,123,123,100,132,-1390,11.2711189467953,37876.4509994285
"2044/2045",2045,123,123,100,40,-1843.5,4.22149252200882,41158.4311839584
"2045/2046",2046,123,123,100,110,-1849.5,6.00352172241776,40250.1956775477
"2046/2047",2047,123,123,100,94,-1733,4.97385038016012,38764.4646007111
"2047/2048",2048,123,123,100,158,-1446,8.53060860912535,38152.3586731125
"2048/2049",2049,123,123,100,303,-919.5,19.7741493807677,33925.2333728746
"2049/2050",2050,123,123,100,342,-1198.5,17.1314317197945,33771.1335577657
"2050/2051",2051,123,123,100,215,-1035.5,17.8742001652513,34733.5080236504
"2051/2052",2052,123,123,100,144,-972,15.5239325287489,34438.7302574804
"2052/2053",2053,123,123,100,207,-1009.5,12.0252205902336,35784.2902819794
"2053/2054",2054,123,123,100,116,-1213,12.8016974007069,36210.769071281
"2054/2055",2055,123,123,100,140,-1302.5,7.10478800909425,37847.7019821936
"2055/2056",2056,123,123,100,264,-954.5,18.6843891586834,34955.2140909852
"2056/2057",2057,123,123,100,152,-952,19.1225016942126,34505.6751748668
"2057/2058",2058,123,123,100,201,-1030,5.68767180903001,34974.9180813655
"2058/2059",2059,123,123,100,120,-1322,9.81762131258608,37095.5608365647
"2059/2060",2060,123,123,100,257,-1312.5,10.7778915889498,35840.7003003219
"2060/2061",2061,123,123,100,175,-1409,6.78080681619701,38605.2824017601
"2061/2062",2062,123,123,100,193,-978.5,17.4159603049112,35664.2602580432
"2062/2063",2063,123,123,100,105,-1303.5,8.77077692555474,36542.7040445525
"2063/2064",2064,123,123,100,197,-1077,13.4765579344599,35026.8474396365
"2064/2065",2065,123,123,100,63,-1621.5,5.79952782251587,38781.8311322257
"2065/2066",2066,123,123,100,197,-1338,11.8696608738462,35492.8325876044
"2066/2067",2067,123,123,100,152,-1279,8.9555734733824,37857.2366687646
"2067/2068",2068,123,123,100,92,-1449.5,7.72255159272299,37249.4728477988
"2068/2069",2069,123,123,100,92,-1863.5,2.70804366867026,39291.7007549331
"2069/2070",2070,123,123,100,146,-1566,9.25858773784387,38568.0501999948
"2070/2071",2071,123,123,100,181,-892,16.465771934901,34880.7427844005
"2071/2072",2072,123,123,100,197,-1278,12.6473922027295,37341.1852639616
"2072/2073",2073,123,123,100,339,-973,18.6420765029754,32873.7058029259
"2073/2074",2074,123,123,100,237,-521.5,14.1741604329734,32094.403802542
"2074/2075",2075,123,123,100,174,-841.5,18.5092175022048,34547.8803230813
"2075/2076",2076,123,123,100,135,-1332,10.386162197262,37125.885114437
"2076/2077",2077,123,123,100,134,-1432.5,12.2608370243494,36363.1178288897
"2077/2078",2078,123,123,100,198,-1182,10.4886780527961,36465.5420604823
"2078/2079",2079,123,123,100,133,-1218,8.9410972574027,36811.9761473602
"2079/2080",2080,123,123,100,160,-1277,12.0929683883938,36300.8740267968
"2080/2081",2081,123,123,100,247,-834,13.8809196994393,33404.5892660823
"2081/2082",2082,123,123,100,249,-927,15.7987365141903,34274.1388426796
"2082/2083",2083,123,123,100,98,-1229.5,12.4720509207175,36470.2929850481
"2083/2084",2084,123,123,100,107,-1346.5,9.63787029409536,36022.6594757717
"2084/2085",2085,123,123,100,206,-1081.5,18.5938306957974,34139.0599700026
"2085/2086",2086,123,123,100,69,-1826.5,5.46542784474786,39955.5190496482
"2086/2087",2087,123,123,100,332,-869.5,18.8762311817197,33159.8412126973
"2087/2088",2088,123,123,100,190,-1205.5,16.698191008956,36177.8460741173
"2088/2089",2089,123,123,100,210,-968,20.7445253755604,33284.5090969373
"2089/2090",2090,123,123,100,115,-1428.5,10.1498740413713,37782.3706077002
"2090/2091",2091,123,123,100,83,-1150,10.8893758136976,37185.2569072675
"2091/2092",2092,123,123,100,224,-1222.5,15.7774924669038,35913.0872734524
"2092/2093",2093,123,123,100,107,-1802,8.33460420016399,39090.640916815
"2093/2094",2094,123,123,100,21,-1925.5,1.19204455960471,42189.9714930635
"2094/2095",2095,123,123,100,204,-1165.5,13.0802896220355,34533.468974065
"2095/2096",2096,123,123,100,94,-1157.5,8.42679854075118,37741.7520163264
"2096/2097",2097,123,123,100,125,-1648,8.92054224852882,39714.1255880333
"2097/2098",2098,123,123,100,95,-1453,7.48934275068632,38619.7767343204
"2098/2099",2099,123,123,100,263,-1005.5,16.2873947129547,34885.4864854049
"2099/2100",2100,123,123,100,82,-1585.5,6.23701127184381,38164.3443376981
