"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,184,-1281.5,13.2497568659572,36715.0106880834
"2000/2001",2001,123,123,100,181,-1526.5,10.9267201523772,38036.9292127826
"2001/2002",2002,123,123,100,143,-1452.5,7.02022010540953,38264.4858768171
"2002/2003",2003,123,123,100,186,-1211,15.5963392710928,36539.567042814
"2003/2004",2004,123,123,100,167,-1348.5,10.4970338146231,37740.4764865119
"2004/2005",2005,123,123,100,101,-1513,7.31472841504859,37952.0707849807
"2005/2006",2006,123,123,100,164,-1295,14.3341980444702,37026.1136238758
"2006/2007",2007,123,123,100,169,-1148.5,16.6214070092204,34806.1773546827
"2007/2008",2008,123,123,100,160,-1683,10.2506198376467,37063.3507248145
"2008/2009",2009,123,123,100,198,-1379.5,11.2656890581936,36554.7097110328
"2009/2010",2010,123,123,100,130,-1170.5,14.8455741413347,36258.8592312601
"2010/2011",2011,123,123,100,82,-1737.5,2.9460592421373,41535.6812594645
"2011/2012",2012,123,123,100,231,-1333.5,14.9517445904182,36547.3865106839
"2012/2013",2013,123,123,100,205,-1007,13.8199900906889,35280.3127244196
"2013/2014",2014,123,123,100,160,-1471,11.3297405257382,37697.3138862844
"2014/2015",2015,123,123,100,156,-1377,8.03315148909317,36702.6789617615
"2015/2016",2016,123,123,100,113,-1628,3.6625160303191,39475.836062388
"2016/2017",2017,123,123,100,80,-1941.5,3.36922037496367,40136.4178829314
"2017/2018",2018,123,123,100,80,-1697.5,6.43024289658018,38561.9400215249
"2018/2019",2019,123,123,100,289,-1094,17.5523329623909,34458.7550546259
"2019/2020",2020,123,123,100,136,-1404,6.56539606515321,38073.7682359354
"2020/2021",2021,123,123,100,139,-1341,14.1802473240298,37174.6283393572
"2021/2022",2022,123,123,100,109,-1742.5,7.41533331440573,39096.5035906802
"2022/2023",2023,123,123,100,103,-1774,7.14548607457436,40435.5545312185
