"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,89,-1431,11.865164364828,38806.4741781128
"2000/2001",2001,123,123,100,107,-1662.5,9.29631851385026,39989.9736506084
"2001/2002",2002,123,123,100,69,-1608,5.65787351384779,40440.0533685642
"2002/2003",2003,123,123,100,95,-1387,13.378227688846,38890.1717642719
"2003/2004",2004,123,123,100,69,-1503.5,9.04147918298115,39906.8930574617
"2004/2005",2005,123,123,100,38,-1646.5,7.03694563390234,39670.5249590414
"2005/2006",2006,123,123,100,106,-1447,11.3222348946996,39054.5497889199
"2006/2007",2007,123,123,100,109,-1354.5,14.1457808903836,37233.8634730816
"2007/2008",2008,123,123,100,124,-1778,9.20333985612568,39485.865297581
"2008/2009",2009,123,123,100,154,-1489,9.8036531384669,38662.8718988197
"2009/2010",2010,123,123,100,53,-1339,11.525709045576,38490.4990637756
"2010/2011",2011,123,123,100,31,-1861.5,2.01895876825382,43258.1424501594
"2011/2012",2012,123,123,100,152,-1425,14.5719094796945,38435.2389707773
"2012/2013",2013,123,123,100,94,-1178.5,13.082496181423,37541.4507451332
"2013/2014",2014,123,123,100,50,-1614.5,7.47195118519289,39703.8854028322
"2014/2015",2015,123,123,100,97,-1522.5,9.10861536504066,38776.2150465674
"2015/2016",2016,123,123,100,65,-1759,5.24729392214451,41538.9356737169
"2016/2017",2017,123,123,100,41,-2053.5,2.59554080008292,42031.9026410803
"2017/2018",2018,123,123,100,46,-1790,4.77455172778451,40069.7891987092
"2018/2019",2019,123,123,100,234,-1154,16.3025697539072,35970.0745177558
"2019/2020",2020,123,123,100,94,-1531,7.74753162338271,40164.9050802677
"2020/2021",2021,123,123,100,57,-1539.5,8.02890109225896,39595.6953392858
"2021/2022",2022,123,123,100,80,-1846.5,5.40503443248247,41150.8245205553
"2022/2023",2023,123,123,100,76,-1909.5,6.55414712102737,42221.4940517936
"2023/2024",2024,123,123,100,94,-1343,9.90069457697956,37692.3444926953
