"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,741,1139.5,67.5452253790443,16969.1858932265
"2000/2001",2001,123,123,100,778,1048.5,63.4167379997498,17795.7874876395
"2001/2002",2002,123,123,100,860,1280.5,71.1519254098366,15562.6792121703
"2002/2003",2003,123,123,100,771,1202.5,65.4407231895927,16972.8675275006
"2003/2004",2004,123,123,100,725,1045,64.0231347861429,17927.3155391907
"2004/2005",2005,123,123,100,802,1124,63.8605304721498,16663.3635021794
"2005/2006",2006,123,123,100,727,967,60.5479839469925,18243.2657990686
"2006/2007",2007,123,123,100,777,898.5,55.005345616911,19080.2832023515
"2007/2008",2008,123,123,100,888,1157.5,67.9837687324912,15301.8230613542
"2008/2009",2009,123,123,100,836,1300.5,67.8620028831589,15716.4846784301
"2009/2010",2010,123,123,100,726,1150.5,65.3920820693327,17219.7838685557
"2010/2011",2011,123,123,100,769,965,63.7095246849019,17810.2379713608
"2011/2012",2012,123,123,100,820,1241.5,68.6516264910408,16255.6802005852
"2012/2013",2013,123,123,100,746,1126,63.4688779650648,17241.9202183047
"2013/2014",2014,123,123,100,798,1188,65.557416626822,16485.4432065093
"2014/2015",2015,123,123,100,917,1246,70.7546519143282,15088.4546621714
"2015/2016",2016,123,123,100,898,1270.5,68.4250592522767,15160.05085337
"2016/2017",2017,123,123,100,892,1159,67.5803868694004,15716.2875988188
"2017/2018",2018,123,123,100,765,1002,60.6870668242443,18483.6959828597
"2018/2019",2019,123,123,100,864,1228,71.4172669677562,15949.7755742806
"2019/2020",2020,123,123,100,849,1202,68.6896384442487,15460.9528461949
"2020/2021",2021,123,123,100,780,1199.5,68.642886904913,16464.2471834647
"2021/2022",2022,123,123,100,903,1195.5,68.9615512050798,15558.9116502602
"2022/2023",2023,123,123,100,713,898.5,54.9476107409225,19330.5049489564
"2023/2024",2024,123,123,100,914,1345,75.5197246918833,13714.3444970245
"2024/2025",2025,123,123,100,750,1012,63.985962451357,17556.7716359436
"2025/2026",2026,123,123,100,814,1159.5,61.0205041000677,16963.4125036215
"2026/2027",2027,123,123,100,1000,1381,75.5472584744834,14354.636584735
"2027/2028",2028,123,123,100,857,1047,64.0344292982527,16356.3501173127
"2028/2029",2029,123,123,100,705,1008,61.3476715075881,18395.9214877901
"2029/2030",2030,123,123,100,987,1166,70.0228473127177,15282.8088253476
