"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,837,1279,71.417476770141,15207.6990836207
"2000/2001",2001,123,123,100,867,1233.5,68.0286948688435,15936.862951038
"2001/2002",2002,123,123,100,971,1439,75.2504151443456,13783.1879982972
"2002/2003",2003,123,123,100,864,1373,71.6239795500385,15144.4919555219
"2003/2004",2004,123,123,100,809,1230,70.3245438857069,16083.094639994
"2004/2005",2005,123,123,100,898,1308,70.5493517796549,14825.9702138582
"2005/2006",2006,123,123,100,813,1146,67.0895990795414,16464.3073428723
"2006/2007",2007,123,123,100,868,1060,60.9258528092557,17257.8577446858
"2007/2008",2008,123,123,100,973,1304.5,74.6519444482394,13544.5811796673
"2008/2009",2009,123,123,100,941,1460,73.2559462118071,13962.8846556804
"2009/2010",2010,123,123,100,830,1343.5,74.2060673296401,15290.7220207844
"2010/2011",2011,123,123,100,833,1149.5,69.7645226182631,15909.3183993609
"2011/2012",2012,123,123,100,927,1409,72.8521671267438,14431.7370880069
"2012/2013",2013,123,123,100,846,1304,71.7463848743794,15322.0141213159
"2013/2014",2014,123,123,100,902,1365.5,73.6147990314669,14692.7676596153
"2014/2015",2015,123,123,100,992,1428,77.7528759781949,13332.2157186181
"2015/2016",2016,123,123,100,984,1434,74.1643949277893,13382.1115401674
"2016/2017",2017,123,123,100,976,1293.5,73.3013837724536,13975.8977957992
"2017/2018",2018,123,123,100,865,1204,63.2550586472455,16632.4541848747
"2018/2019",2019,123,123,100,960,1401.5,73.3223620427807,14154.2957322788
"2019/2020",2020,123,123,100,941,1383,74.5718768589511,13597.546150964
"2020/2021",2021,123,123,100,864,1379.5,74.2725649859544,14625.9049929881
"2021/2022",2022,123,123,100,995,1347.5,74.5288249807381,13841.8775466613
"2022/2023",2023,123,123,100,803,1060,61.2094677567625,17472.1189775721
"2023/2024",2024,123,123,100,1032,1500,77.3823858371379,11958.0418738951
"2024/2025",2025,123,123,100,831,1172,65.7564462603427,15767.4968807283
"2025/2026",2026,123,123,100,914,1293,71.0663572317681,15237.5035553044
"2026/2027",2027,123,123,100,1109,1555,77.8643395378931,12584.4434686177
"2027/2028",2028,123,123,100,944,1200.5,69.7882893258961,14639.7638766849
"2028/2029",2029,123,123,100,785,1198.5,68.6634608151626,16436.8213340989
"2029/2030",2030,123,123,100,1083,1308,71.297004790943,13565.7480320809
"2030/2031",2031,123,123,100,781,1354,74.7465432432177,15012.8135895249
"2031/2032",2032,123,123,100,827,1042,59.6137131532259,17279.3374974052
"2032/2033",2033,123,123,100,806,1447.5,75.4362460792922,14384.1058833231
"2033/2034",2034,123,123,100,1001,1387.5,72.1854787704569,13677.634330384
"2034/2035",2035,123,123,100,886,1159,69.4187578213182,15925.0944488388
"2035/2036",2036,123,123,100,670,1043.5,61.7112291367889,18372.0099138045
"2036/2037",2037,123,123,100,1008,1417,75.7465259429423,13630.5851094993
"2037/2038",2038,123,123,100,864,1380.5,75.8739634824283,13724.6070791688
"2038/2039",2039,123,123,100,1047,1433,76.2550298806182,12945.2529680384
"2039/2040",2040,123,123,100,919,1375,74.1511888192649,13963.0761798797
"2040/2041",2041,123,123,100,858,1253,72.4388263752562,15401.1375774122
"2041/2042",2042,123,123,100,917,1358,73.7308440919087,14349.7391987015
"2042/2043",2043,123,123,100,941,1244,68.0716004426513,15114.2239751644
"2043/2044",2044,123,123,100,862,1244,72.6813193093021,15766.0418795114
"2044/2045",2045,123,123,100,871,1225,69.4954343741438,15831.1943295985
"2045/2046",2046,123,123,100,797,1057.5,59.1705929222198,17124.0517522609
"2046/2047",2047,123,123,100,954,1254,71.0649775590346,14463.8978839274
"2047/2048",2048,123,123,100,1004,1352,70.8293643439565,14545.6329292534
"2048/2049",2049,123,123,100,800,1442.5,74.7263927182266,14713.209361881
"2049/2050",2050,123,123,100,838,1215,69.9209876941768,15722.8752447395
"2050/2051",2051,123,123,100,801,1299.5,73.306965621483,14942.1385897025
"2051/2052",2052,123,123,100,836,1418.5,72.9514313751006,14804.2760785008
"2052/2053",2053,123,123,100,931,1409.5,75.4934637752012,13838.4779288284
"2053/2054",2054,123,123,100,775,1217,68.6600946273174,15667.3780551162
"2054/2055",2055,123,123,100,934,1423,74.1265553040566,13537.4162236415
"2055/2056",2056,123,123,100,842,1382,74.8525224000041,14431.8578262916
"2056/2057",2057,123,123,100,707,1063,65.9118589227828,17760.7967431545
"2057/2058",2058,123,123,100,1140,1659.5,80.2216457839286,11549.1711831791
"2058/2059",2059,123,123,100,964,1334,72.4592482746275,14053.4831537213
"2059/2060",2060,123,123,100,994,1475,74.9495141587649,13375.0149962027
"2060/2061",2061,123,123,100,856,1208.5,65.251116756509,16238.461901878
"2061/2062",2062,123,123,100,732,1103.5,65.8580281527102,16987.2896635681
"2062/2063",2063,123,123,100,882,1171.5,70.7233496603185,14797.7723431969
"2063/2064",2064,123,123,100,797,1435,75.5975201637157,14277.9757779455
"2064/2065",2065,123,123,100,1000,1330,70.6233833947063,14297.5923188506
"2065/2066",2066,123,123,100,1009,1411.5,74.7721591728741,13426.2787532024
"2066/2067",2067,123,123,100,888,1354,73.0356222888859,14786.4894615877
"2067/2068",2068,123,123,100,940,1259.5,70.4852459268041,15165.3188028866
"2068/2069",2069,123,123,100,1158,1426.5,76.524556516385,12936.409973897
"2069/2070",2070,123,123,100,885,1382,71.7684200006815,14767.619659151
"2070/2071",2071,123,123,100,853,1351,72.3872531257348,14717.1845692731
"2071/2072",2072,123,123,100,868,1360,73.0333270860738,14499.3879988054
"2072/2073",2073,123,123,100,1109,1672.5,79.8464089077379,11756.9089596216
