"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,769,1201.5,68.9159661585054,16239.4951426636
"2000/2001",2001,123,123,100,802,1145.5,64.4179619198798,17014.5133665724
"2001/2002",2002,123,123,100,900,1358,72.8386789989899,14811.9027718621
"2002/2003",2003,123,123,100,786,1296.5,69.284988415323,16197.8844428135
"2003/2004",2004,123,123,100,747,1143.5,65.1353100347498,17193.2422433467
"2004/2005",2005,123,123,100,831,1208.5,68.1079211220202,15889.8352981657
"2005/2006",2006,123,123,100,751,1056,66.7206497995958,17534.5702520739
"2006/2007",2007,123,123,100,801,977,60.4270820879764,18334.4930256967
"2007/2008",2008,123,123,100,924,1239.5,71.7805150110412,14536.2461427721
"2008/2009",2009,123,123,100,859,1385.5,72.321457726677,14965.7448206187
"2009/2010",2010,123,123,100,755,1249,68.5455751221841,16394.8466789675
"2010/2011",2011,123,123,100,785,1060,66.9272310823194,17015.1045693909
"2011/2012",2012,123,123,100,843,1326,71.1795780281204,15486.6598617767
"2012/2013",2013,123,123,100,764,1225,69.9509904508247,16433.0666895753
"2013/2014",2014,123,123,100,824,1290,68.023474246982,15717.6217195306
"2014/2015",2015,123,123,100,937,1357.5,74.9766360653095,14311.2657231616
"2015/2016",2016,123,123,100,920,1359.5,71.7349497460955,14374.4973223587
"2016/2017",2017,123,123,100,923,1241.5,70.7958887190985,14944.426799305
"2017/2018",2018,123,123,100,778,1101.5,66.226722547018,17707.0887919592
"2018/2019",2019,123,123,100,891,1318,72.2342743516797,15212.6079818904
"2019/2020",2020,123,123,100,897,1287,70.2506235677681,14672.1621511532
"2020/2021",2021,123,123,100,801,1299.5,69.3037149376182,15679.0129646007
"2021/2022",2022,123,123,100,939,1295,73.1662860356641,14768.1742943882
"2022/2023",2023,123,123,100,720,974,56.2403188929879,18589.8152986695
"2023/2024",2024,123,123,100,962,1439,77.1892960745845,12908.2940656161
"2024/2025",2025,123,123,100,775,1098.5,66.9879825449839,16781.0939617427
"2025/2026",2026,123,123,100,832,1242.5,65.7640895977593,16220.1959997388
"2026/2027",2027,123,123,100,1040,1472.5,76.3455843932893,13595.3740188722
"2027/2028",2028,123,123,100,888,1146,68.77013257112,15646.5632958477
"2028/2029",2029,123,123,100,724,1106,63.4854203734817,17600.4444171917
"2029/2030",2030,123,123,100,1025,1265,70.3468308877109,14541.1300288104
"2030/2031",2031,123,123,100,698,1254,68.3817413574579,16111.9794707485
"2031/2032",2032,123,123,100,783,931.5,58.0211492562034,18447.6947279866
"2032/2033",2033,123,123,100,722,1359,72.4196863087577,15461.9596335781
"2033/2034",2034,123,123,100,942,1324.5,73.5892224714094,14685.335664582
"2034/2035",2035,123,123,100,820,1073.5,65.818235060216,16954.7793562561
"2035/2036",2036,123,123,100,615,947.5,56.783006532843,19552.7535344833
"2036/2037",2037,123,123,100,946,1381,72.4246678248219,14527.2507591336
"2037/2038",2038,123,123,100,814,1282,70.5897753907743,14873.0772021613
"2038/2039",2039,123,123,100,1006,1375,75.1110931101334,13865.9258672846
"2039/2040",2040,123,123,100,837,1305,73.7821370810711,14939.0686172391
"2040/2041",2041,123,123,100,804,1164,68.6523548865889,16490.8185108039
"2041/2042",2042,123,123,100,843,1262.5,72.992502473458,15427.6041338835
"2042/2043",2043,123,123,100,872,1158,67.7485143001677,16164.1881357073
"2043/2044",2044,123,123,100,793,1163,69.1103417440804,16851.8306115437
"2044/2045",2045,123,123,100,790,1139,66.8570128828032,16913.2307198918
"2045/2046",2046,123,123,100,745,962.5,57.4481560201639,18209.5949743707
"2046/2047",2047,123,123,100,903,1189.5,69.4398273763873,15479.699389223
"2047/2048",2048,123,123,100,947,1262,67.9715049996394,15609.3382971287
"2048/2049",2049,123,123,100,723,1343,71.3106518801378,15788.6372471098
"2049/2050",2050,123,123,100,780,1119,65.6618264523131,16808.7376991007
"2050/2051",2051,123,123,100,740,1215.5,70.4861321738908,15983.6532022133
"2051/2052",2052,123,123,100,734,1312,72.7243779543987,15953.9445151938
"2052/2053",2053,123,123,100,855,1328.5,72.6763143522412,14853.7993073203
"2053/2054",2054,123,123,100,731,1119.5,68.6214411767533,16815.81798694
"2054/2055",2055,123,123,100,890,1332.5,72.7652465473493,14624.4863897795
"2055/2056",2056,123,123,100,781,1289,71.2315856410924,15548.0145251649
"2056/2057",2057,123,123,100,659,959.5,60.1082758783496,18929.8646000838
