"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,496,135.5,38.5855520115235,26226.2314352569
"2000/2001",2001,123,123,100,417,216.5,39.5402017402708,26007.1039983115
"2001/2002",2002,123,123,100,322,-4.5,33.3755993638753,28706.2421976437
"2002/2003",2003,123,123,100,447,201,37.3919183034507,25870.3741241849
"2003/2004",2004,123,123,100,410,171.5,37.8493012200695,26499.5407719491
"2004/2005",2005,123,123,100,317,47,36.2789589330733,27504.1017848522
"2005/2006",2006,123,123,100,453,275,39.5801455214426,25087.6969483073
"2006/2007",2007,123,123,100,442,128.5,40.9694386644668,25863.8873552257
"2007/2008",2008,123,123,100,211,-481.5,22.1474130007494,32749.611902256
"2008/2009",2009,123,123,100,393,4,33.941149190406,27821.6036198238
"2009/2010",2010,123,123,100,404,115,36.3926788455482,27199.6877792964
"2010/2011",2011,123,123,100,365,264.5,38.7341013618435,25961.8944663997
"2011/2012",2012,123,123,100,312,-46.5,32.5664271188497,28327.8831524544
"2012/2013",2013,123,123,100,424,135,42.5191305081496,25964.933688909
"2013/2014",2014,123,123,100,433,140,35.2160229997188,27006.3701020381
"2014/2015",2015,123,123,100,236,-252.5,25.321648205727,30706.6088330443
"2015/2016",2016,123,123,100,355,-105.5,34.9119020933985,29313.0799225548
"2016/2017",2017,123,123,100,242,-200,31.3655846668894,30455.888332512
"2017/2018",2018,123,123,100,439,397.5,38.5927618528251,24512.8324081176
"2018/2019",2019,123,123,100,378,82,34.2726396104124,27240.9866527352
"2019/2020",2020,123,123,100,265,-155.5,25.7673040017376,29386.2846392519
"2020/2021",2021,123,123,100,354,-50.5,33.2392804775985,28484.6214817236
"2021/2022",2022,123,123,100,290,-295,28.6661977146751,30549.1687949174
"2022/2023",2023,123,123,100,368,469.5,40.1232056491954,23821.4142511645
"2023/2024",2024,123,123,100,210,-587,19.3821879449231,33515.8077767249
"2024/2025",2025,123,123,100,363,20.5,35.2512414546821,27151.8472274346
"2025/2026",2026,123,123,100,455,175,36.5799073115694,25576.6830649832
"2026/2027",2027,123,123,100,174,-373.5,20.9988191332518,31880.8398081134
"2027/2028",2028,123,123,100,268,-203,29.1003524578218,30195.1330926986
"2028/2029",2029,123,123,100,513,309,41.9929249367151,24842.649481114
"2029/2030",2030,123,123,100,159,-300.5,28.2652038175856,31021.2899688035
"2030/2031",2031,123,123,100,455,277.5,41.2281430606549,25773.6546333707
"2031/2032",2032,123,123,100,369,271,40.3949787392073,25676.1149248057
"2032/2033",2033,123,123,100,483,173.5,40.0156432381052,26386.7387528215
"2033/2034",2034,123,123,100,284,-263.5,27.3595071251495,30983.1094455207
"2034/2035",2035,123,123,100,424,187,42.1871905321163,26442.3831303115
"2035/2036",2036,123,123,100,708,728,50.4879507868659,21759.6394508234
"2036/2037",2037,123,123,100,361,-286,30.2512247051286,30765.412819806
"2037/2038",2038,123,123,100,302,-202.5,26.3873580414236,30442.6165024694
"2038/2039",2039,123,123,100,207,-328,27.164623423138,31076.603806858
"2039/2040",2040,123,123,100,359,-86,36.3728877782069,29053.6772729652
"2040/2041",2041,123,123,100,300,29.5,30.4676718846517,28213.4939428698
"2041/2042",2042,123,123,100,282,-161.5,28.3365244023826,29673.4346899251
"2042/2043",2043,123,123,100,280,18,30.7769280170282,28557.3143174853
"2043/2044",2044,123,123,100,407,330.5,43.0987171781967,25188.3997733975
"2044/2045",2045,123,123,100,404,141,40.3593832146132,26592.4918220704
"2045/2046",2046,123,123,100,446,430.5,43.5943799112285,24237.9454902904
"2046/2047",2047,123,123,100,320,-254.5,28.3987502770458,30856.383672215
"2047/2048",2048,123,123,100,312,90.5,33.457614531329,27221.9920341764
"2048/2049",2049,123,123,100,517,280,40.9834798660561,25449.0639277017
"2049/2050",2050,123,123,100,398,62.5,30.2449993381158,27011.2414207868
"2050/2051",2051,123,123,100,438,186,41.2608049650316,26319.0027295826
"2051/2052",2052,123,123,100,387,138.5,38.1725725761867,26559.3890721397
"2052/2053",2053,123,123,100,365,-94.5,35.987845557956,28404.9223923655
"2053/2054",2054,123,123,100,399,167.5,34.1744965173611,26825.5579911396
"2054/2055",2055,123,123,100,251,-134.5,26.504473832113,29790.8721416015
"2055/2056",2056,123,123,100,424,76,34.0090256675976,27507.6076459987
"2056/2057",2057,123,123,100,555,395,46.1571363059561,24043.8273563031
"2057/2058",2058,123,123,100,340,-436,27.0192554287746,31042.8731525932
"2058/2059",2059,123,123,100,284,-143.5,32.3218644082667,29125.8244105801
"2059/2060",2060,123,123,100,275,-191.5,26.8465834666736,30092.8797557997
"2060/2061",2061,123,123,100,505,414,42.4538371593094,24539.5015679477
"2061/2062",2062,123,123,100,585,385.5,47.9967762887604,24524.8398869075
"2062/2063",2063,123,123,100,405,-4.5,36.8406467018985,28391.9817601349
"2063/2064",2064,123,123,100,351,141,33.4109948708415,27107.1883478686
"2064/2065",2065,123,123,100,223,-221,26.7471400748072,30445.9382296791
