"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,488,82,33.3111072047818,26325.3284859942
"2000/2001",2001,123,123,100,422,197,41.5230793528637,26018.1773161481
"2001/2002",2002,123,123,100,335,-14.5,32.6375159455393,28722.6009054106
"2002/2003",2003,123,123,100,439,202,37.9471515673119,25892.5564166602
"2003/2004",2004,123,123,100,418,175.5,37.4411288915522,26505.6223284573
"2004/2005",2005,123,123,100,303,12.5,34.8634725880811,27703.7108197851
"2005/2006",2006,123,123,100,452,269,39.7072373953377,25091.7643118339
"2006/2007",2007,123,123,100,449,120.5,41.3470047778944,25866.5756579525
"2007/2008",2008,123,123,100,206,-477,22.1276505794817,32712.7021161671
"2008/2009",2009,123,123,100,397,1,33.5707352744409,27815.6065921574
"2009/2010",2010,123,123,100,421,126.5,37.2540985178548,27154.7462037243
"2010/2011",2011,123,123,100,354,267,39.6846066705244,26024.3196257013
"2011/2012",2012,123,123,100,316,-65.5,34.4948307460152,28283.6067879819
"2012/2013",2013,123,123,100,425,138.5,39.5672492319284,26061.340804033
"2013/2014",2014,123,123,100,437,139.5,34.302295572119,27046.7200605993
"2014/2015",2015,123,123,100,250,-242.5,26.1720961457645,30666.1690009942
"2015/2016",2016,123,123,100,367,-92.5,35.3628108463624,29218.0228663001
"2016/2017",2017,123,123,100,230,-224,30.2824607124145,30511.8913861138
"2017/2018",2018,123,123,100,438,387,39.7622701878926,24509.31515666
"2018/2019",2019,123,123,100,379,77,36.2883335156037,27195.7062707441
"2019/2020",2020,123,123,100,275,-145,26.7139877509412,29335.762773437
"2020/2021",2021,123,123,100,363,-61.5,31.4021013157474,28487.1795590813
"2021/2022",2022,123,123,100,302,-333.5,29.6189284251511,30718.3795553963
"2022/2023",2023,123,123,100,370,471,43.3378694555814,23876.0657926695
"2023/2024",2024,123,123,100,218,-587.5,21.6282670073629,33358.0468851114
"2024/2025",2025,123,123,100,365,16,37.5545062879279,27067.3631862914
"2025/2026",2026,123,123,100,445,173.5,38.2012176102616,25680.2946168724
"2026/2027",2027,123,123,100,176,-363,20.9901100106044,31851.8142812564
"2027/2028",2028,123,123,100,270,-198,29.9427862436958,30194.3640202302
"2028/2029",2029,123,123,100,516,314.5,43.1722908483507,24871.972841904
"2029/2030",2030,123,123,100,169,-320,25.004238529574,31051.0135534611
"2030/2031",2031,123,123,100,470,287,39.7661575254729,25778.8488156698
"2031/2032",2032,123,123,100,395,275,42.2965957700612,25631.524102224
"2032/2033",2033,123,123,100,484,175.5,36.791866914378,26478.8470272543
"2033/2034",2034,123,123,100,280,-246.5,26.6612860443836,30917.974586546
"2034/2035",2035,123,123,100,440,175,41.7231046274849,26494.6241927408
"2035/2036",2036,123,123,100,710,727,51.8879098067653,21736.1980806524
"2036/2037",2037,123,123,100,350,-285,27.5022886668471,30711.3747843676
"2037/2038",2038,123,123,100,309,-196,27.149533907726,30450.5531377373
"2038/2039",2039,123,123,100,188,-325.5,23.8276063682636,31175.5452546943
"2039/2040",2040,123,123,100,347,-98.5,32.8945765949684,29128.2372909058
"2040/2041",2041,123,123,100,300,12.5,31.7751259491927,28288.9556523059
"2041/2042",2042,123,123,100,291,-151,28.2149229235092,29558.5423604036
"2042/2043",2043,123,123,100,284,21.5,30.4486980426582,28480.5738353515
"2043/2044",2044,123,123,100,409,322,41.3969818904902,25222.6161704147
"2044/2045",2045,123,123,100,419,140.5,39.045895072976,26610.2543677194
"2045/2046",2046,123,123,100,438,442,43.0726807639578,24172.5147264572
"2046/2047",2047,123,123,100,334,-265.5,29.0742334690053,30874.6796525232
"2047/2048",2048,123,123,100,308,103.5,37.1829390202681,27044.2970893355
"2048/2049",2049,123,123,100,513,253.5,43.0753374911048,25473.4404961979
"2049/2050",2050,123,123,100,396,35,31.042680027097,27060.8691829359
"2050/2051",2051,123,123,100,450,180,40.4440855982391,26422.6992034297
"2051/2052",2052,123,123,100,391,136.5,33.612301896545,26601.9070073804
"2052/2053",2053,123,123,100,362,-101.5,32.2392287036394,28375.1697598705
"2053/2054",2054,123,123,100,407,147,34.7465780289338,26962.9280750211
"2054/2055",2055,123,123,100,237,-132,23.9124188574947,29727.1252920674
"2055/2056",2056,123,123,100,420,46.5,31.7884030723649,27466.3733220156
"2056/2057",2057,123,123,100,575,381,45.8636857371398,24093.7283969056
"2057/2058",2058,123,123,100,329,-434,25.7508477851347,30986.1783048315
"2058/2059",2059,123,123,100,284,-123,29.2191922415454,29030.3231401732
"2059/2060",2060,123,123,100,264,-187.5,26.4764578043719,29968.4167503128
"2060/2061",2061,123,123,100,510,408,41.4632101227603,24532.8992637452
"2061/2062",2062,123,123,100,569,376,44.6446319787519,24548.3192126686
