"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,225,-743.5,17.9275672379841,33954.5482148736
"2000/2001",2001,123,123,100,194,-1028.5,13.0261944888927,35849.8561225413
"2001/2002",2002,123,123,100,190,-908,15.277867560042,35443.0126761691
"2002/2003",2003,123,123,100,229,-686.5,20.579876832112,33995.5899211057
"2003/2004",2004,123,123,100,202,-819.5,18.4529905842987,34956.1425879404
"2004/2005",2005,123,123,100,148,-1011,12.2171016563889,35899.7306052411
"2005/2006",2006,123,123,100,220,-832,18.0352732885455,35212.5820425529
"2006/2007",2007,123,123,100,251,-698.5,20.3610999118384,33461.073089625
"2007/2008",2008,123,123,100,180,-1249,16.0180040692982,36434.6682751317
"2008/2009",2009,123,123,100,240,-899,16.9856582506557,34326.7951884485
"2009/2010",2010,123,123,100,165,-570,21.7836419070495,33068.2542691862
"2010/2011",2011,123,123,100,115,-1151,10.8237240806002,38316.7453007633
"2011/2012",2012,123,123,100,287,-851.5,21.7357530607339,34664.8943514733
"2012/2013",2013,123,123,100,271,-501,22.2958205084096,32275.0948519064
"2013/2014",2014,123,123,100,194,-945,17.7031836255145,35604.0806573422
"2014/2015",2015,123,123,100,188,-890,15.9422030104935,34778.8312962374
"2015/2016",2016,123,123,100,132,-1069,9.30747706593525,36968.9073842317
"2016/2017",2017,123,123,100,96,-1477,7.73280943021001,39364.428606254
"2017/2018",2018,123,123,100,96,-1199.5,11.6278376512993,37203.2141050431
"2018/2019",2019,123,123,100,345,-623,26.320817950247,32208.2148267454
"2019/2020",2020,123,123,100,174,-860,13.7171377262637,35402.1492383066
"2020/2021",2021,123,123,100,176,-867.5,16.9467632559401,34825.1904092953
"2021/2022",2022,123,123,100,130,-1213.5,13.0363893986346,36874.207455568
"2022/2023",2023,123,123,100,130,-1268,11.5394820318953,38385.6432797038
"2023/2024",2024,123,123,100,224,-707.5,18.5322847857973,33308.1468597106
"2024/2025",2025,123,123,100,236,-995,21.1561398355282,34518.115575233
"2025/2026",2026,123,123,100,216,-945,15.6755870297936,35414.1167497225
"2026/2027",2027,123,123,100,91,-1223,5.69590787370691,37958.6907978938
"2027/2028",2028,123,123,100,136,-1143,12.5907203163236,36653.4366625259
"2028/2029",2029,123,123,100,218,-530,23.305372093511,32299.1329557197
"2029/2030",2030,123,123,100,140,-1284,9.32235831037576,38618.2790187132
"2030/2031",2031,123,123,100,207,-700.5,20.1704450161768,33335.1112279324
"2031/2032",2032,123,123,100,97,-1107,7.98782027670791,36947.0845493339
"2032/2033",2033,123,123,100,216,-465,23.3666078672564,31945.8722846168
"2033/2034",2034,123,123,100,224,-898,18.6496135739309,34870.6627789554
"2034/2035",2035,123,123,100,67,-1293,9.0787268527564,39142.1898642634
"2035/2036",2036,123,123,100,101,-1106.5,12.7790525019402,37639.4474878195
"2036/2037",2037,123,123,100,231,-975.5,19.7788505740739,34265.5990699809
"2037/2038",2038,123,123,100,216,-600.5,23.60189725903,32305.9756340059
"2038/2039",2039,123,123,100,70,-1217.5,6.1603932501805,37785.643299452
"2039/2040",2040,123,123,100,138,-1064.5,13.1579804459572,36696.4047646904
"2040/2041",2041,123,123,100,119,-1014,14.5455128468957,36518.0927613126
"2041/2042",2042,123,123,100,151,-901,13.3220244325258,35503.6081975596
"2042/2043",2043,123,123,100,163,-952,14.5179693082442,36385.5629904121
"2043/2044",2044,123,123,100,154,-951,14.3734043289834,35965.3404763024
"2044/2045",2045,123,123,100,60,-1348,6.81346095062054,39112.6858375911
"2045/2046",2046,123,123,100,127,-1455,10.6901148501191,39303.0039242487
"2046/2047",2047,123,123,100,80,-1330.5,7.22681585446776,38230.3601665441
"2047/2048",2048,123,123,100,165,-1025.5,10.5558910816728,36305.8839501068
"2048/2049",2049,123,123,100,348,-465.5,24.5508705777022,31958.3802418476
"2049/2050",2050,123,123,100,371,-850,20.7891483811023,33174.5441149604
"2050/2051",2051,123,123,100,275,-632.5,23.2232975129253,32728.4486985123
"2051/2052",2052,123,123,100,198,-546.5,20.6903374281419,32244.2510415046
