"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,317,-335,26.5700641202167,30790.0312283778
"2000/2001",2001,123,123,100,261,-604.5,20.9040295197817,32939.6436284973
"2001/2002",2002,123,123,100,275,-460,22.87679936879,32122.7439660105
"2002/2003",2003,123,123,100,309,-285,27.6766261466582,30819.4981340207
"2003/2004",2004,123,123,100,288,-395.5,26.0635604512959,31358.0935629505
"2004/2005",2005,123,123,100,227,-579,19.0326758476423,33102.4974370393
"2005/2006",2006,123,123,100,310,-447,26.2433456457178,32219.85649215
"2006/2007",2007,123,123,100,374,-311,29.810348975717,30447.0738491112
"2007/2008",2008,123,123,100,216,-890.5,19.6096404128189,34763.1244126688
"2008/2009",2009,123,123,100,296,-504.5,25.6950309754552,31630.2861955392
"2009/2010",2010,123,123,100,311,-127,33.0832710133415,29518.3232133954
"2010/2011",2011,123,123,100,164,-699.5,15.9181404355492,34920.0009536911
"2011/2012",2012,123,123,100,358,-475,28.4298677355959,31801.0518241427
"2012/2013",2013,123,123,100,379,-49.5,33.0274407334701,28655.2568000336
"2013/2014",2014,123,123,100,299,-543.5,24.7409240445073,32680.1246777782
"2014/2015",2015,123,123,100,273,-515.5,21.2514537137052,31923.6628049084
"2015/2016",2016,123,123,100,176,-638,15.3504968662722,33853.1560850169
"2016/2017",2017,123,123,100,148,-1110,12.8882795781666,37134.4398035614
"2017/2018",2018,123,123,100,143,-796.5,21.0210445851036,34498.7361491036
"2018/2019",2019,123,123,100,443,-241.5,31.3706623469335,29192.5565495752
"2019/2020",2020,123,123,100,233,-426.5,18.7235994505734,31971.8943848754
"2020/2021",2021,123,123,100,286,-436,27.1793658701696,31771.1408954128
"2021/2022",2022,123,123,100,160,-804,18.7257185858097,34456.2023339616
"2022/2023",2023,123,123,100,178,-829,18.0559355864243,35503.862285506
"2023/2024",2024,123,123,100,342,-273.5,27.2647030616395,30270.2747305641
"2024/2025",2025,123,123,100,304,-602,25.5276049519238,32078.5629723868
"2025/2026",2026,123,123,100,276,-549,22.0494634084472,32543.7126013413
"2026/2027",2027,123,123,100,145,-810,12.9327418414886,35202.5050600288
"2027/2028",2028,123,123,100,220,-736,19.4704305122017,34284.7284825188
"2028/2029",2029,123,123,100,324,-62,36.7866683884956,28641.774149531
"2029/2030",2030,123,123,100,197,-903,13.6098652111342,36222.7842483623
"2030/2031",2031,123,123,100,317,-292.5,29.6466462452772,30101.2586515513
"2031/2032",2032,123,123,100,127,-649.5,19.6116335290808,33434.9771729084
"2032/2033",2033,123,123,100,354,-14.5,35.4311521967055,28373.9411367159
"2033/2034",2034,123,123,100,321,-503,24.8008767781367,32058.6203507241
"2034/2035",2035,123,123,100,129,-904.5,12.6789334311691,36460.1204806208
"2035/2036",2036,123,123,100,158,-650.5,19.8175602343849,34026.6029455457
"2036/2037",2037,123,123,100,344,-642,24.6571569573969,32278.9258538918
"2037/2038",2038,123,123,100,323,-169.5,31.5101702131458,29226.4556060787
"2038/2039",2039,123,123,100,130,-795,15.2367939819437,35092.8539153859
"2039/2040",2040,123,123,100,211,-640,20.9417323938546,33776.8101250967
"2040/2041",2041,123,123,100,235,-605,23.4089425469285,33741.9863491207
"2041/2042",2042,123,123,100,237,-485,23.8585382767817,32358.8388931192
"2042/2043",2043,123,123,100,245,-507.5,21.6339408594649,33063.4666336011
"2043/2044",2044,123,123,100,237,-495,23.2049400715332,32769.5342018241
"2044/2045",2045,123,123,100,92,-914.5,16.0253728850932,36142.9408531673
"2045/2046",2046,123,123,100,156,-1068.5,15.7280784276372,36953.4286511978
"2046/2047",2047,123,123,100,138,-914.5,13.7050028686033,35754.299798293
"2047/2048",2048,123,123,100,217,-608.5,20.2334618299742,33320.8679608405
"2048/2049",2049,123,123,100,458,-99.5,34.8629500360109,28801.4249790478
"2049/2050",2050,123,123,100,422,-528.5,29.0182344434611,30703.1046491526
"2050/2051",2051,123,123,100,385,-193,31.5871502391544,29547.5388405845
"2051/2052",2052,123,123,100,319,-91,34.2067838102685,28709.9030018477
"2052/2053",2053,123,123,100,404,-109,28.7638254833605,29335.3869420718
"2053/2054",2054,123,123,100,232,-338.5,24.6464579190722,30918.8753319914
"2054/2055",2055,123,123,100,245,-395,23.1109940530152,31727.9648000998
"2055/2056",2056,123,123,100,415,-102.5,31.7377708982115,28721.9236386567
"2056/2057",2057,123,123,100,332,-80,34.1925398299386,29002.7808870794
"2057/2058",2058,123,123,100,315,-218,24.6180119855749,29695.1708649341
"2058/2059",2059,123,123,100,240,-505.5,21.3017179131575,32572.2086682422
"2059/2060",2060,123,123,100,358,-496.5,24.7844765022085,31907.5655622277
"2060/2061",2061,123,123,100,263,-552,20.2333789226666,33213.6781230411
"2061/2062",2062,123,123,100,328,-107,33.5010314850624,29539.8859304488
"2062/2063",2063,123,123,100,204,-441,25.7771345541898,31831.3661982743
"2063/2064",2064,123,123,100,326,-193,27.5947520646585,29235.3427606672
"2064/2065",2065,123,123,100,110,-790,13.3654494893522,35133.0666543934
