"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,186,-808,16.6497118646362,34886.775416191
"2000/2001",2001,123,123,100,165,-1059,15.8700963639882,36544.7431829694
"2001/2002",2002,123,123,100,149,-962.5,15.8434521191948,36505.7506911467
"2002/2003",2003,123,123,100,199,-754.5,21.5281519505107,35031.4683461768
"2003/2004",2004,123,123,100,164,-869,16.6939259930047,35681.1123210587
"2004/2005",2005,123,123,100,112,-1059.5,12.6913901656058,36831.6846113337
"2005/2006",2006,123,123,100,178,-870.5,19.2574822758103,36008.588757401
"2006/2007",2007,123,123,100,195,-743,21.1034166102636,34338.1920367158
"2007/2008",2008,123,123,100,172,-1317,14.0813347553523,38050.6753238436
"2008/2009",2009,123,123,100,223,-940,19.9095526058975,35455.3961940033
"2009/2010",2010,123,123,100,136,-644,23.1231403985814,33916.620382326
"2010/2011",2011,123,123,100,89,-1198.5,10.0399987580959,39023.9026903803
"2011/2012",2012,123,123,100,260,-871,21.7019993914569,35390.0210040591
"2012/2013",2013,123,123,100,224,-518,24.5548557219345,32855.078061885
"2013/2014",2014,123,123,100,166,-1011,17.0943099083235,36489.2136460228
"2014/2015",2015,123,123,100,149,-934.5,13.7841742860855,35765.1349200937
"2015/2016",2016,123,123,100,118,-1141,9.89036321344616,38025.8832805955
"2016/2017",2017,123,123,100,85,-1543.5,8.81051972061209,40427.3029770027
"2017/2018",2018,123,123,100,86,-1246,15.8449307992201,37958.2966248873
"2018/2019",2019,123,123,100,333,-613.5,26.6564678259636,32772.7263703113
"2019/2020",2020,123,123,100,159,-909.5,13.2855516161749,36064.4478142532
"2020/2021",2021,123,123,100,123,-926,17.3484915028171,35933.9439850799
"2021/2022",2022,123,123,100,125,-1277,12.0900079149793,38090.5994517999
"2022/2023",2023,123,123,100,107,-1320,13.1363026821253,39333.3942302768
"2023/2024",2024,123,123,100,186,-743.5,17.9534477513575,34156.8045458104
"2024/2025",2025,123,123,100,200,-1054.5,21.183661066373,35710.5724269054
"2025/2026",2026,123,123,100,189,-996,13.460570588163,36524.3468533438
"2026/2027",2027,123,123,100,72,-1308.5,5.95363473503392,38946.4748294894
"2027/2028",2028,123,123,100,98,-1226,13.2821984063926,37988.4218873126
"2028/2029",2029,123,123,100,177,-571,24.7316680504059,33105.177616098
"2029/2030",2030,123,123,100,119,-1363,11.3897564620393,39799.0390725108
"2030/2031",2031,123,123,100,180,-768,19.9055725489474,34250.3809697814
"2031/2032",2032,123,123,100,90,-1139,9.52346893318406,37597.2987107313
"2032/2033",2033,123,123,100,195,-531,24.8390954346992,32706.1113212658
"2033/2034",2034,123,123,100,187,-942.5,18.4822499405832,35833.4858393953
"2034/2035",2035,123,123,100,48,-1375,7.04977955817321,40142.820369794
"2035/2036",2036,123,123,100,83,-1136,11.292744002881,38275.7099788534
"2036/2037",2037,123,123,100,188,-1048.5,20.3520558228131,35761.0265387399
"2037/2038",2038,123,123,100,216,-622.5,23.7629325282032,32912.8963332986
"2038/2039",2039,123,123,100,50,-1299.5,7.4102137953455,39242.4862766825
"2039/2040",2040,123,123,100,109,-1123.5,14.4795428930453,37629.8518626671
"2040/2041",2041,123,123,100,81,-1105,12.0576980433589,37620.9992237957
"2041/2042",2042,123,123,100,129,-957.5,12.9211708724217,36302.7189783072
"2042/2043",2043,123,123,100,97,-1024,12.2526733325709,37415.3371975394
"2043/2044",2044,123,123,100,113,-1002,14.1820640397793,36830.0189226381
"2044/2045",2045,123,123,100,44,-1427,6.95183432705005,40066.46043857
