"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,236,-692,20.5333924435581,33735.1717932357
"2000/2001",2001,123,123,100,196,-969.5,16.6340702813386,35685.0335916701
"2001/2002",2002,123,123,100,181,-838.5,15.5526111671047,35240.9748383323
"2002/2003",2003,123,123,100,231,-643.5,19.9703888281966,33930.7237884822
"2003/2004",2004,123,123,100,186,-733,19.0675428563179,34522.9478033179
"2004/2005",2005,123,123,100,153,-951.5,14.0104957919073,35793.5619609508
"2005/2006",2006,123,123,100,203,-764,19.4945188255693,35042.0481821016
"2006/2007",2007,123,123,100,268,-638.5,25.6237423227574,33161.5602472174
"2007/2008",2008,123,123,100,186,-1211.5,15.0826024594159,37030.7440521721
"2008/2009",2009,123,123,100,244,-842,18.097948201812,34342.0299975555
"2009/2010",2010,123,123,100,171,-507,22.9268820585492,32805.1532733517
"2010/2011",2011,123,123,100,113,-1092,12.5180450518664,38100.533068992
"2011/2012",2012,123,123,100,286,-773,22.4479084422802,34625.6711608982
"2012/2013",2013,123,123,100,275,-420.5,26.8473458332651,31894.5619088607
"2013/2014",2014,123,123,100,203,-881,18.0487731853796,35315.6525339268
"2014/2015",2015,123,123,100,190,-820.5,18.0625058452754,34647.6500430231
"2015/2016",2016,123,123,100,132,-1017.5,11.1750560861257,36968.2932735044
"2016/2017",2017,123,123,100,102,-1434,8.86441715597357,39455.7832025609
"2017/2018",2018,123,123,100,98,-1120.5,13.9392601576996,36984.5422976073
"2018/2019",2019,123,123,100,364,-561.5,26.7696053216515,31893.9854261042
"2019/2020",2020,123,123,100,178,-802.5,14.2872256677172,35134.3444330101
"2020/2021",2021,123,123,100,166,-813.5,20.5419512184968,34775.8585468289
"2021/2022",2022,123,123,100,131,-1147.5,14.3194702611588,37069.999679137
"2022/2023",2023,123,123,100,138,-1216,12.8172254329356,38265.7276397268
"2023/2024",2024,123,123,100,222,-627,19.1576828950104,33179.7978885607
"2024/2025",2025,123,123,100,236,-945,21.8649379265725,34583.79120669
"2025/2026",2026,123,123,100,230,-885.5,16.3603067978603,35299.3165939068
"2026/2027",2027,123,123,100,94,-1182.5,7.78222130522249,37877.2163137556
"2027/2028",2028,123,123,100,139,-1107.5,14.2168857690561,36891.6683715675
"2028/2029",2029,123,123,100,222,-458.5,26.5129528192443,31927.7883411325
"2029/2030",2030,123,123,100,148,-1251.5,11.9514687188849,38708.1405077893
"2030/2031",2031,123,123,100,216,-646,21.5560065809182,33196.6556161596
"2031/2032",2032,123,123,100,100,-1017,11.2687610296252,36444.195235014
"2032/2033",2033,123,123,100,225,-393.5,25.5274151284434,31697.8269385719
"2033/2034",2034,123,123,100,230,-844.5,19.3620091901231,34884.9782468011
"2034/2035",2035,123,123,100,76,-1252,9.03198055102825,39134.5675950656
"2035/2036",2036,123,123,100,104,-1032,13.5100282778417,37234.8655137122
"2036/2037",2037,123,123,100,239,-946.5,23.0799400171471,34689.2344151735
"2037/2038",2038,123,123,100,239,-533,26.333980448446,32042.6401715958
"2038/2039",2039,123,123,100,66,-1178.5,7.42327657797864,38207.2502628751
"2039/2040",2040,123,123,100,134,-991,14.2127538843456,36437.8991737245
"2040/2041",2041,123,123,100,134,-963.5,16.425665694326,36399.5317531796
"2041/2042",2042,123,123,100,151,-852,15.2005931118483,35398.808138974
"2042/2043",2043,123,123,100,145,-899.5,16.1683930895608,36323.262507393
"2043/2044",2044,123,123,100,145,-880.5,18.1945428872586,35810.8040049858
"2044/2045",2045,123,123,100,52,-1302,7.92267071158062,39023.6424658867
"2045/2046",2046,123,123,100,120,-1406.5,12.8574233056892,39542.1164845573
"2046/2047",2047,123,123,100,84,-1280,8.53631089111809,38197.3996720323
"2047/2048",2048,123,123,100,165,-958.5,16.3348564061949,36270.490760047
"2048/2049",2049,123,123,100,341,-434,26.9651150632064,31856.7876562364
"2049/2050",2050,123,123,100,381,-794.5,22.7780765675981,32983.2541164542
"2050/2051",2051,123,123,100,263,-537.5,25.6436031177888,32560.4256760739
"2051/2052",2052,123,123,100,204,-457.5,23.0616631369078,31720.673179999
"2052/2053",2053,123,123,100,241,-490,22.3971246771744,32724.017242237
"2053/2054",2054,123,123,100,149,-715,17.2874896501419,33756.1670631636
"2054/2055",2055,123,123,100,161,-755,16.2763844747205,34975.9145887624
"2055/2056",2056,123,123,100,317,-434.5,25.4780629921052,31948.6608306039
"2056/2057",2057,123,123,100,221,-457.5,28.3263923774157,31995.6539154602
"2057/2058",2058,123,123,100,233,-559,17.0309302374919,32628.7530741915
"2058/2059",2059,123,123,100,137,-883,17.5231516094682,35711.2486916725
"2059/2060",2060,123,123,100,287,-819.5,18.6303311858164,34609.3776066452
"2060/2061",2061,123,123,100,176,-895,13.2973655236558,36276.126865386
"2061/2062",2062,123,123,100,201,-481,24.343727685211,32882.6925235
"2062/2063",2063,123,123,100,126,-813.5,17.1728455732182,35001.186262575
"2063/2064",2064,123,123,100,251,-553,23.1912122985755,32291.3368169488
"2064/2065",2065,123,123,100,63,-1148.5,7.80513823103229,37945.3199430145
"2065/2066",2066,123,123,100,237,-904.5,18.1533822952299,34800.0133799314
"2066/2067",2067,123,123,100,207,-716.5,18.8812279419992,34719.2689460758
"2067/2068",2068,123,123,100,129,-1009.5,13.1120774868766,36293.6671014354
"2068/2069",2069,123,123,100,99,-1434,7.83793269503235,39384.0767429266
"2069/2070",2070,123,123,100,162,-1096.5,11.7313493154909,37619.1656637331
"2070/2071",2071,123,123,100,232,-348,25.1985457839783,31997.4740757039
"2071/2072",2072,123,123,100,210,-740,16.6776239795565,34993.1817769026
"2072/2073",2073,123,123,100,382,-505.5,24.5753064877379,31436.9611974619
"2073/2074",2074,123,123,100,264,-12,30.186422032589,28394.2138972301
"2074/2075",2075,123,123,100,213,-352.5,24.1771542482682,31335.4054977968
"2075/2076",2076,123,123,100,154,-820,16.5914309768968,35145.6416863464
"2076/2077",2077,123,123,100,158,-1002.5,19.302765862464,35920.7933065835
"2077/2078",2078,123,123,100,244,-626,19.2014854992162,33482.0307368897
"2078/2079",2079,123,123,100,144,-732.5,17.3864291549662,34166.1907306053
"2079/2080",2080,123,123,100,180,-799.5,17.6806596479046,34606.7764917016
"2080/2081",2081,123,123,100,272,-292.5,25.7464864331121,30326.7563339267
"2081/2082",2082,123,123,100,311,-453,28.3501290775735,31719.7200194001
"2082/2083",2083,123,123,100,132,-709.5,22.1912330498019,33686.737571286
"2083/2084",2084,123,123,100,127,-881.5,16.0575847463358,34805.7373902649
"2084/2085",2085,123,123,100,248,-678.5,23.1159626276585,33510.0773081053
"2085/2086",2086,123,123,100,75,-1310.5,10.3962502457516,38407.4696957208
"2086/2087",2087,123,123,100,349,-396.5,23.1269220511006,31572.6208641231
"2087/2088",2088,123,123,100,244,-740.5,21.956692755276,34149.5893552955
"2088/2089",2089,123,123,100,297,-470.5,29.0390377822041,31121.096184466
"2089/2090",2090,123,123,100,136,-913.5,16.0895203599703,35724.4606267158
"2090/2091",2091,123,123,100,92,-587,20.0085555382559,33772.611570701
"2091/2092",2092,123,123,100,262,-702.5,21.6777051069137,33682.4979621228
"2092/2093",2093,123,123,100,135,-1377.5,16.7438567352533,38817.6659857407
"2093/2094",2094,123,123,100,28,-1368.5,6.99992313445296,40173.5564443935
"2094/2095",2095,123,123,100,237,-716.5,22.6055001700365,33497.7929793298
"2095/2096",2096,123,123,100,120,-574,18.3876070189917,33570.7176709455
"2096/2097",2097,123,123,100,149,-1137.5,11.5408893431231,38109.4482237697
"2097/2098",2098,123,123,100,107,-901.5,14.9609051801176,35920.5405226592
"2098/2099",2099,123,123,100,298,-501,23.3370273429291,32311.3570813667
"2099/2100",2100,123,123,100,105,-1152,11.6979196067718,37711.1195230577
