"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,175,-935,14.7637626977087,35361.8871211554
"2000/2001",2001,123,123,100,148,-1182,12.0189074900455,37186.6766387464
"2001/2002",2002,123,123,100,141,-1103,12.8988281352673,37159.5742084172
"2002/2003",2003,123,123,100,189,-902.5,15.4764092589535,35916.2947377429
"2003/2004",2004,123,123,100,140,-1003,15.9868941283393,36506.172359984
"2004/2005",2005,123,123,100,91,-1186.5,11.9351331598674,37050.9134568927
"2005/2006",2006,123,123,100,152,-999,15.8123125852981,36878.8804948078
"2006/2007",2007,123,123,100,175,-852,20.153793563394,34484.4171669083
"2007/2008",2008,123,123,100,150,-1419,13.3593968766997,38097.7250638251
"2008/2009",2009,123,123,100,209,-1066,14.160769831854,35986.2893573522
"2009/2010",2010,123,123,100,134,-797,17.3597518091532,34827.7257451967
"2010/2011",2011,123,123,100,73,-1343.5,5.0350958275092,39988.0241871441
"2011/2012",2012,123,123,100,223,-998.5,17.6841835634356,36175.8517885217
"2012/2013",2013,123,123,100,218,-686.5,20.6292286932861,33819.5899397759
"2013/2014",2014,123,123,100,148,-1126.5,14.4016619245305,36751.1367964558
"2014/2015",2015,123,123,100,157,-1037,14.4010673321691,35923.0189385302
"2015/2016",2016,123,123,100,107,-1280.5,7.3904759586691,38570.8850882871
"2016/2017",2017,123,123,100,79,-1642,7.92959830525928,40393.8330076768
"2017/2018",2018,123,123,100,79,-1331.5,11.4000014589224,37983.6266885861
"2018/2019",2019,123,123,100,310,-741.5,22.4899671842819,33288.3326377519
"2019/2020",2020,123,123,100,147,-1035.5,8.97906257836678,36965.9374475386
"2020/2021",2021,123,123,100,104,-1069.5,14.0833507508364,36719.0023367195
"2021/2022",2022,123,123,100,109,-1392.5,8.82541180224797,38584.3775065155
"2022/2023",2023,123,123,100,96,-1437,9.67245944014024,39730.5636317483
"2023/2024",2024,123,123,100,167,-877.5,16.5702202290989,34710.7698289962
"2024/2025",2025,123,123,100,180,-1165,16.4417859159982,35979.3626041268
"2025/2026",2026,123,123,100,188,-1121,12.1846662439614,36761.454810109
"2026/2027",2027,123,123,100,67,-1416.5,5.9514703602643,39216.6842781813
"2027/2028",2028,123,123,100,84,-1338,11.9056611926484,38101.0748652034
"2028/2029",2029,123,123,100,163,-728,21.1059441521494,34043.8457086883
"2029/2030",2030,123,123,100,111,-1464.5,8.17970852762977,39875.674387177
"2030/2031",2031,123,123,100,165,-905.5,16.8035269093413,34814.4583623633
"2031/2032",2032,123,123,100,85,-1268,6.72284954954262,38012.8055593912
"2032/2033",2033,123,123,100,192,-708.5,21.6809037589957,33895.1824939735
"2033/2034",2034,123,123,100,185,-1080.5,16.2618653395047,36428.9629411083
"2034/2035",2035,123,123,100,45,-1484.5,5.70136102883453,40170.4669610192
"2035/2036",2036,123,123,100,66,-1276.5,11.2555343701738,38934.4528004946
"2036/2037",2037,123,123,100,196,-1172.5,20.4497749645163,35563.5824188152
"2037/2038",2038,123,123,100,195,-773.5,19.7517838701974,33603.5749565149
"2038/2039",2039,123,123,100,45,-1429.5,5.00984684797584,39903.7900227038
"2039/2040",2040,123,123,100,93,-1217.5,8.818778404113,37734.3383627124
"2040/2041",2041,123,123,100,71,-1226,11.9598334299848,37846.8049492529
"2041/2042",2042,123,123,100,129,-1087,13.0224157971343,36778.3682107013
"2042/2043",2043,123,123,100,85,-1169,10.1259336794241,38313.3933383841
"2043/2044",2044,123,123,100,91,-1126,13.433963420469,37593.5237291185
"2044/2045",2045,123,123,100,39,-1537,5.76776242459243,40393.0585585814
"2045/2046",2046,123,123,100,89,-1611.5,8.92651352763278,40654.1960401675
"2046/2047",2047,123,123,100,41,-1496,6.46609783971076,39187.0757070016
"2047/2048",2048,123,123,100,133,-1206,10.2013437304261,38053.580205515
"2048/2049",2049,123,123,100,240,-662,21.1025625022945,33964.8575078389
"2049/2050",2050,123,123,100,356,-953,19.5769384266493,33808.922589425
"2050/2051",2051,123,123,100,190,-785,20.6761380844681,34431.8411081014
"2051/2052",2052,123,123,100,147,-726,18.7012655913488,33615.7188502606
"2052/2053",2053,123,123,100,149,-773,16.786358619253,34942.0441756267
"2053/2054",2054,123,123,100,77,-979,15.0837717500466,35896.7819425436
"2054/2055",2055,123,123,100,103,-1035.5,11.1153993417307,37023.768136817
"2055/2056",2056,123,123,100,233,-673,19.7621418668363,34012.2686681841
"2056/2057",2057,123,123,100,132,-729.5,19.883826361776,34098.70131924
"2057/2058",2058,123,123,100,186,-776.5,12.3901282901538,34256.7086709235
"2058/2059",2059,123,123,100,87,-1114,15.1001433874095,37262.0441932175
"2059/2060",2060,123,123,100,238,-1026.5,13.8877659263867,35900.5085890284
"2060/2061",2061,123,123,100,131,-1164,10.5647992886591,38176.4523957511
"2061/2062",2062,123,123,100,154,-760.5,18.857002704809,35185.9818486748
"2062/2063",2063,123,123,100,91,-1072.5,11.2485699979978,36698.4836758161
"2063/2064",2064,123,123,100,195,-787.5,17.6146904107533,34145.2823743569
"2064/2065",2065,123,123,100,48,-1389,5.83247300290861,39230.2825728226
"2065/2066",2066,123,123,100,183,-1088.5,14.0804293905032,35915.5558415558
"2066/2067",2067,123,123,100,157,-968,15.1006706688303,36754.2332909163
"2067/2068",2068,123,123,100,95,-1260.5,11.0749057515632,37481.9100770419
"2068/2069",2069,123,123,100,81,-1639.5,6.17152765871174,40155.596419218
"2069/2070",2070,123,123,100,114,-1318,10.3016908574317,38963.917928718
"2070/2071",2071,123,123,100,176,-629,20.7172383769586,34174.3364308123
"2071/2072",2072,123,123,100,179,-1007.5,12.8609775324801,36782.1149131209
"2072/2073",2073,123,123,100,294,-723.5,20.5424243996194,33049.7781325672
"2073/2074",2074,123,123,100,201,-312,22.9447161640012,30738.4634480421
"2074/2075",2075,123,123,100,166,-635,21.2753637626265,33897.5711570662
"2075/2076",2076,123,123,100,111,-1079.5,13.7056993537842,36914.8735539466
"2076/2077",2077,123,123,100,106,-1247,16.9935884827437,37309.4318979401
"2077/2078",2078,123,123,100,190,-883.5,13.6820027316733,35195.9661611468
"2078/2079",2079,123,123,100,107,-997,11.0594197147454,36188.0881086513
"2079/2080",2080,123,123,100,140,-1056.5,14.1370533113982,36514.1944755968
"2080/2081",2081,123,123,100,208,-547.5,24.2372706886913,32194.3504382931
"2081/2082",2082,123,123,100,231,-686,18.6800533387454,33557.9810552839
"2082/2083",2083,123,123,100,97,-972.5,15.5312581964804,35433.0530310012
"2083/2084",2084,123,123,100,87,-1117.5,11.0135290849989,36129.334057983
"2084/2085",2085,123,123,100,166,-923.5,17.9287972960788,35010.3971198779
"2085/2086",2086,123,123,100,61,-1534.5,7.33630705463315,39564.056955073
"2086/2087",2087,123,123,100,276,-646.5,19.2192903592691,33435.7267372906
"2087/2088",2088,123,123,100,196,-959,18.2123023235949,35848.9888452291
"2088/2089",2089,123,123,100,245,-700,26.9876301655027,32289.0854321234
"2089/2090",2090,123,123,100,102,-1169.5,13.2394294234136,37375.5019207001
"2090/2091",2091,123,123,100,72,-907.5,15.0037363583008,36154.4091498759
"2091/2092",2092,123,123,100,220,-948,18.5550150882027,35361.592632832
"2092/2093",2093,123,123,100,89,-1597,13.7112027325788,39869.2365661822
"2093/2094",2094,123,123,100,25,-1627.5,3.96281072180614,41677.4175506905
"2094/2095",2095,123,123,100,182,-954,19.2277233475206,35101.0637877304
"2095/2096",2096,123,123,100,96,-859.5,13.585697275837,36116.7429796215
"2096/2097",2097,123,123,100,104,-1375,10.7069517535381,39497.5522389244
"2097/2098",2098,123,123,100,74,-1166,8.86635227666716,37822.4578707851
"2098/2099",2099,123,123,100,238,-737.5,18.9315342151613,34093.1590081193
"2099/2100",2100,123,123,100,60,-1379.5,8.43781596169538,38810.0501175113
