"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,172,-905,15.0757130325362,35423.1088386565
"2000/2001",2001,123,123,100,151,-1131.5,13.2442226230287,36938.7610193639
"2001/2002",2002,123,123,100,136,-1048,13.7111853360853,36986.8078656975
"2002/2003",2003,123,123,100,184,-841,15.2278111657635,35749.0147696914
"2003/2004",2004,123,123,100,150,-948,16.7322445409931,36311.5157819576
"2004/2005",2005,123,123,100,84,-1150.5,11.9512712067703,37272.714144698
"2005/2006",2006,123,123,100,150,-949.5,16.5569921832133,36760.5862367769
"2006/2007",2007,123,123,100,159,-820,22.0262490878687,34753.2197673296
"2007/2008",2008,123,123,100,163,-1378,13.0046593475876,38098.8307163328
"2008/2009",2009,123,123,100,218,-1010.5,15.6690443401783,35923.1110574221
"2009/2010",2010,123,123,100,141,-743,19.7758721874983,34514.7148905089
"2010/2011",2011,123,123,100,70,-1300,6.03663272453858,39820.4930394059
"2011/2012",2012,123,123,100,227,-938.5,18.3325829689858,35902.3093853297
"2012/2013",2013,123,123,100,211,-609.5,20.9512032268883,33469.2729292139
"2013/2014",2014,123,123,100,146,-1097,16.3444996131869,37027.0283593524
"2014/2015",2015,123,123,100,161,-1004.5,15.052259286176,36141.4011153739
"2015/2016",2016,123,123,100,110,-1235.5,8.3106070721862,38501.3088918496
"2016/2017",2017,123,123,100,76,-1616.5,8.88328980038301,40677.2734438556
"2017/2018",2018,123,123,100,83,-1298,12.3916038642383,38293.8770979992
"2018/2019",2019,123,123,100,297,-683,23.6942614909581,33393.9088203511
"2019/2020",2020,123,123,100,154,-990.5,12.235806610145,36637.0385706364
"2020/2021",2021,123,123,100,120,-1009.5,17.0977301297902,36418.2176033705
"2021/2022",2022,123,123,100,115,-1351.5,11.3257655672775,38494.1934745256
"2022/2023",2023,123,123,100,95,-1400.5,8.5753539735951,39914.9702446689
"2023/2024",2024,123,123,100,172,-816,17.5521599881855,34482.2221189127
"2024/2025",2025,123,123,100,179,-1122,18.8263239402237,36027.1237110766
"2025/2026",2026,123,123,100,190,-1074,12.8340154358716,36992.5202627624
"2026/2027",2027,123,123,100,58,-1381.5,5.98889445977414,39402.6090711085
"2027/2028",2028,123,123,100,80,-1288.5,13.8821753279244,38134.4394688439
"2028/2029",2029,123,123,100,168,-661,22.9979113309095,33656.0358529305
"2029/2030",2030,123,123,100,108,-1434,9.327926375743,40168.4181196676
"2030/2031",2031,123,123,100,177,-861.5,16.788344958286,34659.3358184509
"2031/2032",2032,123,123,100,86,-1223,6.69331649845901,38073.4266746235
"2032/2033",2033,123,123,100,200,-628.5,24.7490034774657,33321.2967538564
"2033/2034",2034,123,123,100,183,-1027.5,18.2470699457043,36380.8088848931
"2034/2035",2035,123,123,100,42,-1456,6.71251428573544,40538.4760231869
"2035/2036",2036,123,123,100,66,-1232.5,11.3900888148597,38857.7624551551
"2036/2037",2037,123,123,100,195,-1126.5,21.7733783174601,35693.1097441753
"2037/2038",2038,123,123,100,191,-702,20.923996289687,33461.7441174071
"2038/2039",2039,123,123,100,51,-1381,5.84402433881212,39568.1123270728
"2039/2040",2040,123,123,100,88,-1202,10.3224983323829,38120.353935739
"2040/2041",2041,123,123,100,63,-1187.5,12.9729259181225,38110.7008479359
"2041/2042",2042,123,123,100,130,-1039,12.9065193805694,36618.2817595974
"2042/2043",2043,123,123,100,87,-1117,11.24183142166,38070.5912155164
"2043/2044",2044,123,123,100,82,-1082,15.8913946904563,37402.6621873062
"2044/2045",2045,123,123,100,39,-1497,5.87742523788984,40485.0384163391
