"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,113,-1214,12.0923230261494,37498.5624406658
"2000/2001",2001,123,123,100,103,-1460.5,8.42089174808649,38820.5030939602
"2001/2002",2002,123,123,100,87,-1406.5,7.64541685375272,39229.9227971348
"2002/2003",2003,123,123,100,136,-1226,13.8244373874866,38142.8555382521
"2003/2004",2004,123,123,100,82,-1314,10.4220976842495,38657.4499278069
"2004/2005",2005,123,123,100,42,-1447,9.04677664051083,38683.0200013716
"2005/2006",2006,123,123,100,92,-1297,9.84734905806931,38931.1124839138
"2006/2007",2007,123,123,100,101,-1134.5,16.2827440314629,36227.9236279479
"2007/2008",2008,123,123,100,121,-1653.5,9.35034012091523,39162.8534388
"2008/2009",2009,123,123,100,168,-1329,10.4111925213312,37799.4874725392
"2009/2010",2010,123,123,100,110,-1113.5,13.7169572378228,36952.8564112801
"2010/2011",2011,123,123,100,40,-1646.5,2.01537713203707,42019.1685584441
"2011/2012",2012,123,123,100,148,-1279.5,16.2803778592703,37925.9217502624
"2012/2013",2013,123,123,100,149,-960.5,13.5001007364089,35944.3488113158
"2013/2014",2014,123,123,100,102,-1418.5,10.9769201066739,38548.1257709153
"2014/2015",2015,123,123,100,116,-1318,8.99066914247587,37462.6973051648
"2015/2016",2016,123,123,100,82,-1566,4.71068908349974,40345.2875662528
"2016/2017",2017,123,123,100,48,-1873,4.3177169481138,41387.7154061932
"2017/2018",2018,123,123,100,60,-1587,6.54035514271303,39241.454634852
"2018/2019",2019,123,123,100,209,-987,16.5062503418889,35425.2022303119
"2019/2020",2020,123,123,100,113,-1315,7.85998874025597,38747.4407684184
"2020/2021",2021,123,123,100,62,-1363,8.02655558285448,38675.877803823
"2021/2022",2022,123,123,100,76,-1675.5,4.89552077966167,40208.6578412727
"2022/2023",2023,123,123,100,79,-1698.5,7.28651937280529,41476.7815678073
"2023/2024",2024,123,123,100,106,-1152,14.5539714543914,36335.7427598187
"2024/2025",2025,123,123,100,112,-1440,11.519354917749,37757.7461643303
"2025/2026",2026,123,123,100,139,-1383,11.6198988693021,38453.4396960088
"2026/2027",2027,123,123,100,28,-1663,3.03031378289461,40724.0816663872
"2027/2028",2028,123,123,100,40,-1604,5.00887911108578,39392.6717256829
"2028/2029",2029,123,123,100,109,-1014,14.577045179216,36301.2856738144
"2029/2030",2030,123,123,100,69,-1716,5.00987789971634,41109.1332367319
"2030/2031",2031,123,123,100,133,-1189,11.8515253953512,36605.6947971941
"2031/2032",2032,123,123,100,72,-1533.5,5.57514865149119,39781.11751003
"2032/2033",2033,123,123,100,138,-1021,18.8359759988277,36070.7716469099
"2033/2034",2034,123,123,100,125,-1349,12.9153427313938,38162.5917402739
"2034/2035",2035,123,123,100,23,-1748.5,5.05547555428467,41494.3290979574
"2035/2036",2036,123,123,100,35,-1571,7.63381465955257,40831.3719469914
"2036/2037",2037,123,123,100,134,-1415.5,16.5523999765101,36445.1491643572
"2037/2038",2038,123,123,100,134,-1062.5,14.5282049366311,35574.475205428
"2038/2039",2039,123,123,100,28,-1708.5,2.00629817715543,41238.0172394719
"2039/2040",2040,123,123,100,53,-1505,7.33991574325592,39421.0296163158
"2040/2041",2041,123,123,100,32,-1517.5,7.96115557274055,39661.5070232702
"2041/2042",2042,123,123,100,94,-1346,10.5962969498426,38260.2189101391
"2042/2043",2043,123,123,100,49,-1490,6.6807510620331,40404.2059158375
"2043/2044",2044,123,123,100,42,-1447.5,7.4880323653523,39540.4642545544
"2044/2045",2045,123,123,100,22,-1813.5,4.01011432964088,41892.7218747046
"2045/2046",2046,123,123,100,44,-1830,6.00067833014515,41502.8740355289
"2046/2047",2047,123,123,100,23,-1753,5.02918527307867,40476.1598788342
"2047/2048",2048,123,123,100,105,-1486.5,6.7885519942792,39855.2119231019
"2048/2049",2049,123,123,100,125,-976.5,17.4436317329605,36179.7395343622
"2049/2050",2050,123,123,100,279,-1124,18.3219650209842,34950.8148499243
"2050/2051",2051,123,123,100,127,-1072.5,17.083597694313,36297.1671871766
"2051/2052",2052,123,123,100,94,-1039.5,12.8977870607143,35934.7961385166
"2052/2053",2053,123,123,100,78,-1092,13.9675785036166,37278.4439168386
"2053/2054",2054,123,123,100,33,-1317.5,8.89747791645516,38156.7757418919
"2054/2055",2055,123,123,100,70,-1339,4.32869491660176,39285.2969568009
"2055/2056",2056,123,123,100,170,-985,16.3811507813459,36466.2968669832
"2056/2057",2057,123,123,100,83,-1070,16.0864064977116,36682.3748014681
"2057/2058",2058,123,123,100,138,-1064,6.53455997818537,36047.5822636625
"2058/2059",2059,123,123,100,43,-1417.5,11.0713423985101,38969.7683116738
"2059/2060",2060,123,123,100,178,-1252.5,14.275241873716,37310.370100175
"2060/2061",2061,123,123,100,94,-1434.5,8.6714659924852,39989.8229868086
"2061/2062",2062,123,123,100,102,-1075,11.2764083106609,37806.8244509967
"2062/2063",2063,123,123,100,54,-1375,7.56298931483605,38425.7573849522
"2063/2064",2064,123,123,100,140,-1077.5,12.0866038343797,36317.704094423
"2064/2065",2065,123,123,100,41,-1670.5,1.8482027660034,40694.5617059013
"2065/2066",2066,123,123,100,126,-1370.5,11.262998865575,37388.9988493891
"2066/2067",2067,123,123,100,111,-1274,8.62170709402142,38947.308880914
"2067/2068",2068,123,123,100,62,-1503,9.13022462015317,38902.3993907599
"2068/2069",2069,123,123,100,47,-1856.5,0.839234254760754,41076.6079313997
"2069/2070",2070,123,123,100,76,-1582.5,7.45329899000455,40367.2605856163
"2070/2071",2071,123,123,100,116,-982.5,16.645407585821,36567.5770011572
"2071/2072",2072,123,123,100,129,-1290,9.90592927213061,38658.7509588292
"2072/2073",2073,123,123,100,204,-1002.5,16.6348148412493,35126.8647335256
"2073/2074",2074,123,123,100,127,-627,17.0190134768295,33481.8935496891
"2074/2075",2075,123,123,100,112,-956,14.8410249187684,36511.322909493
"2075/2076",2076,123,123,100,46,-1384,9.00627180325785,38951.9861358944
"2076/2077",2077,123,123,100,54,-1520,12.2875544896058,38830.9678892791
"2077/2078",2078,123,123,100,115,-1170,12.1422936038755,37417.969696153
"2078/2079",2079,123,123,100,78,-1293.5,7.32870151124678,38320.3371183518
"2079/2080",2080,123,123,100,95,-1345.5,8.66614835385531,38580.2002116721
"2080/2081",2081,123,123,100,140,-870,16.0247505299415,34463.1630343106
