"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,390,306,40.402845286699,25687.5134503205
"2000/2001",2001,123,123,100,348,352,45.4953760365216,25155.8745581674
"2001/2002",2002,123,123,100,246,137,40.3922138714521,27613.9891723651
"2002/2003",2003,123,123,100,376,323.5,41.8158363904858,25429.8853494732
"2003/2004",2004,123,123,100,308,323.5,40.9069743896376,25634.4530281613
"2004/2005",2005,123,123,100,250,227,43.6060032732991,26173.2850675279
"2005/2006",2006,123,123,100,348,379,44.4699818227289,24572.6320568729
"2006/2007",2007,123,123,100,385,283.5,42.7946748018434,25229.8367124721
"2007/2008",2008,123,123,100,183,-186.5,29.3848341143529,30047.3445412797
"2008/2009",2009,123,123,100,328,174,36.7866530233853,26880.4340117013
"2009/2010",2010,123,123,100,357,237.5,41.4223692840437,26396.8389878499
"2010/2011",2011,123,123,100,291,406,42.9410004391848,24809.4029320986
"2011/2012",2012,123,123,100,236,130.5,37.8196303174458,27253.0219947998
"2012/2013",2013,123,123,100,345,225.5,44.474750862678,25875.322715268
"2013/2014",2014,123,123,100,346,302.5,39.6523231558011,25983.5424091236
"2014/2015",2015,123,123,100,194,-75,35.6831168618734,29345.8530157488
"2015/2016",2016,123,123,100,300,51,39.8823273214605,28343.0541365647
"2016/2017",2017,123,123,100,212,60.5,36.2044944855984,28223.8180701428
"2017/2018",2018,123,123,100,357,544,47.3553196826806,23649.5059922258
"2018/2019",2019,123,123,100,300,133,37.6400313669859,27274.4965140941
"2019/2020",2020,123,123,100,214,17.5,36.6288304939306,28107.3694460997
"2020/2021",2021,123,123,100,283,166,37.9396382566083,27021.9969120151
"2021/2022",2022,123,123,100,228,1.5,35.562966724671,28364.0968894828
"2022/2023",2023,123,123,100,314,608.5,50.2776596122037,22917.8016609577
"2023/2024",2024,123,123,100,189,-343,26.5273133932678,31963.1116894055
"2024/2025",2025,123,123,100,300,270.5,40.6930192271111,25943.7251386065
"2025/2026",2026,123,123,100,391,343.5,43.9199168009998,24982.4402353703
"2026/2027",2027,123,123,100,151,-145,27.4331259943626,29809.1745668701
"2027/2028",2028,123,123,100,212,48.5,34.7048306433308,28188.0234335708
"2028/2029",2029,123,123,100,406,408.5,45.4026608791835,24494.4195602769
"2029/2030",2030,123,123,100,121,-32,33.0651769617109,28764.0064545665
"2030/2031",2031,123,123,100,351,395,42.6101278194117,25081.5166987367
"2031/2032",2032,123,123,100,306,447,47.7644079827141,24338.3953461559
"2032/2033",2033,123,123,100,378,253.5,43.8780837745769,26248.7588830581
"2033/2034",2034,123,123,100,236,-29,29.3915566246048,29070.7674788241
"2034/2035",2035,123,123,100,335,386.5,46.6921315963721,25247.3396629253
"2035/2036",2036,123,123,100,550,774,56.2377852785096,21684.3752693739
"2036/2037",2037,123,123,100,294,-11,33.9757203336314,28812.2025040677
"2037/2038",2038,123,123,100,239,-34,31.9820271763988,28952.709130032
"2038/2039",2039,123,123,100,134,-73,36.8192630854264,29118.8359795278
"2039/2040",2040,123,123,100,300,55.5,40.894486820313,27845.6941043902
"2040/2041",2041,123,123,100,219,240.5,43.1802289375025,26551.4641796378
