"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,409,-433,25.5926328132456,31140.8416840068
"2000/2001",2001,123,123,100,341,-429.5,24.8862477700982,31506.0114140888
"2001/2002",2002,123,123,100,218,-652,20.0072769002229,33673.8949354708
"2002/2003",2003,123,123,100,337,-410,26.1513139078763,31021.6722494437
"2003/2004",2004,123,123,100,318,-452.5,21.5892037663609,32121.7356673187
"2004/2005",2005,123,123,100,210,-609,20.9893033509146,33155.6341274643
"2005/2006",2006,123,123,100,362,-320.5,26.6575841397841,30204.0626080557
"2006/2007",2007,123,123,100,356,-390,30.3968464518012,30114.4091497016
"2007/2008",2008,123,123,100,158,-1154.5,12.0627903014574,38645.853196122
"2008/2009",2009,123,123,100,310,-618.5,22.6008636976894,32896.001291306
"2009/2010",2010,123,123,100,284,-511,22.466663323884,32482.6819905427
"2010/2011",2011,123,123,100,274,-402,25.3157391532864,31713.8099423184
"2011/2012",2012,123,123,100,208,-727,18.5081410542804,34241.8310197934
"2012/2013",2013,123,123,100,308,-430,24.6547575189052,30845.3032491882
"2013/2014",2014,123,123,100,350,-451.5,25.7904996548546,31883.0345294916
"2014/2015",2015,123,123,100,142,-954,13.5328436819271,36430.4105590435
"2015/2016",2016,123,123,100,248,-642.5,23.3412119522613,33619.5746569883
"2016/2017",2017,123,123,100,157,-842,22.0701465584397,35737.4233336695
"2017/2018",2018,123,123,100,361,-209.5,25.0997877864584,29760.2683932628
"2018/2019",2019,123,123,100,285,-486,21.6905525487001,31720.2276290203
"2019/2020",2020,123,123,100,211,-812,17.7090538460828,35236.699037821
"2020/2021",2021,123,123,100,246,-683,17.7266468803726,34315.7734935419
"2021/2022",2022,123,123,100,229,-974,18.0975910130608,36105.5264395392
"2022/2023",2023,123,123,100,269,-138.5,25.4326852353266,29697.0131766228
"2023/2024",2024,123,123,100,138,-1283.5,11.6641779815901,38795.9643506873
"2024/2025",2025,123,123,100,265,-580,22.4933205179715,32381.163622865
"2025/2026",2026,123,123,100,377,-362.5,27.9251609019099,30136.5624675318
"2026/2027",2027,123,123,100,134,-1054.5,14.377861153303,37512.1740044309
"2027/2028",2028,123,123,100,202,-888.5,15.7279654828322,35884.6329538184
"2028/2029",2029,123,123,100,393,-294,24.5643308308298,30250.0191087946
"2029/2030",2030,123,123,100,97,-1012,14.1431143246582,36765.2574470332
"2030/2031",2031,123,123,100,301,-325.5,22.6927918007253,31154.0830578227
"2031/2032",2032,123,123,100,294,-353.5,25.7262243196445,31214.1514060497
"2032/2033",2033,123,123,100,364,-392,26.284487573451,31126.2699479898
"2033/2034",2034,123,123,100,191,-931,19.9392374739351,36182.1447192496
"2034/2035",2035,123,123,100,327,-368,29.6934831577687,30789.7304743421
"2035/2036",2036,123,123,100,534,193.5,40.4945202457574,26292.803373049
"2036/2037",2037,123,123,100,258,-925,16.5839928290418,36103.7510557063
