"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,296,-734.5,24.6718434509762,33901.203834161
"2000/2001",2001,123,123,100,246,-761,20.4360623065396,34282.8119224002
"2001/2002",2002,123,123,100,151,-1010.5,10.2503689099659,36409.7486194748
"2002/2003",2003,123,123,100,263,-753.5,17.148171589735,34108.5695911144
"2003/2004",2004,123,123,100,231,-784.5,16.8801185625822,35137.8215763154
"2004/2005",2005,123,123,100,156,-992.5,14.7067116009112,36218.2825083071
"2005/2006",2006,123,123,100,302,-661,20.8969840571636,33015.9241405872
"2006/2007",2007,123,123,100,317,-708,26.8097298455739,32412.4233060343
"2007/2008",2008,123,123,100,108,-1496,5.65430274972178,41250.1685287657
"2008/2009",2009,123,123,100,205,-988,17.2773938708981,35343.3547158168
"2009/2010",2010,123,123,100,204,-873.5,16.3874777677451,35472.1533857002
"2010/2011",2011,123,123,100,183,-805,17.2296508545,35063.7671344529
"2011/2012",2012,123,123,100,134,-1077.5,13.4415143668582,36897.9149531538
"2012/2013",2013,123,123,100,240,-779,18.7178908867313,33746.521129217
"2013/2014",2014,123,123,100,241,-815.5,19.1889722802136,34955.4083585874
"2014/2015",2015,123,123,100,83,-1335.5,6.919368620841,39364.8545522694
"2015/2016",2016,123,123,100,153,-1022,17.4434453780214,36179.2950867563
"2016/2017",2017,123,123,100,89,-1226.5,15.0535829800716,38668.6499508061
"2017/2018",2018,123,123,100,272,-576,19.8858128452503,33187.3052990264
"2018/2019",2019,123,123,100,218,-814,18.3703763901435,34021.6717403661
"2019/2020",2020,123,123,100,134,-1187.5,11.3452458740265,38148.7101842212
"2020/2021",2021,123,123,100,168,-1057,14.0158929662998,37384.9595010206
"2021/2022",2022,123,123,100,174,-1316.5,12.6221148174783,38701.8100600769
"2022/2023",2023,123,123,100,208,-569,16.881472073822,33552.6848850418
"2023/2024",2024,123,123,100,98,-1592,5.79626184088352,40619.059119055
"2024/2025",2025,123,123,100,212,-910.5,17.2301131685015,34902.9787419224
"2025/2026",2026,123,123,100,299,-680.5,22.4373538624267,33012.843448739
"2026/2027",2027,123,123,100,99,-1415.5,10.8028764158092,40232.577041517
"2027/2028",2028,123,123,100,128,-1259,12.5113265071807,38438.7908223206
"2028/2029",2029,123,123,100,312,-646,21.0615934542141,33378.7133576316
"2029/2030",2030,123,123,100,58,-1365.5,8.25782404492111,39477.5677504539
"2030/2031",2031,123,123,100,201,-728.5,18.2559886996783,34453.2541681984
"2031/2032",2032,123,123,100,194,-742.5,18.4340413892888,34545.0515694665
"2032/2033",2033,123,123,100,240,-743,19.07051024389,34033.9069459117
"2033/2034",2034,123,123,100,112,-1288.5,12.9646324880077,38734.4229372623
"2034/2035",2035,123,123,100,227,-715,20.1002338839668,33546.9436693145
"2035/2036",2036,123,123,100,355,-137,33.3018655641603,29368.1486789356
"2036/2037",2037,123,123,100,174,-1240.5,13.6419978506502,38600.4610913401
"2037/2038",2038,123,123,100,151,-1244,9.38263202206258,38678.7278808067
"2038/2039",2039,123,123,100,64,-1365,8.79498127245427,39810.5198124228
"2039/2040",2040,123,123,100,147,-1049,16.6283145255305,36667.908715819
"2040/2041",2041,123,123,100,132,-1048,10.8218642612669,37108.3499742458
"2041/2042",2042,123,123,100,139,-1145,13.753705591786,37341.678817058
"2042/2043",2043,123,123,100,122,-1041.5,12.5191976783697,36929.4000734705
"2043/2044",2044,123,123,100,210,-696,19.3935650164154,34005.5338449785
"2044/2045",2045,123,123,100,241,-828,21.3907823948206,34738.8269833671
"2045/2046",2046,123,123,100,222,-585.5,22.9094824720921,33474.8574703103
"2046/2047",2047,123,123,100,173,-1252,17.1475612233238,38521.0687320596
"2047/2048",2048,123,123,100,155,-913,16.279493201644,35658.7149310922
"2048/2049",2049,123,123,100,265,-657.5,18.4742993083787,34037.7043943796
"2049/2050",2050,123,123,100,235,-883.5,17.9291505747703,35530.87883351
"2050/2051",2051,123,123,100,223,-763,16.9042762861217,34213.5540159503
"2051/2052",2052,123,123,100,195,-847,11.5854666783282,35102.9890969759
"2052/2053",2053,123,123,100,203,-1056.5,15.2990351743227,35387.1614288595
"2053/2054",2054,123,123,100,219,-862.5,16.7026073070048,35623.794749449
"2054/2055",2055,123,123,100,118,-1142,11.4099646681484,38132.3937509814
"2055/2056",2056,123,123,100,263,-869.5,18.0941168959118,34755.5187509293
"2056/2057",2057,123,123,100,303,-493.5,23.210881868563,32320.0206250288
"2057/2058",2058,123,123,100,165,-1303,16.0580906240491,36521.9987730421
"2058/2059",2059,123,123,100,147,-1155,10.4364553136427,37292.8651134316
"2059/2060",2060,123,123,100,131,-1137,9.33978736146332,37813.1220455635
"2060/2061",2061,123,123,100,269,-512,23.0812040168892,32373.3644813122
"2061/2062",2062,123,123,100,377,-432,28.3565965084899,31004.8321099039
"2062/2063",2063,123,123,100,216,-943,16.689994908322,35806.4425742086
"2063/2064",2064,123,123,100,159,-875.5,13.2461656939356,36021.4769836124
"2064/2065",2065,123,123,100,97,-1251.5,11.09412310889,39069.620714399
"2065/2066",2066,123,123,100,155,-1221.5,10.8714550628042,38075.1243855804
"2066/2067",2067,123,123,100,135,-1036.5,12.9351791766092,37113.2908035014
"2067/2068",2068,123,123,100,181,-952,12.8715838723012,36359.9711625362
"2068/2069",2069,123,123,100,67,-1571,5.85935373193456,41454.9996377723
"2069/2070",2070,123,123,100,132,-992,10.4535030749971,37114.0796176726
"2070/2071",2071,123,123,100,173,-957,10.8135405370317,36319.9161140518
"2071/2072",2072,123,123,100,140,-1027.5,10.1030275886283,36630.6179831913
"2072/2073",2073,123,123,100,134,-1399.5,8.43390393152822,39043.5014105206
"2073/2074",2074,123,123,100,197,-964.5,14.2639103522683,35222.9881692901
"2074/2075",2075,123,123,100,360,-598,26.3704021826225,32843.3788642641
"2075/2076",2076,123,123,100,212,-851,18.3267669432942,34933.9082474113
"2076/2077",2077,123,123,100,279,-892,21.5328907366115,35609.719970217
"2077/2078",2078,123,123,100,184,-742.5,19.0302948221872,34880.9183171894
"2078/2079",2079,123,123,100,218,-1077.5,13.2188524258213,37792.5198297873
"2079/2080",2080,123,123,100,176,-1199,14.4830626877715,37480.5878779124
"2080/2081",2081,123,123,100,210,-1100,14.8437042517301,36411.3101861048
"2081/2082",2082,123,123,100,134,-937.5,6.39861508673607,35918.506451156
"2082/2083",2083,123,123,100,275,-762,19.1482722818705,34250.7259750795
"2083/2084",2084,123,123,100,174,-1123.5,12.6347976389363,36328.1326858588
"2084/2085",2085,123,123,100,247,-925,20.1748625698024,34254.0043983776
"2085/2086",2086,123,123,100,228,-849,19.4720745901602,35670.0593266282
"2086/2087",2087,123,123,100,96,-1641.5,2.45144358746893,40378.8725697342
"2087/2088",2088,123,123,100,233,-567.5,21.253017302339,32967.7519857511
"2088/2089",2089,123,123,100,276,-609.5,19.9631282670596,33637.0726306383
"2089/2090",2090,123,123,100,190,-841.5,15.233967773208,35478.9735603388
"2090/2091",2091,123,123,100,468,-219.5,30.6713779661866,29511.0969649404
"2091/2092",2092,123,123,100,220,-971.5,15.875113489974,35883.8619214762
"2092/2093",2093,123,123,100,203,-559,24.612278589424,33255.9526366014
"2093/2094",2094,123,123,100,179,-673.5,20.9060554404323,33941.8969195075
"2094/2095",2095,123,123,100,175,-1190.5,12.7067653616327,37955.3389965761
"2095/2096",2096,123,123,100,188,-838.5,17.8517235104978,35682.221709419
"2096/2097",2097,123,123,100,228,-913,19.3668547601781,35575.0519762449
"2097/2098",2098,123,123,100,219,-514.5,21.031767427608,32035.6628267691
"2098/2099",2099,123,123,100,171,-1044,12.0461358841137,37186.2871816829
"2099/2100",2100,123,123,100,184,-931.5,17.304979944234,36063.5423479713
