"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1730,1639.5,85.286107294745,2388.06776099866
"2000/2001",2001,123,123,100,1535,1569,82.1430155464553,2220.17959008865
"2001/2002",2002,123,123,100,1859,1779,88.7400884826977,1578.4126846554
"2002/2003",2003,123,123,100,1689,1744,87.7964415277812,2366.71848462726
"2003/2004",2004,123,123,100,1755,1685,86.8248359070418,2363.32364655589
"2004/2005",2005,123,123,100,1682,1507,82.3302613207946,2501.11954374518
"2005/2006",2006,123,123,100,1600,1519.5,83.1434033614373,2626.35377418977
"2006/2007",2007,123,123,100,1892,1682,86.4673055083829,2452.13173376676
"2007/2008",2008,123,123,100,1575,1371.5,79.3621924782174,1676.68719920557
"2008/2009",2009,123,123,100,1636,1678.5,87.3263896151727,2220.36583218368
"2009/2010",2010,123,123,100,1744,1703,86.8248195905701,2979.92852831847
"2010/2011",2011,123,123,100,1517,1456,83.2631746823008,2233.55244026508
"2011/2012",2012,123,123,100,1613,1608,85.2451870943742,2684.56019423687
"2012/2013",2013,123,123,100,1716,1816,87.1259594574308,2804.65265767695
"2013/2014",2014,123,123,100,1617,1585.5,83.3595906638648,2099.57010592404
"2014/2015",2015,123,123,100,1797,1626,85.9563072500537,1971.91447580804
"2015/2016",2016,123,123,100,1736,1656.5,84.1636223205046,1436.69183031644
"2016/2017",2017,123,123,100,1584,1329.5,79.4498365632362,1170.30088193843
"2017/2018",2018,123,123,100,1519,1413,82.3599063566035,2234.10104637838
"2018/2019",2019,123,123,100,1759,1733,86.7558295166887,2926.69481649098
"2019/2020",2020,123,123,100,1623,1498.5,84.3708628388099,2627.40931518073
"2020/2021",2021,123,123,100,1706,1651,86.83523153747,2122.84529919096
"2021/2022",2022,123,123,100,1530,1406.5,81.3441258382145,1943.27344911429
"2022/2023",2023,123,123,100,1590,1508,83.3068365589143,1974.63988585386
"2023/2024",2024,123,123,100,1759,1706,83.541609641693,2337.02806923888
"2024/2025",2025,123,123,100,1648,1422,81.2629005146646,1827.07152232132
"2025/2026",2026,123,123,100,1756,1624,86.5751765000377,1906.43212423683
"2026/2027",2027,123,123,100,1804,1680.5,85.4111538970501,1629.2912590513
"2027/2028",2028,123,123,100,1640,1466,83.6506591075913,1644.70719524892
"2028/2029",2029,123,123,100,1694,1699.5,87.4654174476245,2798.83343387558
"2029/2030",2030,123,123,100,1739,1526,83.225584515134,1351.42840614915
"2030/2031",2031,123,123,100,1589,1602,84.6133316501964,2724.0312219467
"2031/2032",2032,123,123,100,1663,1467.5,83.347948400824,2277.58769727196
"2032/2033",2033,123,123,100,1677,1763,87.6121771098697,2991.5972570281
"2033/2034",2034,123,123,100,1726,1597.5,85.0753222364974,2200.00726326648
"2034/2035",2035,123,123,100,1705,1440.5,81.5863587754366,1675.38169617043
"2035/2036",2036,123,123,100,1648,1577.5,84.2706964856889,2505.50803501951
"2036/2037",2037,123,123,100,1762,1522.5,83.5497741459367,1664.33005951345
"2037/2038",2038,123,123,100,1555,1626.5,84.0937792012828,3316.58534374507
