"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1756,1729.5,87.0849334625837,2614.59091212053
"2000/2001",2001,123,123,100,1547,1601.5,83.2883436369236,2579.82532153463
"2001/2002",2002,123,123,100,1853,1868,87.9892746712257,1859.05116885206
"2002/2003",2003,123,123,100,1690,1826,87.2949569780815,2669.5016300999
"2003/2004",2004,123,123,100,1774,1794.5,86.9288646070407,2675.53008920839
"2004/2005",2005,123,123,100,1758,1626.5,82.8591568909435,2679.33079321324
"2005/2006",2006,123,123,100,1606,1612.5,83.3377561172802,2934.46245823696
"2006/2007",2007,123,123,100,1892,1839,88.874665407267,2651.98112304002
"2007/2008",2008,123,123,100,1615,1450.5,79.1764866522133,1990.7465779871
"2008/2009",2009,123,123,100,1620,1768.5,88.2618107320566,2507.58057418268
"2009/2010",2010,123,123,100,1805,1811,88.9579102035593,3233.17156713345
"2010/2011",2011,123,123,100,1543,1510.5,82.5809943309341,2488.33252955991
"2011/2012",2012,123,123,100,1599,1660,84.1935500580103,3139.63935495832
"2012/2013",2013,123,123,100,1730,1907,89.5683616355054,3075.57009225781
"2013/2014",2014,123,123,100,1684,1655,85.2919872194598,2289.61273950501
"2014/2015",2015,123,123,100,1866,1727.5,85.4958565841098,2179.58687721612
"2015/2016",2016,123,123,100,1739,1740.5,84.6910762835005,1709.4379020324
"2016/2017",2017,123,123,100,1667,1425,81.0288114563464,1327.11884465523
"2017/2018",2018,123,123,100,1591,1499.5,82.4736329623952,2419.85356797441
"2018/2019",2019,123,123,100,1788,1850.5,88.50825459832,3179.94337748701
"2019/2020",2020,123,123,100,1651,1566,83.9072584416954,2990.06460714922
"2020/2021",2021,123,123,100,1712,1727,86.5730141773111,2463.15411040385
"2021/2022",2022,123,123,100,1576,1465,81.6783659105031,2245.26061356394
"2022/2023",2023,123,123,100,1658,1601.5,84.5298103659807,2186.26453490439
"2023/2024",2024,123,123,100,1798,1784,86.3691161531724,2645.76387134357
"2024/2025",2025,123,123,100,1678,1529,84.4957480238845,2075.86779424688
"2025/2026",2026,123,123,100,1797,1749.5,87.2391434282854,2080.92385623674
"2026/2027",2027,123,123,100,1853,1802.5,86.1178473630016,1810.54921474191
"2027/2028",2028,123,123,100,1675,1561,84.6154822104418,1868.12432407821
"2028/2029",2029,123,123,100,1718,1797,87.9448918641392,3123.4928014013
"2029/2030",2030,123,123,100,1776,1626,84.0027949423375,1558.42131672683
"2030/2031",2031,123,123,100,1639,1670.5,84.8070839892653,2989.50723918807
"2031/2032",2032,123,123,100,1725,1583,84.4183991620184,2448.60545593128
"2032/2033",2033,123,123,100,1684,1844,87.956410670472,3351.0447098224
"2033/2034",2034,123,123,100,1743,1691,84.6534456601175,2485.03219584934
"2034/2035",2035,123,123,100,1760,1580.5,83.4143178903141,1861.2063905301
"2035/2036",2036,123,123,100,1665,1689,86.7000680611454,2718.32943145838
"2036/2037",2037,123,123,100,1796,1627.5,86.1721883735245,1863.76259032334
"2037/2038",2038,123,123,100,1583,1709,83.9060636694749,3639.12984997244
"2038/2039",2039,123,123,100,1769,1597.5,83.288488263117,1938.93101168866
"2039/2040",2040,123,123,100,1749,1654,86.0043990006661,2184.60846420424
"2040/2041",2041,123,123,100,1828,1758,87.4120914697442,2071.10671376693
"2041/2042",2042,123,123,100,1646,1658.5,85.6258968586963,2935.53665053239
"2042/2043",2043,123,123,100,1836,1698.5,86.3775407505655,2122.46610426763
"2043/2044",2044,123,123,100,1613,1668.5,84.1900061053184,2380.98512869561
"2044/2045",2045,123,123,100,1602,1508,82.7609238460045,2055.42005558847
"2045/2046",2046,123,123,100,1412,1295.5,79.9332439945974,2223.95723197423
"2046/2047",2047,123,123,100,1947,1674.5,86.1020790842158,1425.95497639757
"2047/2048",2048,123,123,100,1589,1652.5,83.9703829027221,2612.65737074707
"2048/2049",2049,123,123,100,1694,1812,86.8879699929093,2966.53328759363
"2049/2050",2050,123,123,100,1688,1687.5,83.4675424784473,3092.22432159446
"2050/2051",2051,123,123,100,1657,1673,85.5399867767374,2944.83462085901
"2051/2052",2052,123,123,100,1847,1902,89.8696628155194,3277.5266575166
"2052/2053",2053,123,123,100,1426,1646,86.9192844961362,3367.73700384935
"2053/2054",2054,123,123,100,1625,1587.5,85.3061608071985,3201.91465871781
"2054/2055",2055,123,123,100,1753,1773.5,87.2139961991306,2597.73403901141
"2055/2056",2056,123,123,100,1648,1879,88.6772250864269,3257.74401061051
"2056/2057",2057,123,123,100,1812,1796,88.4389712665507,3440.07138723647
"2057/2058",2058,123,123,100,1758,1905,89.7822099192217,2785.65775853582
"2058/2059",2059,123,123,100,1899,1843,86.6768736885897,1918.17380498676
"2059/2060",2060,123,123,100,1824,1854.5,87.3899421071947,2366.3875084389
"2060/2061",2061,123,123,100,1700,1742,86.0122255891511,2786.28062803531
"2061/2062",2062,123,123,100,1750,1808.5,87.7608267822761,3463.92287141131
"2062/2063",2063,123,123,100,1814,1655.5,85.1961675786861,2238.00032215472
"2063/2064",2064,123,123,100,1709,1879.5,87.2797500566739,3209.65822260408
"2064/2065",2065,123,123,100,1872,1698,86.6907279615007,1971.6686531431
"2065/2066",2066,123,123,100,1926,1770.5,86.3863329405158,1870.4477794976
"2066/2067",2067,123,123,100,1835,1818,88.1897939246428,3095.82082312368
"2067/2068",2068,123,123,100,1732,1635,85.2665240912538,2260.39475053689
"2068/2069",2069,123,123,100,1772,1551,83.5406078624619,1344.17970592855
"2069/2070",2070,123,123,100,1901,1819,88.2314394899022,1764.23027761281
"2070/2071",2071,123,123,100,1802,1858.5,88.5471087114511,3363.20645183325
"2071/2072",2072,123,123,100,1763,1850.5,86.2514550074411,3100.12431071838
"2072/2073",2073,123,123,100,1888,1983.5,89.9918374037425,2413.86840737844
"2073/2074",2074,123,123,100,1733,1979,89.6518607474063,4027.91907672631
"2074/2075",2075,123,123,100,1834,1848.5,89.2349344807226,3372.08548501087
"2075/2076",2076,123,123,100,1767,1794,85.0608430761495,1942.89548334898
"2076/2077",2077,123,123,100,1781,1672.5,83.6501127594565,1977.42597471923
"2077/2078",2078,123,123,100,1685,1821,89.3767477588135,3227.28822985571
"2078/2079",2079,123,123,100,1722,1723,85.1357496792298,2697.50963014551
"2079/2080",2080,123,123,100,1797,1797.5,86.9094748035313,2081.46322836634
"2080/2081",2081,123,123,100,1659,1816.5,87.4423698410083,3765.3313831347
"2081/2082",2082,123,123,100,1796,1958.5,89.8045039520766,3062.14859532751
"2082/2083",2083,123,123,100,1698,1595,84.7914560364297,2983.09818004398
"2083/2084",2084,123,123,100,1897,1785.5,86.3648026771552,1790.65149478754
"2084/2085",2085,123,123,100,1733,1718,85.7423315604246,2139.95241970615
"2085/2086",2086,123,123,100,1746,1528.5,84.1322480056479,1715.64076327952
"2086/2087",2087,123,123,100,1805,1909,89.0306212490814,3155.72234644508
"2087/2088",2088,123,123,100,1693,1660.5,86.7833706405618,2675.81694359845
"2088/2089",2089,123,123,100,1590,1618,83.764672513902,4145.39140368486
"2089/2090",2090,123,123,100,1948,1912,89.7749736439,1935.54145175684
"2090/2091",2091,123,123,100,1658,1747.5,85.7338536761454,3003.46144397557
"2091/2092",2092,123,123,100,1826,1766,87.5107508515866,2739.45359052485
"2092/2093",2093,123,123,100,1417,1240,78.4867345354251,2076.6280685002
"2093/2094",2094,123,123,100,1647,1540.5,86.7058477717947,1862.43798388494
"2094/2095",2095,123,123,100,1842,1798.5,86.2251910383347,2594.37479269831
"2095/2096",2096,123,123,100,1698,1823,89.6367021616352,3211.23200380988
"2096/2097",2097,123,123,100,1752,1765.5,86.5014772649301,1911.62002028339
"2097/2098",2098,123,123,100,1555,1570.5,84.879956651992,2949.77201876137
"2098/2099",2099,123,123,100,1623,1651.5,83.0522727147509,3607.33116311021
"2099/2100",2100,123,123,100,1928,1735,87.3065162768034,1465.94529687986
