"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,101,-1543.5,11.9714462472774,39059.3453956034
"2000/2001",2001,123,123,100,94,-1774,7.51680546472312,40352.3759355003
"2001/2002",2002,123,123,100,59,-1776,5.8108687373723,41177.4696416892
"2002/2003",2003,123,123,100,95,-1503,13.1961071081898,39132.58317698
"2003/2004",2004,123,123,100,59,-1668.5,9.0438222073214,40762.6583723371
"2004/2005",2005,123,123,100,47,-1814,6.02825975878801,40461.8923911045
"2005/2006",2006,123,123,100,100,-1551,12.0321255941294,39290.2300156932
"2006/2007",2007,123,123,100,121,-1443,14.0599611286601,37406.3468527318
"2007/2008",2008,123,123,100,128,-1874.5,9.1080007841591,39127.4343535652
"2008/2009",2009,123,123,100,148,-1620,9.63214277756435,39065.3411367511
"2009/2010",2010,123,123,100,51,-1464.5,12.065016504675,38948.5277983316
"2010/2011",2011,123,123,100,25,-2034.5,2.01002856102102,43874.9258556119
"2011/2012",2012,123,123,100,157,-1529,13.8073002694218,38527.3860929848
"2012/2013",2013,123,123,100,104,-1301,13.0841116567252,38002.4259506145
"2013/2014",2014,123,123,100,51,-1722.5,8.60528676712983,40155.3409959537
"2014/2015",2015,123,123,100,84,-1700,8.19428905941533,39629.9660726138
"2015/2016",2016,123,123,100,65,-1948.5,4.05760493023175,42222.4508958759
"2016/2017",2017,123,123,100,39,-2189,2.4060147182139,42325.6900571366
"2017/2018",2018,123,123,100,42,-1918,4.78770145129224,40384.5765216374
"2018/2019",2019,123,123,100,230,-1259,15.3719834190211,36379.0161111632
"2019/2020",2020,123,123,100,96,-1717,5.31262658558148,40987.6370525649
"2020/2021",2021,123,123,100,61,-1637,8.01547826609172,40056.5226864456
"2021/2022",2022,123,123,100,73,-1981,4.44345463584182,41424.6612960082
"2022/2023",2023,123,123,100,69,-2025,7.54208487461307,42669.0086727026
"2023/2024",2024,123,123,100,95,-1476.5,7.35314715138992,38204.1679556109
"2024/2025",2025,123,123,100,132,-1684.5,11.4776555225086,38642.7392422426
"2025/2026",2026,123,123,100,95,-1700.5,12.4930530023479,39720.1082432596
"2026/2027",2027,123,123,100,12,-2079.5,1.0010800254372,42726.103681888
"2027/2028",2028,123,123,100,40,-1853.5,3.99400504326496,39689.7223332822
"2028/2029",2029,123,123,100,76,-1374,9.26560609451593,38300.3637099871
"2029/2030",2030,123,123,100,52,-2021.5,3.0130113872126,41896.4017195753
"2030/2031",2031,123,123,100,90,-1505.5,9.44409275921822,38686.2895685192
"2031/2032",2032,123,123,100,55,-1919.5,2.84325265366101,42026.0376039622
"2032/2033",2033,123,123,100,60,-1327.5,12.3798495920885,38082.8433786528
"2033/2034",2034,123,123,100,88,-1663.5,10.7661584961165,39531.3951740898
