"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,13,-1982.5,5.04178107378021,40599.9010335483
"2000/2001",2001,123,123,100,45,-2143.5,4.42275555298645,41249.7107926221
"2001/2002",2002,123,123,100,25,-2153,2.77861062120799,42574.9137548275
"2002/2003",2003,123,123,100,18,-1955.5,6.04580238177995,40482.5302604794
"2003/2004",2004,123,123,100,22,-2065.5,4.99581986694939,41757.1026955013
"2004/2005",2005,123,123,100,0,-2211,4.02216794273605,41514.4913147701
"2005/2006",2006,123,123,100,61,-1974,5.50508041674309,40082.9202909017
"2006/2007",2007,123,123,100,42,-1879,6.61473919684604,38845.492519221
"2007/2008",2008,123,123,100,85,-2176,5.78944696342965,38722.3549786293
"2008/2009",2009,123,123,100,74,-2014,5.38277723263229,40074.9387183568
"2009/2010",2010,123,123,100,13,-1958,6.03159972713586,41424.7476197352
"2010/2011",2011,123,123,100,11,-2408,1.00113755749424,44536.8703758235
"2011/2012",2012,123,123,100,90,-1874,8.51048641645124,39077.7056027304
"2012/2013",2013,123,123,100,30,-1782,7.81509490221279,40533.7913161968
"2013/2014",2014,123,123,100,11,-2118,3.77249627639364,41198.3870927023
"2014/2015",2015,123,123,100,29,-2116.5,2.02174679222585,40657.4707914277
"2015/2016",2016,123,123,100,17,-2319,1.01807536486322,42858.4729895142
"2016/2017",2017,123,123,100,10,-2468,1.00140520418248,41331.8719127998
"2017/2018",2018,123,123,100,16,-2300.5,2.87212592038905,40715.6171367755
"2018/2019",2019,123,123,100,132,-1655,12.8574810797274,37780.8451166528
"2019/2020",2020,123,123,100,52,-2123,4.03255953169398,42471.1793626598
"2020/2021",2021,123,123,100,16,-2082.5,4.02750516372578,41411.3950255129
"2021/2022",2022,123,123,100,37,-2296.5,4.01807908368653,41660.9185108631
"2022/2023",2023,123,123,100,35,-2330,5.09588466652617,42332.4424953507
"2023/2024",2024,123,123,100,40,-1924,1.94648569159583,40032.5081261038
"2024/2025",2025,123,123,100,46,-2026.5,7.78421558485927,39257.2058412042
"2025/2026",2026,123,123,100,47,-2104,7.14735096655994,40398.978239994
"2026/2027",2027,123,123,100,0,-2433,0,42796.4969801605
"2027/2028",2028,123,123,100,6,-2227,0,39790.4111041832
"2028/2029",2029,123,123,100,31,-1900.5,3.99599106811837,41070.3161887373
"2029/2030",2030,123,123,100,15,-2358.5,1.01668399155159,41293.6862219553
"2030/2031",2031,123,123,100,27,-1981,5.99278307811201,40583.2547351816
"2031/2032",2032,123,123,100,34,-2314,1.66396336851082,43353.0717340289
"2032/2033",2033,123,123,100,20,-1808,4.89704830438717,40613.3670422784
