"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,33,-1835.5,8.05225606499003,39986.9963955715
"2000/2001",2001,123,123,100,48,-2080.5,5.4374201258303,41686.3723190613
"2001/2002",2002,123,123,100,26,-2092,1.84221221190782,42931.9536344918
"2002/2003",2003,123,123,100,38,-1858,8.91622174557939,40953.8258139513
"2003/2004",2004,123,123,100,15,-1995,3.01113716641587,42500.3291970237
"2004/2005",2005,123,123,100,2,-2051,5.04733372944528,40723.6227170707
"2005/2006",2006,123,123,100,62,-1877.5,5.57522784594526,40728.05611049
"2006/2007",2007,123,123,100,58,-1717,9.49507925617941,38063.6914121578
"2007/2008",2008,123,123,100,92,-2159.5,6.91086111465608,40249.0202461043
"2008/2009",2009,123,123,100,100,-1921.5,8.03741856106142,40185.1460603628
"2009/2010",2010,123,123,100,18,-1803.5,8.06046682023161,40919.1094181302
"2010/2011",2011,123,123,100,13,-2293.5,1.00813444094375,44305.0133235913
"2011/2012",2012,123,123,100,74,-1866,8.23832071158451,40438.8591792076
"2012/2013",2013,123,123,100,42,-1650.5,10.0971012817302,39752.4744976321
"2013/2014",2014,123,123,100,15,-1984,6.71920035222938,40566.5399353588
"2014/2015",2015,123,123,100,38,-1970.5,6.04676499366336,39982.6030104766
"2015/2016",2016,123,123,100,23,-2257.5,1.00327876967036,43441.1866559265
"2016/2017",2017,123,123,100,20,-2388.5,1.99930433959184,41691.6796541119
"2017/2018",2018,123,123,100,14,-2162,3.02671207449292,40172.1380627973
"2018/2019",2019,123,123,100,145,-1529,13.2675061254316,37720.319352451
"2019/2020",2020,123,123,100,42,-2021,3.9641609894958,42595.2497538435
"2020/2021",2021,123,123,100,19,-1978,6.02680307052927,41730.4616277022
"2021/2022",2022,123,123,100,38,-2239.5,2.96023111018874,42485.9891799469
"2022/2023",2023,123,123,100,49,-2227.5,5.27313637727201,42614.9732741811
"2023/2024",2024,123,123,100,44,-1794.5,3.91517505298853,39766.9718068638
"2024/2025",2025,123,123,100,70,-1968,8.30567122806701,39888.6607929925
"2025/2026",2026,123,123,100,53,-1959,8.03152265538338,40000.7053528614
"2026/2027",2027,123,123,100,2,-2319.5,1.00782046824833,42709.1371643618
"2027/2028",2028,123,123,100,9,-2142,2.00552446587713,40409.0637483061
"2028/2029",2029,123,123,100,33,-1725,7.03345948374385,40344.6826903746
"2029/2030",2030,123,123,100,19,-2271.5,2.01463685309835,41798.6403284711
"2030/2031",2031,123,123,100,47,-1822.5,8.54568076010304,39942.8165641297
"2031/2032",2032,123,123,100,40,-2192,2.2491174568635,42433.713252502
"2032/2033",2033,123,123,100,26,-1713.5,7.89770802448527,40458.9686498609
"2033/2034",2034,123,123,100,57,-1951,6.0067533294239,40758.4468973773
"2034/2035",2035,123,123,100,9,-2369,3.00742464871027,42783.1408806811
"2035/2036",2036,123,123,100,9,-2215,4.02021896692526,43028.0746115972
"2036/2037",2037,123,123,100,22,-1921.5,8.01761447715398,37496.889072184
"2037/2038",2038,123,123,100,68,-1745,8.73811372163661,39134.0768985283
"2038/2039",2039,123,123,100,0,-2395.5,0,43860.8851077994
"2039/2040",2040,123,123,100,3,-2139.5,0,41459.60300344
"2040/2041",2041,123,123,100,2,-2052.5,4.0360808111102,41203.0045954529
"2041/2042",2042,123,123,100,21,-2005,4.89567692917612,41319.4254612625
"2042/2043",2043,123,123,100,10,-2156,1.00390271059175,43417.8506339109
"2043/2044",2044,123,123,100,6,-2048,3.00572723346693,42006.6568732653
"2044/2045",2045,123,123,100,0,-2429.5,1.00397829485988,44091.1342757959
"2045/2046",2046,123,123,100,16,-2394,4.03056748894517,42274.4809767455
"2046/2047",2047,123,123,100,10,-2322.5,0,41611.7269431734
"2047/2048",2048,123,123,100,47,-2081.5,4.83383757398767,42420.3442736026
"2048/2049",2049,123,123,100,45,-1670,12.064537629822,39299.1883385247
"2049/2050",2050,123,123,100,173,-1643.5,13.7252988435679,36029.4677684903
"2050/2051",2051,123,123,100,32,-1732,9.0084079827916,39770.8017800516
"2051/2052",2052,123,123,100,29,-1730.5,8.06444253344478,39498.2128713885
"2052/2053",2053,123,123,100,16,-1759.5,4.99662730398717,41392.4308301918
"2053/2054",2054,123,123,100,1,-1976,4.03692149352281,41156.2517217025
"2054/2055",2055,123,123,100,36,-2012.5,3.08432425078905,42606.1486302344
"2055/2056",2056,123,123,100,89,-1667.5,10.4475374047891,40120.020230541
"2056/2057",2057,123,123,100,30,-1673,8.70338289856687,39648.4522654358
"2057/2058",2058,123,123,100,53,-1806.5,3.89707511572425,39859.6565440083
"2058/2059",2059,123,123,100,10,-2067.5,3.0276854223622,41762.349704993
"2059/2060",2060,123,123,100,103,-1876.5,9.47559741744993,39393.2473607296
"2060/2061",2061,123,123,100,43,-2072,3.189708328802,42657.1148203388
"2061/2062",2062,123,123,100,41,-1717,6.66420064992474,41182.4292498529
"2062/2063",2063,123,123,100,9,-2047,1.9362691410202,40973.6641834378
"2063/2064",2064,123,123,100,99,-1727,7.93449707807656,39725.6291324245
"2064/2065",2065,123,123,100,17,-2313,1.89245511214955,42550.992472793
"2065/2066",2066,123,123,100,63,-1953,7.21248307159226,38928.1546431575
"2066/2067",2067,123,123,100,35,-1984,3.98197431392509,42336.3509714594
"2067/2068",2068,123,123,100,18,-2087,4.27597320253636,40814.7248377874
"2068/2069",2069,123,123,100,19,-2398.5,0.880774866725517,41350.2727215709
"2069/2070",2070,123,123,100,23,-2196,5.03751406337318,41586.2843698021
"2070/2071",2071,123,123,100,13,-1681.5,8.07334571740671,40422.9898681827
"2071/2072",2072,123,123,100,44,-1921.5,7.65708108397962,41753.2718712026
"2072/2073",2073,123,123,100,107,-1619.5,10.7711854650192,38251.2684430154
"2073/2074",2074,123,123,100,33,-1364,10.0560814386294,38709.2209379552
"2074/2075",2075,123,123,100,34,-1685,6.0417820736659,41128.6866763029
"2075/2076",2076,123,123,100,1,-2066.5,5.03506253049147,42034.8392981784
"2076/2077",2077,123,123,100,24,-2055.5,6.01884905943331,39687.3861335414
"2077/2078",2078,123,123,100,36,-1827.5,6.91280697818132,40508.0634946721
"2078/2079",2079,123,123,100,9,-2013.5,2.01805503428483,42504.6069344897
"2079/2080",2080,123,123,100,58,-1979.5,3.99165614412368,41565.5492648333
"2080/2081",2081,123,123,100,46,-1561.5,10.7683217353024,38705.8866825998
"2081/2082",2082,123,123,100,62,-1586.5,8.97290283646322,38995.2027332969
"2082/2083",2083,123,123,100,16,-1883,3.02122660806992,40573.2705277558
"2083/2084",2084,123,123,100,2,-2013.5,5.06259788041029,40167.1134934667
"2084/2085",2085,123,123,100,23,-1736,11.8711725518878,38369.0544113852
"2085/2086",2086,123,123,100,22,-2358,2.92366037944203,42210.0167087577
"2086/2087",2087,123,123,100,78,-1594.5,9.21177084525266,39089.5005443934
"2087/2088",2088,123,123,100,63,-1879,7.76987007905535,39789.6435569711
"2088/2089",2089,123,123,100,56,-1566,15.0583159721043,35770.2174314894
"2089/2090",2090,123,123,100,23,-2149.5,2.55732295007147,42153.5110429786
"2090/2091",2091,123,123,100,4,-1966.5,1.99639633253662,42902.7257150654
"2091/2092",2092,123,123,100,64,-1826,10.0845785229758,40207.5515268445
"2092/2093",2093,123,123,100,3,-2266,5.02521072416926,40697.165676754
"2093/2094",2094,123,123,100,0,-2513.5,0,44985.1343998611
"2094/2095",2095,123,123,100,51,-1867,7.12992380656658,39511.4384764582
"2095/2096",2096,123,123,100,20,-1986.5,2.98248114966066,43797.1559547987
"2096/2097",2097,123,123,100,29,-2270,4.86258681003085,42933.7012537941
"2097/2098",2098,123,123,100,10,-2123.5,3.03127922177543,42728.3239610624
"2098/2099",2099,123,123,100,72,-1687,12.0235034540544,39196.3554506656
"2099/2100",2100,123,123,100,9,-2257,4.02047799118361,41127.772487063
