"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1292,1644,80.9990088471428,10493.0766078409
"2000/2001",2001,123,123,100,1167,1609.5,79.1770846874071,11467.3734554757
"2001/2002",2002,123,123,100,1175,1654,83.3694698033057,10837.2136182022
"2002/2003",2003,123,123,100,1305,1675.5,80.2746846278773,10164.7273498928
"2003/2004",2004,123,123,100,1299,1726,81.9629106878582,10163.8603151753
"2004/2005",2005,123,123,100,1187,1626,80.0637966205223,11187.3755213378
"2005/2006",2006,123,123,100,1214,1597.5,77.9714404710453,11040.86781449
"2006/2007",2007,123,123,100,1328,1591,80.0741454577807,10533.688334971
"2007/2008",2008,123,123,100,1035,1422,72.8155641789157,13465.026532797
"2008/2009",2009,123,123,100,1187,1545,77.7565451190715,11173.1278771462
"2009/2010",2010,123,123,100,1447,1872.5,85.5333692995268,8675.03859658074
"2010/2011",2011,123,123,100,1114,1761,83.6406114644117,11061.4932349859
"2011/2012",2012,123,123,100,1166,1601,81.3849810153167,10792.2957135774
"2012/2013",2013,123,123,100,1326,1737,85.6007395614943,8878.40077868593
"2013/2014",2014,123,123,100,1153,1596,80.0807820010843,11468.2989587602
"2014/2015",2015,123,123,100,1230,1616,79.1154145978674,11368.9787708011
"2015/2016",2016,123,123,100,1139,1647.5,80.680066738076,11816.4467671516
"2016/2017",2017,123,123,100,939,1396.5,76.4472994902585,14230.5520027231
"2017/2018",2018,123,123,100,1100,1581,78.8190899443457,12396.148387501
"2018/2019",2019,123,123,100,1198,1516.5,76.5424806293699,10189.9805566161
"2019/2020",2020,123,123,100,1229,1739.5,83.6518298280962,10332.0652913721
"2020/2021",2021,123,123,100,1260,1686,80.5970584488823,10788.0287786066
"2021/2022",2022,123,123,100,1067,1579.5,78.5949114147984,12415.3438008528
"2022/2023",2023,123,123,100,1012,1547,79.0574345132195,12181.8665771419
"2023/2024",2024,123,123,100,1252,1645,83.1111552458933,10415.9491417278
"2024/2025",2025,123,123,100,1095,1451,74.2184573703853,12501.8467341401
"2025/2026",2026,123,123,100,1128,1520.5,78.323423331989,11783.344600948
"2026/2027",2027,123,123,100,1136,1668,79.1213609095753,11838.8355624531
"2027/2028",2028,123,123,100,1139,1490,75.3466782004734,12852.1807816918
"2028/2029",2029,123,123,100,1417,1830,84.335125890685,8888.19289447227
"2029/2030",2030,123,123,100,1017,1496,77.8497806304404,12811.2774243103
"2030/2031",2031,123,123,100,1285,1697.5,82.0836131515794,10255.4017442726
"2031/2032",2032,123,123,100,1170,1784,82.68249908909,10773.4608592717
"2032/2033",2033,123,123,100,1411,1858,86.3655163860831,8551.08313504048
"2033/2034",2034,123,123,100,1188,1612,79.7824701783102,10978.3838523645
"2034/2035",2035,123,123,100,1069,1583,76.0844445750004,12812.1028009327
"2035/2036",2036,123,123,100,1175,1765,81.3716162731707,10703.6896421234
"2036/2037",2037,123,123,100,1162,1435,73.8539953762211,12606.1986811887
"2037/2038",2038,123,123,100,1308,1696.5,83.2815685320575,9639.82402878301
"2038/2039",2039,123,123,100,1167,1626.5,77.3667944920717,12179.0968063166
"2039/2040",2040,123,123,100,1153,1654,80.6804777907901,11410.402888109
"2040/2041",2041,123,123,100,1225,1649.5,79.1678959036817,11268.9732356085
"2041/2042",2042,123,123,100,1321,1770.5,83.3350926913781,10337.4926845557
"2042/2043",2043,123,123,100,1210,1707.5,82.2995413151575,11028.7390707335
"2043/2044",2044,123,123,100,1217,1645,81.7746389900512,11206.8952462901
"2044/2045",2045,123,123,100,1075,1654.5,82.7665760970585,12081.5591618237
"2045/2046",2046,123,123,100,983,1504.5,74.4538451932531,13432.057009066
"2046/2047",2047,123,123,100,1128,1583.5,74.7388039508187,12670.7728018383
"2047/2048",2048,123,123,100,1170,1674,81.321032212003,11029.1369170835
"2048/2049",2049,123,123,100,1324,1580.5,81.3430779091395,10039.4499524641
"2049/2050",2050,123,123,100,1051,1357,73.3125697800469,11860.3473421298
"2050/2051",2051,123,123,100,1311,1609.5,78.0749091252419,10556.9931277223
"2051/2052",2052,123,123,100,1433,1786,83.2348409586939,8859.51616369002
"2052/2053",2053,123,123,100,1348,1783,85.770644966201,9251.98148901109
"2053/2054",2054,123,123,100,1316,1714.5,81.8457519572448,10323.5235693278
"2054/2055",2055,123,123,100,1265,1743.5,82.1164278808556,9995.55587705132
"2055/2056",2056,123,123,100,1335,1744.5,83.8578489932797,8917.64324000664
"2056/2057",2057,123,123,100,1484,1794,84.3273249183712,8888.36014911905
"2057/2058",2058,123,123,100,1380,1777,83.0040645448498,9508.89114593342
"2058/2059",2059,123,123,100,1235,1634.5,77.9640462698062,11273.1559484396
"2059/2060",2060,123,123,100,1181,1548.5,79.6301368631621,10854.6728525488
"2060/2061",2061,123,123,100,1179,1702,81.9570505297024,10564.6035152785
"2061/2062",2062,123,123,100,1397,1798,84.819213425485,8962.36904091202
"2062/2063",2063,123,123,100,1315,1709.5,78.7342713955313,11072.3552804748
"2063/2064",2064,123,123,100,1306,1682,81.1050431766262,9411.5396671975
"2064/2065",2065,123,123,100,1178,1684,82.3717913447172,11793.9525564574
"2065/2066",2066,123,123,100,1122,1427,77.1962854449948,12207.5740321586
"2066/2067",2067,123,123,100,1292,1831,85.7180501581943,9173.36918815412
"2067/2068",2068,123,123,100,1168,1603.5,77.2230018865203,11829.0401011817
"2068/2069",2069,123,123,100,1005,1421,72.4801611548601,14014.8422943372
"2069/2070",2070,123,123,100,1168,1629,80.9454115361486,11552.7048771791
"2070/2071",2071,123,123,100,1439,1824,86.7108450102078,8289.46535327006
"2071/2072",2072,123,123,100,1325,1828.5,85.7351760695237,9406.52663516533
"2072/2073",2073,123,123,100,1281,1517,79.2370027420675,10166.2489961544
"2073/2074",2074,123,123,100,1614,1935,87.1294824892248,6898.91781070828
"2074/2075",2075,123,123,100,1443,1868,84.7771646641722,8283.90788518265
"2075/2076",2076,123,123,100,1275,1674,79.7433978591343,11036.6285875449
"2076/2077",2077,123,123,100,1184,1445,73.2151089434828,12920.1772182276
"2077/2078",2078,123,123,100,1359,1752.5,84.5627138941745,9026.80213368032
"2078/2079",2079,123,123,100,1292,1754.5,82.384492546882,10189.1746651912
"2079/2080",2080,123,123,100,1201,1665.5,82.1006452543625,10996.4688844876
"2080/2081",2081,123,123,100,1464,1813,87.4052320587089,8343.76959598158
"2081/2082",2082,123,123,100,1354,1715,83.783014939414,9008.63079543691
"2082/2083",2083,123,123,100,1304,1801,81.1201097544035,10157.4612822253
"2083/2084",2084,123,123,100,1267,1614,77.5961124427613,11523.3938692939
"2084/2085",2085,123,123,100,1260,1468.5,73.0397028638945,11839.7199273761
"2085/2086",2086,123,123,100,1032,1585,77.0197640184742,12865.2274252446
"2086/2087",2087,123,123,100,1309,1652.5,85.7346719584475,9186.30857340526
"2087/2088",2088,123,123,100,1214,1616.5,79.8655491838254,10703.2783394894
"2088/2089",2089,123,123,100,1377,1671,82.204400791079,9621.18786603119
"2089/2090",2090,123,123,100,1299,1746.5,81.6286421613604,10516.3227032172
"2090/2091",2091,123,123,100,1447,1957,84.7970020560333,8708.58545597456
"2091/2092",2092,123,123,100,1204,1650.5,83.0267159357663,10212.8015019372
"2092/2093",2093,123,123,100,980,1402,75.360652049234,14135.2640757868
"2093/2094",2094,123,123,100,1088,1762,83.5738802307424,11697.4786000205
"2094/2095",2095,123,123,100,1278,1629.5,79.2775825153331,10790.7970961127
"2095/2096",2096,123,123,100,1499,1970,87.6361958026591,8199.65621003974
"2096/2097",2097,123,123,100,1092,1655.5,82.1356531149795,11502.5236928668
"2097/2098",2098,123,123,100,1247,1769,83.7294648062489,10412.2622805331
"2098/2099",2099,123,123,100,1293,1680,82.9563059372922,9652.67930916324
"2099/2100",2100,123,123,100,1116,1589,78.4107039754654,12341.979797747
