"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1008,1379,72.1317880289919,14426.4706204124
"2000/2001",2001,123,123,100,841,1291.5,69.8675574584242,15729.246423138
"2001/2002",2002,123,123,100,898,1363,71.3440410054654,15107.4295622264
"2002/2003",2003,123,123,100,997,1388.5,71.6763498682341,14196.6760550438
"2003/2004",2004,123,123,100,984,1454.5,72.8922993782829,14263.8724677959
"2004/2005",2005,123,123,100,885,1348,70.9463252087447,15324.6574615074
"2005/2006",2006,123,123,100,879,1313,70.039236635927,15234.1299691079
"2006/2007",2007,123,123,100,1026,1323.5,72.0781455977586,14564.4683751685
"2007/2008",2008,123,123,100,772,1018.5,61.0668624380003,17919.1949729619
"2008/2009",2009,123,123,100,909,1252,71.1159206198507,15289.7486088093
"2009/2010",2010,123,123,100,1101,1618,76.1644957358433,12609.7929342979
"2010/2011",2011,123,123,100,728,1391,72.289796235422,15460.7208172138
"2011/2012",2012,123,123,100,897,1350.5,71.8612350239173,14802.9278141784
"2012/2013",2013,123,123,100,1030,1491.5,77.1886100714269,12843.9596745651
"2013/2014",2014,123,123,100,862,1315.5,68.5808963964571,15694.0301488503
"2014/2015",2015,123,123,100,927,1300.5,69.1178573680265,15490.0814043875
"2015/2016",2016,123,123,100,769,1304.5,69.4137851599767,16156.8385197071
"2016/2017",2017,123,123,100,616,1017.5,61.6217269929978,18778.7166098903
"2017/2018",2018,123,123,100,781,1204,63.755248793602,16924.1610239896
"2018/2019",2019,123,123,100,1000,1312.5,71.1901260682662,13982.6907018768
"2019/2020",2020,123,123,100,875,1420,76.3567568764968,14620.5326930613
"2020/2021",2021,123,123,100,950,1384.5,69.5887154835748,14977.6010478556
"2021/2022",2022,123,123,100,727,1223,67.6014982575921,16744.188554479
"2022/2023",2023,123,123,100,730,1213,67.1433465503005,16574.2067870277
"2023/2024",2024,123,123,100,996,1379,70.4907094902192,14472.4650199222
"2024/2025",2025,123,123,100,851,1150.5,64.7130538474198,16643.4420128302
"2025/2026",2026,123,123,100,838,1173.5,71.3197146971443,16143.9704607413
"2026/2027",2027,123,123,100,813,1301,69.1006963340824,16133.476762895
"2027/2028",2028,123,123,100,858,1195,67.5555362214891,17093.972718515
"2028/2029",2029,123,123,100,1061,1580.5,76.7973680351265,12733.4801787143
"2029/2030",2030,123,123,100,745,1130,65.4550796006902,17361.4671440087
"2030/2031",2031,123,123,100,999,1400,71.7077675634446,14322.4368617069
"2031/2032",2032,123,123,100,801,1383,74.6585529788172,15162.7875530361
"2032/2033",2033,123,123,100,1133,1605,80.2258936230455,12357.0427866192
"2033/2034",2034,123,123,100,862,1319.5,70.4773848046898,15171.4146127705
"2034/2035",2035,123,123,100,720,1175,65.4981395420987,17486.2357458277
"2035/2036",2036,123,123,100,806,1439,73.1380051446135,14889.9255431686
"2036/2037",2037,123,123,100,908,1097.5,62.7789269845921,16950.2157405159
"2037/2038",2038,123,123,100,984,1506.5,75.1039890508155,13304.3057713592
"2038/2039",2039,123,123,100,797,1284.5,69.1877512468641,16559.2342806323
"2039/2040",2040,123,123,100,828,1345.5,70.6340791752928,15599.1760429707
"2040/2041",2041,123,123,100,955,1339.5,67.2411561747736,15558.0747090844
"2041/2042",2042,123,123,100,927,1427,69.1409916445405,14577.7489774106
"2042/2043",2043,123,123,100,854,1363.5,71.0233384878088,15458.5006450089
"2043/2044",2044,123,123,100,914,1373,71.9741084318816,15364.7499558427
"2044/2045",2045,123,123,100,700,1264.5,69.8128867067226,16665.4221240645
"2045/2046",2046,123,123,100,704,1081.5,63.6716964667057,18193.1196124707
"2046/2047",2047,123,123,100,794,1186.5,61.464843382937,17240.3712754967
"2047/2048",2048,123,123,100,786,1330.5,71.1798461079161,15368.1900792373
"2048/2049",2049,123,123,100,1082,1395,74.8767723126366,13863.4906846806
"2049/2050",2050,123,123,100,843,1032.5,63.9189902668468,15960.2431147108
"2050/2051",2051,123,123,100,1046,1368.5,70.308989230175,14462.8580418434
"2051/2052",2052,123,123,100,1123,1606.5,78.3022600739168,12585.5135004241
"2052/2053",2053,123,123,100,1010,1581.5,76.6239871535172,13189.7415018408
"2053/2054",2054,123,123,100,987,1505,75.3390617881896,14042.6162698697
"2054/2055",2055,123,123,100,943,1483.5,78.7544704784859,14025.8053186713
"2055/2056",2056,123,123,100,1032,1507.5,76.3652757823102,12813.3380101053
"2056/2057",2057,123,123,100,1130,1602.5,76.6235324535655,12630.767950872
"2057/2058",2058,123,123,100,1052,1551.5,78.2205716651879,13283.2069286238
"2058/2059",2059,123,123,100,908,1350,66.9634618493346,15623.4132461017
"2059/2060",2060,123,123,100,935,1250,70.0959031718576,15091.7033244427
"2060/2061",2061,123,123,100,869,1342,72.7605753942607,14912.3377411598
"2061/2062",2062,123,123,100,1087,1605.5,76.1341705962586,12712.4168404723
"2062/2063",2063,123,123,100,932,1378.5,71.2660027471338,15276.6972699212
"2063/2064",2064,123,123,100,987,1462,74.5840344468461,13213.7164200349
"2064/2065",2065,123,123,100,830,1315,67.3455393131535,16248.2733824402
"2065/2066",2066,123,123,100,889,1158.5,67.2888337219556,16310.597403801
"2066/2067",2067,123,123,100,933,1589,79.4580498723017,13065.2017516112
"2067/2068",2068,123,123,100,859,1262.5,69.6288146046672,16159.8337893831
"2068/2069",2069,123,123,100,678,1041.5,61.8523514387416,18606.4283909956
"2069/2070",2070,123,123,100,845,1286.5,70.4547669322401,16016.5168841844
"2070/2071",2071,123,123,100,1125,1680,79.4050045493823,12026.5579784019
"2071/2072",2072,123,123,100,966,1550,77.2658383265498,13420.5202468196
"2072/2073",2073,123,123,100,1053,1319.5,70.0203723621626,13875.922668362
"2073/2074",2074,123,123,100,1295,1793.5,83.4553660177462,10339.470761097
"2074/2075",2075,123,123,100,1100,1654,78.5164994689258,12080.9123557005
"2075/2076",2076,123,123,100,977,1378,70.793137979219,15175.1428526379
"2076/2077",2077,123,123,100,918,1164.5,63.3403574323083,17052.8467439339
"2077/2078",2078,123,123,100,988,1527.5,76.0583119907396,12949.338069181
"2078/2079",2079,123,123,100,943,1445.5,71.8731084380488,14284.286288741
"2079/2080",2080,123,123,100,919,1338,73.3330225416421,15133.2087734183
"2080/2081",2081,123,123,100,1113,1624.5,76.3914632782653,12092.1464295285
"2081/2082",2082,123,123,100,1110,1480.5,73.2903296958111,12902.3776679104
"2082/2083",2083,123,123,100,948,1472.5,74.6137330839701,14256.4749968676
"2083/2084",2084,123,123,100,934,1310,68.5357095308509,15629.3379876809
"2084/2085",2085,123,123,100,1016,1197.5,64.972891225997,16016.8783184076
"2085/2086",2086,123,123,100,710,1164.5,65.8422338367154,17443.5410774816
"2086/2087",2087,123,123,100,1089,1426.5,76.8302769963821,13127.7401596811
"2087/2088",2088,123,123,100,940,1359,72.112514325745,14688.1662152559
"2088/2089",2089,123,123,100,1125,1439.5,71.1875755980782,13394.1466991957
"2089/2090",2090,123,123,100,959,1425,71.409573763056,14753.482584917
"2090/2091",2091,123,123,100,1015,1673.5,79.1086230415203,12728.1191447508
"2091/2092",2092,123,123,100,910,1334.5,71.6262498412161,14364.1695029531
"2092/2093",2093,123,123,100,660,1017,60.4730080224999,18782.3575720144
"2093/2094",2094,123,123,100,730,1336,70.3975113809629,16308.6317398911
"2094/2095",2095,123,123,100,1001,1355.5,70.8407463823241,14800.1862580851
"2095/2096",2096,123,123,100,1101,1710,78.8375834079488,12097.0851875786
"2096/2097",2097,123,123,100,744,1295.5,69.7727273133969,15922.9687205236
"2097/2098",2098,123,123,100,867,1422,75.3146914130157,14669.5823514052
"2098/2099",2099,123,123,100,981,1428,75.642455098061,13475.2182778195
"2099/2100",2100,123,123,100,801,1202.5,63.5938400363066,16921.0649631936
