"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,874,1312,70.4755344197179,15678.2696366897
"2000/2001",2001,123,123,100,728,1160,66.0364366841125,17079.8973800935
"2001/2002",2002,123,123,100,770,1254,67.33340212757,16421.1022656543
"2002/2003",2003,123,123,100,912,1325,70.1126433918207,15393.6378855447
"2003/2004",2004,123,123,100,875,1357.5,71.5278344466543,15577.857701934
"2004/2005",2005,123,123,100,784,1234,66.2292359964371,16677.8284717304
"2005/2006",2006,123,123,100,765,1205.5,69.4473818994023,16562.5691193206
"2006/2007",2007,123,123,100,921,1298.5,70.0602820104231,15607.0272903821
"2007/2008",2008,123,123,100,647,896,55.6484453144661,19290.2613544462
"2008/2009",2009,123,123,100,842,1185,68.225272721254,16456.6997818336
"2009/2010",2010,123,123,100,979,1560.5,73.9448771478674,13701.046373134
"2010/2011",2011,123,123,100,583,1234.5,67.9388442350678,16969.6233891826
"2011/2012",2012,123,123,100,799,1209,68.8083337132202,16264.9753023437
"2012/2013",2013,123,123,100,924,1446.5,74.3032338593291,13951.2679684483
"2013/2014",2014,123,123,100,751,1193,67.1010316936915,17060.6344849179
"2014/2015",2015,123,123,100,814,1211,66.3416130091578,16759.0508141827
"2015/2016",2016,123,123,100,667,1158.5,67.628328387483,17604.9179230947
"2016/2017",2017,123,123,100,537,879,56.3439802850557,20306.4867971181
"2017/2018",2018,123,123,100,663,1086,62.5328909880632,18263.0442655212
"2018/2019",2019,123,123,100,890,1233.5,69.2169258194306,15190.5102669511
"2019/2020",2020,123,123,100,741,1303.5,69.443616774055,15960.5426306212
"2020/2021",2021,123,123,100,837,1286,67.3774294635646,16190.6694230775
"2021/2022",2022,123,123,100,621,1072.5,60.5741688945964,18252.1227980754
"2022/2023",2023,123,123,100,628,1077,62.0506426445406,18052.8539718259
"2023/2024",2024,123,123,100,875,1301,68.8099897821808,15698.5652731704
"2024/2025",2025,123,123,100,750,1036,62.9785674224418,17906.6418719641
"2025/2026",2026,123,123,100,746,1120,68.236615659092,17324.8832052001
"2026/2027",2027,123,123,100,705,1187,67.0050763995932,17550.7330351444
"2027/2028",2028,123,123,100,721,1062.5,64.9878015162735,18528.4188106852
"2028/2029",2029,123,123,100,946,1514,75.8934788055353,13867.8052451033
"2029/2030",2030,123,123,100,646,1002.5,64.0174994870986,18785.0163372271
"2030/2031",2031,123,123,100,876,1322,69.691439901464,15458.8047904116
"2031/2032",2032,123,123,100,663,1267.5,70.3636593688689,16519.2914255233
"2032/2033",2033,123,123,100,1008,1550.5,76.2141789531433,13510.9337699264
"2033/2034",2034,123,123,100,773,1222,65.9387454720309,16441.5133914873
"2034/2035",2035,123,123,100,606,1037,63.7629828357112,18904.1633152873
