"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,871,816,53.6823332997783,18334.8327414454
"2000/2001",2001,123,123,100,966,900,57.8144399745692,17789.4992982252
"2001/2002",2002,123,123,100,881,816,45.4971955522275,19662.8959703051
"2002/2003",2003,123,123,100,918,838,51.5680390025684,18381.9906739229
"2003/2004",2004,123,123,100,965,919,51.7864453049328,18197.2001833593
"2004/2005",2005,123,123,100,889,905,59.2674202060089,18677.0460534656
"2005/2006",2006,123,123,100,964,929,52.6968522541454,17361.534557445
"2006/2007",2007,123,123,100,895,833,52.7404828990659,17893.5393036425
"2007/2008",2008,123,123,100,692,693.5,48.9040412179651,21001.4735827353
"2008/2009",2009,123,123,100,904,782,51.849945638951,19242.2892875276
"2009/2010",2010,123,123,100,914,798,48.8362045199323,19104.7220239909
"2010/2011",2011,123,123,100,961,1026.5,57.8072224156004,17228.610383092
"2011/2012",2012,123,123,100,894,783,46.4202506110011,19482.7144780655
"2012/2013",2013,123,123,100,933,798.5,50.0468094852588,18933.5274373011
"2013/2014",2014,123,123,100,898,864,49.8345643244842,18378.1848802208
"2014/2015",2015,123,123,100,805,753.5,47.2945960833401,20552.1091718727
"2015/2016",2016,123,123,100,889,725,43.6905061634745,20356.548970972
"2016/2017",2017,123,123,100,865,859,49.0061437439388,19623.8001702919
"2017/2018",2018,123,123,100,1033,1085,60.6976184297009,16134.1763915131
"2018/2019",2019,123,123,100,908,790.5,48.5348511346497,19367.9142537159
"2019/2020",2020,123,123,100,842,776.5,50.3618607250928,19644.3587533664
"2020/2021",2021,123,123,100,841,790,51.1450702456718,19306.2998783975
"2021/2022",2022,123,123,100,744,729.5,47.5547247429245,20010.1376727421
"2022/2023",2023,123,123,100,1032,1185,66.1964705058419,15601.914242018
"2023/2024",2024,123,123,100,643,507.5,37.5978663049414,22572.9260269031
"2024/2025",2025,123,123,100,834,847,54.9116228896371,18534.3398021217
"2025/2026",2026,123,123,100,923,873.5,51.7875316918028,17573.5728227771
"2026/2027",2027,123,123,100,771,748,46.4761084640841,20598.1970993322
"2027/2028",2028,123,123,100,834,835.5,49.0272701876445,19618.5140115023
"2028/2029",2029,123,123,100,947,882.5,53.3584737624333,17797.9451601068
"2029/2030",2030,123,123,100,796,841,50.4724995796921,19970.4667701265
"2030/2031",2031,123,123,100,975,898,52.3187038857827,18385.1244735541
"2031/2032",2032,123,123,100,1007,1064.5,58.9218197573225,16930.3504375704
"2032/2033",2033,123,123,100,958,740.5,49.5447507722852,19422.7440700126
"2033/2034",2034,123,123,100,784,723,46.2656972110171,20494.6348713455
"2034/2035",2035,123,123,100,937,917.5,53.9948633356194,17685.1711912439
"2035/2036",2036,123,123,100,1144,1012,59.739977344806,15724.7435576529
"2036/2037",2037,123,123,100,799,690.5,47.1347164731415,20506.9768734565
"2037/2038",2038,123,123,100,802,686.5,44.7482303125125,20978.5168588059
"2038/2039",2039,123,123,100,848,780,47.989049269042,20718.3658985472
"2039/2040",2040,123,123,100,875,800,49.7718385326784,19584.8150035157
"2040/2041",2041,123,123,100,906,932,56.1894156511221,18820.1201486755
"2041/2042",2042,123,123,100,861,751,44.7648743905438,20309.9786296519
"2042/2043",2043,123,123,100,937,959,52.1992939149909,18617.2282228144
"2043/2044",2044,123,123,100,941,965.5,57.2596035588731,17591.0081983851
"2044/2045",2045,123,123,100,927,919.5,56.9782392335596,18005.4634550074
"2045/2046",2046,123,123,100,1033,1156.5,65.185100907282,15625.8635045933
"2046/2047",2047,123,123,100,783,774,50.4742044961063,20154.370886974
"2047/2048",2048,123,123,100,916,945,52.3529133805391,18215.3955400456
"2048/2049",2049,123,123,100,954,868,54.0824052171001,18198.7312967367
"2049/2050",2050,123,123,100,884,818,52.0790415533384,18430.1355479509
"2050/2051",2051,123,123,100,946,833.5,54.4912931617869,18728.8284304263
"2051/2052",2052,123,123,100,930,854,50.4119872655301,19024.9598295502
"2052/2053",2053,123,123,100,824,700.5,50.1936285907154,19636.1406248929
"2053/2054",2054,123,123,100,906,918.5,53.8782773871353,18384.798354065
"2054/2055",2055,123,123,100,862,822,45.8565168614014,19914.4638204779
"2055/2056",2056,123,123,100,910,782,47.5574068530032,19284.6611850094
"2056/2057",2057,123,123,100,1026,917.5,55.7146584303764,17334.0684724608
"2057/2058",2058,123,123,100,767,517.5,36.3933255323414,21512.049289166
"2058/2059",2059,123,123,100,832,763.5,51.9324010794758,19789.816723018
"2059/2060",2060,123,123,100,868,782,47.1264598977673,20229.3636567192
"2060/2061",2061,123,123,100,1022,962.5,55.96574414831,17142.9856751319
"2061/2062",2062,123,123,100,1035,873.5,51.2037880823127,17481.5355397463
"2062/2063",2063,123,123,100,906,797,49.6751487204788,19096.3409773121
"2063/2064",2064,123,123,100,932,831.5,46.8572903471631,19442.5366819622
"2064/2065",2065,123,123,100,831,871.5,52.5121186538513,19551.8109015813
"2065/2066",2066,123,123,100,787,694,46.0119700348309,20692.0440649968
"2066/2067",2067,123,123,100,925,832.5,50.4968197133421,19611.886883596
"2067/2068",2068,123,123,100,888,934,54.7749377305481,18311.2608128209
"2068/2069",2069,123,123,100,741,810,53.0914853122222,20224.2428748012
"2069/2070",2070,123,123,100,919,971.5,53.4937839475415,18270.6291198013
"2070/2071",2071,123,123,100,903,788.5,49.5514955764875,19755.4855247103
"2071/2072",2072,123,123,100,910,782.5,42.4770694938052,19969.7255795347
"2072/2073",2073,123,123,100,730,499,38.7319550235261,22114.0037981384
"2073/2074",2074,123,123,100,849,683,41.941443530668,20348.8044113843
"2074/2075",2075,123,123,100,937,833.5,52.4664572040156,17651.0261601005
"2075/2076",2076,123,123,100,911,859,56.8899624594542,18698.8832271341
