"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,750,523,38.3327524853754,21822.610191572
"2000/2001",2001,123,123,100,787,620.5,41.8127373569103,21327.9065618775
"2001/2002",2002,123,123,100,736,506,43.0081529566973,23134.9308432666
"2002/2003",2003,123,123,100,761,501.5,38.9875139176279,21867.0198563871
"2003/2004",2004,123,123,100,754,601.5,36.6946401935636,21876.6921196843
"2004/2005",2005,123,123,100,725,558.5,40.0865290370303,22169.0032579715
"2005/2006",2006,123,123,100,771,657.5,42.9945363581125,20625.671621169
"2006/2007",2007,123,123,100,700,525.5,43.5675481536548,21301.8383403454
"2007/2008",2008,123,123,100,519,290.5,33.092345797584,25080.412320053
"2008/2009",2009,123,123,100,744,476,39.2188503746154,22383.8045243789
"2009/2010",2010,123,123,100,741,479,38.0092038105427,22682.3001553309
"2010/2011",2011,123,123,100,765,694,49.6075446162593,20760.1059456985
"2011/2012",2012,123,123,100,732,476.5,35.9789420579266,22930.9559945683
"2012/2013",2013,123,123,100,770,484,38.6104149150211,22197.7284983753
"2013/2014",2014,123,123,100,748,557,40.2140965799874,21844.8202308011
"2014/2015",2015,123,123,100,614,379,34.0234625829523,24263.4749943446
"2015/2016",2016,123,123,100,717,412,37.1145185307051,23790.5458308894
"2016/2017",2017,123,123,100,673,493.5,35.9710884608476,23395.3229643658
"2017/2018",2018,123,123,100,797,796,46.7854287404089,19621.9064987644
"2018/2019",2019,123,123,100,697,481,35.1123603378854,22613.3347264188
"2019/2020",2020,123,123,100,656,441,37.5119746057462,23102.262092948
"2020/2021",2021,123,123,100,670,452.5,37.0178047202608,22985.6224194751
"2021/2022",2022,123,123,100,630,384,39.290109640579,23409.7723314939
"2022/2023",2023,123,123,100,823,848,48.8046977487064,19462.990292016
"2023/2024",2024,123,123,100,503,123,26.0300034510083,26179.277347262
"2024/2025",2025,123,123,100,643,484.5,40.411153934725,22327.4565738919
"2025/2026",2026,123,123,100,771,578,42.2395547945951,20675.7313684314
"2026/2027",2027,123,123,100,570,403.5,30.1532349752601,24220.7957577254
"2027/2028",2028,123,123,100,652,470,38.1239793956775,23337.7016843739
"2028/2029",2029,123,123,100,793,566,40.7639229088218,21217.8209875035
"2029/2030",2030,123,123,100,611,485,36.2335545428052,23657.3708022619
"2030/2031",2031,123,123,100,801,569.5,39.3357201897072,21997.9533955557
"2031/2032",2032,123,123,100,778,728,45.4554465734157,20616.5480442951
"2032/2033",2033,123,123,100,821,459,36.7514649459215,22626.3773193606
"2033/2034",2034,123,123,100,636,375.5,32.435753393268,24072.3285470861
"2034/2035",2035,123,123,100,798,649.5,45.23448324214,20986.988839264
"2035/2036",2036,123,123,100,993,787.5,52.0791002983262,19128.3039297331
