"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,247,-396.5,27.287073395079,31413.6493409905
"2000/2001",2001,123,123,100,227,-642,18.4123123328925,33329.8091293751
"2001/2002",2002,123,123,100,232,-523.5,19.6297781635986,33087.2061777177
"2002/2003",2003,123,123,100,267,-382.5,24.4143783398138,31861.4660760781
"2003/2004",2004,123,123,100,228,-427,25.2631900118609,31936.7384090514
"2004/2005",2005,123,123,100,175,-613,21.6744903372305,33351.2596822164
"2005/2006",2006,123,123,100,227,-519,23.3166573513805,33313.1996102661
"2006/2007",2007,123,123,100,296,-359.5,29.035459291741,31121.5775611325
"2007/2008",2008,123,123,100,194,-906,18.7541584025315,35514.8933234464
"2008/2009",2009,123,123,100,279,-540,21.9145908116132,32273.4358079452
"2009/2010",2010,123,123,100,252,-239.5,31.1062667603334,30518.4713246741
"2010/2011",2011,123,123,100,142,-748.5,16.7290208290222,35476.875298311
"2011/2012",2012,123,123,100,280,-490.5,25.5535359213188,32621.0651302503
"2012/2013",2013,123,123,100,343,-150,31.0829891294229,29724.425910098
"2013/2014",2014,123,123,100,247,-591.5,25.9304041397357,33132.4556528679
"2014/2015",2015,123,123,100,246,-515.5,21.9392926943004,32405.1291990308
"2015/2016",2016,123,123,100,146,-716,15.3644522459584,34557.406450731
"2016/2017",2017,123,123,100,132,-1140,11.6476648964396,37454.8206450243
"2017/2018",2018,123,123,100,140,-845.5,18.4160336069626,34771.3034764286
"2018/2019",2019,123,123,100,384,-271.5,29.5076863635226,29720.6182891126
"2019/2020",2020,123,123,100,216,-496.5,18.0847737322825,32558.308048794
"2020/2021",2021,123,123,100,193,-499,24.074577623384,32554.2180841942
"2021/2022",2022,123,123,100,143,-858,15.1441539490453,35315.5725730634
"2022/2023",2023,123,123,100,139,-883.5,16.2993626543405,36041.9421321801
"2023/2024",2024,123,123,100,284,-324.5,24.5504146418456,30805.2883208646
"2024/2025",2025,123,123,100,240,-655.5,23.0548649791633,32885.1820549425
"2025/2026",2026,123,123,100,263,-604,19.4826179338111,33119.4244128759
"2026/2027",2027,123,123,100,129,-854,14.165230950473,35662.574702763
"2027/2028",2028,123,123,100,166,-790.5,18.5193502014394,35068.972332547
"2028/2029",2029,123,123,100,271,-196.5,31.288676380699,29856.9396142457
"2029/2030",2030,123,123,100,170,-940.5,12.7721509807411,36623.3903631303
"2030/2031",2031,123,123,100,260,-374.5,28.8166542844972,31148.0011515189
"2031/2032",2032,123,123,100,131,-702,18.1305353465812,33813.2505022325
"2032/2033",2033,123,123,100,308,-140.5,31.3377668785738,29673.7519595502
"2033/2034",2034,123,123,100,263,-559.5,25.3142167636804,32868.5494663264
"2034/2035",2035,123,123,100,106,-901,12.1098869535344,36421.7571658734
"2035/2036",2036,123,123,100,132,-672.5,19.8004897788268,34226.7073711772
"2036/2037",2037,123,123,100,305,-684.5,27.2148105543881,33135.2244370002
"2037/2038",2038,123,123,100,296,-223,31.2622084899917,29776.5975893838
"2038/2039",2039,123,123,100,107,-872.5,13.2240127643902,36198.5524737705
"2039/2040",2040,123,123,100,173,-676.5,21.1230841612575,34068.713718201
