"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,335,-45.5,36.6115062398993,28782.0514208794
"2000/2001",2001,123,123,100,291,-334.5,30.5600608356528,30961.8952138727
"2001/2002",2002,123,123,100,310,-155,31.7429855748777,29883.0783442491
"2002/2003",2003,123,123,100,338,21,36.5258971504391,28392.0615412224
"2003/2004",2004,123,123,100,308,-93,33.2635573414753,28983.2753895429
"2004/2005",2005,123,123,100,266,-293,28.2088308298213,31172.718436232
"2005/2006",2006,123,123,100,337,-197,32.8808777123633,30063.3426983804
"2006/2007",2007,123,123,100,401,-55.5,34.6850864458562,28471.6918328354
"2007/2008",2008,123,123,100,238,-638.5,27.0128814533506,33535.7607797778
"2008/2009",2009,123,123,100,344,-181.5,32.5635784480495,29493.9540252227
"2009/2010",2010,123,123,100,306,185,38.0951767055832,27049.3846123689
"2010/2011",2011,123,123,100,186,-357,25.2958741729684,32059.0183626753
"2011/2012",2012,123,123,100,375,-245.5,34.4519542439194,29889.3120716065
"2012/2013",2013,123,123,100,407,228.5,38.9067590378365,26348.8342826045
"2013/2014",2014,123,123,100,320,-244.5,31.9227375984842,30770.8576204071
"2014/2015",2015,123,123,100,279,-207.5,27.7473632637267,30023.5774941063
"2015/2016",2016,123,123,100,215,-338.5,23.8927956668068,31537.9702546063
"2016/2017",2017,123,123,100,160,-824,17.9452972957862,35495.8050176268
"2017/2018",2018,123,123,100,165,-535.5,26.1027070044299,33016.2469588225
"2018/2019",2019,123,123,100,489,12.5,34.3212983959294,27354.2508123745
"2019/2020",2020,123,123,100,257,-167,31.3836558638408,29599.4959036428
"2020/2021",2021,123,123,100,325,-138,35.1129994159882,29511.1777271056
"2021/2022",2022,123,123,100,170,-527,25.4852097433678,32970.8637627363
"2022/2023",2023,123,123,100,188,-522,25.5629320877854,33177.391593067
"2023/2024",2024,123,123,100,363,-39.5,35.3897195885495,28580.3090515663
"2024/2025",2025,123,123,100,343,-359,28.5833191614183,30683.9279423584
"2025/2026",2026,123,123,100,306,-266,26.8641165573832,30437.5172839733
"2026/2027",2027,123,123,100,156,-503,19.8119865642331,32927.4095505821
"2027/2028",2028,123,123,100,246,-450,28.7109513905409,32621.1989348577
"2028/2029",2029,123,123,100,341,189,41.3622705611692,26328.441839715
"2029/2030",2030,123,123,100,236,-593,21.2638997930619,34022.6402335973
"2030/2031",2031,123,123,100,334,27,38.4898242845536,28094.9004012453
"2031/2032",2032,123,123,100,140,-360,24.5264282146647,31310.6469190447
"2032/2033",2033,123,123,100,364,309.5,43.439119976721,25832.3007207243
"2033/2034",2034,123,123,100,350,-213.5,30.1411686272559,30069.9338373593
"2034/2035",2035,123,123,100,162,-602,20.0175690649799,34212.0924577736
"2035/2036",2036,123,123,100,196,-309.5,30.7065858704639,31277.7804397657
"2036/2037",2037,123,123,100,356,-350,27.9509593088915,31101.1727847271
"2037/2038",2038,123,123,100,342,97,39.1336952569475,27169.6686656475
