"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,258,-358.5,26.5186321992052,31359.8447718738
"2000/2001",2001,123,123,100,239,-628,19.8964935836265,33439.5612019086
"2001/2002",2002,123,123,100,228,-478.5,23.2282170461711,32777.8644113422
"2002/2003",2003,123,123,100,271,-332,26.7329538804661,31553.9771716963
"2003/2004",2004,123,123,100,218,-391.5,27.0382091753985,31700.2228984163
"2004/2005",2005,123,123,100,175,-602,20.4560402478199,33582.6562496328
"2005/2006",2006,123,123,100,228,-505,25.4513435859214,33113.9499097021
"2006/2007",2007,123,123,100,331,-335,30.2751324253299,31037.0793924135
"2007/2008",2008,123,123,100,208,-916.5,20.2281998601977,35795.3037701119
"2008/2009",2009,123,123,100,275,-497.5,26.2964014026289,32131.551517559
"2009/2010",2010,123,123,100,232,-173.5,30.8447203397693,30226.018348197
"2010/2011",2011,123,123,100,127,-734,16.2166299345361,35396.8427676051
"2011/2012",2012,123,123,100,289,-472,28.0524463612894,32578.3665237103
"2012/2013",2013,123,123,100,339,-108.5,32.4410496404142,29510.1125748428
"2013/2014",2014,123,123,100,242,-562,28.7091017792901,33172.2020093901
"2014/2015",2015,123,123,100,236,-509.5,23.6111851892296,32504.7353122269
"2015/2016",2016,123,123,100,158,-680,16.2946170121984,34562.2577855668
"2016/2017",2017,123,123,100,114,-1125.5,13.7956228203993,37756.2976566418
"2017/2018",2018,123,123,100,126,-814.5,20.4489481450634,35124.2307509996
"2018/2019",2019,123,123,100,403,-253.5,31.5082875510326,29787.7032519281
"2019/2020",2020,123,123,100,213,-468.5,23.2996622145276,32536.3817099789
"2020/2021",2021,123,123,100,221,-471.5,30.0358592636524,32334.9150752649
"2021/2022",2022,123,123,100,145,-833.5,18.6096339752966,35477.5518109729
"2022/2023",2023,123,123,100,153,-858.5,18.1020119382795,36017.4694885034
"2023/2024",2024,123,123,100,269,-317.5,27.8873799293988,30954.7695351942
"2024/2025",2025,123,123,100,260,-615,25.4768960355244,32853.1738751726
"2025/2026",2026,123,123,100,276,-583.5,21.6106082251634,33048.7058343319
"2026/2027",2027,123,123,100,121,-836,15.3165702281614,35734.3570157466
"2027/2028",2028,123,123,100,162,-773.5,18.9797378943385,35072.6370848101
"2028/2029",2029,123,123,100,272,-129.5,34.9034853653309,29438.4818002335
"2029/2030",2030,123,123,100,173,-908.5,14.3590065433659,36733.1851457236
"2030/2031",2031,123,123,100,247,-323,30.2863583473277,30981.1269390425
"2031/2032",2032,123,123,100,120,-689.5,19.9095737025187,33815.2956826021
"2032/2033",2033,123,123,100,287,-62.5,34.4968217161451,29191.1255827988
"2033/2034",2034,123,123,100,272,-519,25.2133170254257,32906.8488326608
"2034/2035",2035,123,123,100,111,-909,12.039223839315,36706.3340030219
"2035/2036",2036,123,123,100,133,-647.5,22.7329744405648,34139.0111089898
"2036/2037",2037,123,123,100,308,-653.5,26.1385741765066,33305.8235016353
"2037/2038",2038,123,123,100,276,-192.5,31.9003626057283,29777.4127834747
"2038/2039",2039,123,123,100,94,-844.5,15.3080529198176,36078.9334794348
"2039/2040",2040,123,123,100,150,-649,22.305948313603,34144.6062983768
"2040/2041",2041,123,123,100,153,-628.5,24.9895939292655,34197.6718675038
"2041/2042",2042,123,123,100,206,-521,23.5939286429712,33023.7979676025
"2042/2043",2043,123,123,100,163,-595,21.3731970206879,33962.9131192425
"2043/2044",2044,123,123,100,162,-558.5,22.0733053661618,33539.2180648521
"2044/2045",2045,123,123,100,67,-932,13.0813853056472,36682.1560252486
"2045/2046",2046,123,123,100,142,-1085.5,14.9069190417183,37790.0371723277
"2046/2047",2047,123,123,100,109,-922.5,17.3598572038156,36020.4844248751
"2047/2048",2048,123,123,100,188,-633,19.2242246189546,34041.4284756267
"2048/2049",2049,123,123,100,365,-114,35.4863303281734,29549.4295123378
"2049/2050",2050,123,123,100,421,-530.5,28.7633021502902,31313.9370908197
"2050/2051",2051,123,123,100,283,-231,33.5614991893972,30354.2216286799
"2051/2052",2052,123,123,100,241,-116.5,35.1074914215735,28972.5027854787
"2052/2053",2053,123,123,100,284,-167,27.4525143391361,30264.0645947298
"2053/2054",2054,123,123,100,165,-371.5,23.9115534295152,31451.8426206522
"2054/2055",2055,123,123,100,181,-435.5,21.1707027261659,32308.6621041019
"2055/2056",2056,123,123,100,345,-144.5,29.408294944036,29511.6687576696
"2056/2057",2057,123,123,100,258,-158.5,33.9887922941086,29668.1866129106
"2057/2058",2058,123,123,100,261,-199.5,24.6786629946907,29862.2126507759
"2058/2059",2059,123,123,100,177,-574.5,20.6135124220539,33480.2845226359
"2059/2060",2060,123,123,100,344,-496.5,25.4332488187133,32470.6075769095
"2060/2061",2061,123,123,100,217,-584.5,22.5824658997772,33874.9029109338
"2061/2062",2062,123,123,100,237,-137,35.1549375322509,30020.5095496634
"2062/2063",2063,123,123,100,164,-521,23.4223658678311,32994.3936968809
"2063/2064",2064,123,123,100,291,-223,29.0861047615488,29819.2352619879
"2064/2065",2065,123,123,100,85,-810,15.4274075835599,35522.0469564414
"2065/2066",2066,123,123,100,270,-590.5,24.8268700752756,32974.4287787434
"2066/2067",2067,123,123,100,213,-344.5,24.953475761987,31760.819852924
"2067/2068",2068,123,123,100,163,-691,24.7396193412942,34455.6684638206
"2068/2069",2069,123,123,100,127,-1091,13.124262623593,37601.5037493473
"2069/2070",2070,123,123,100,184,-755,19.8426577183063,35197.5802474385
"2070/2071",2071,123,123,100,277,-23,32.8425743886087,29212.1779993614
"2071/2072",2072,123,123,100,244,-416.5,26.093186953249,32192.6098099779
"2072/2073",2073,123,123,100,436,-177,30.1923257664694,29440.9319045115
"2073/2074",2074,123,123,100,314,280.5,40.2283117277807,25852.5152027141
"2074/2075",2075,123,123,100,269,5,36.5423976197039,28535.4397018775
"2075/2076",2076,123,123,100,179,-483.5,25.6990564130083,32922.6985510252
"2076/2077",2077,123,123,100,183,-677.5,26.4657239806775,34153.0510321446
