"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,207,-587.5,20.5405927633176,33289.6172602165
"2000/2001",2001,123,123,100,190,-828,17.9698569654669,35065.4170724197
"2001/2002",2002,123,123,100,192,-721.5,15.7629078906672,34825.4004722308
"2002/2003",2003,123,123,100,221,-524,22.9002058382253,33410.8114187352
"2003/2004",2004,123,123,100,187,-633,22.2269626554101,33678.599372163
"2004/2005",2005,123,123,100,130,-823,15.6555502941422,35276.7081306084
"2005/2006",2006,123,123,100,203,-706.5,21.6109018502981,34836.4904996628
"2006/2007",2007,123,123,100,223,-514.5,25.2460669033941,32871.2175006885
"2007/2008",2008,123,123,100,179,-1085.5,16.8840521561603,36984.9997294486
"2008/2009",2009,123,123,100,246,-703.5,21.7316103963229,33824.7381013376
"2009/2010",2010,123,123,100,161,-416,26.9335368473669,32262.7066383979
"2010/2011",2011,123,123,100,112,-942.5,13.146953446396,37169.6777508187
"2011/2012",2012,123,123,100,263,-671,24.3226498590807,34176.5413007375
"2012/2013",2013,123,123,100,272,-331,29.0154069176212,31448.2313665743
"2013/2014",2014,123,123,100,192,-777.5,21.7726692796364,34888.1451981452
"2014/2015",2015,123,123,100,185,-721.5,18.3994020843465,34216.4578929699
"2015/2016",2016,123,123,100,127,-897,11.780685882349,36295.8413619781
"2016/2017",2017,123,123,100,93,-1319.5,11.1978073152283,39057.645667871
"2017/2018",2018,123,123,100,108,-1017,16.1683968931762,36580.8881255123
"2018/2019",2019,123,123,100,337,-418.5,28.0485487028353,31514.6359792799
"2019/2020",2020,123,123,100,182,-682.5,18.05540441477,34340.2888205019
"2020/2021",2021,123,123,100,151,-699.5,19.4306493481758,34239.6797854183
"2021/2022",2022,123,123,100,131,-1048.5,13.2852778589593,36854.5748266424
"2022/2023",2023,123,123,100,128,-1074.5,14.3894165342046,37678.9382287539
"2023/2024",2024,123,123,100,215,-516,21.5192078739591,32739.2625585143
"2024/2025",2025,123,123,100,221,-841,21.4602137793656,34535.7414280772
"2025/2026",2026,123,123,100,211,-772.5,18.6729180511699,34855.4046862521
"2026/2027",2027,123,123,100,88,-1049.5,10.9950147353368,37325.9957764982
"2027/2028",2028,123,123,100,127,-989,14.9064844943726,36697.6257597972
"2028/2029",2029,123,123,100,202,-359.5,29.1563625835239,31602.2367643844
"2029/2030",2030,123,123,100,140,-1112,13.5298708701039,38278.945053732
"2030/2031",2031,123,123,100,201,-539,24.0988116361588,32811.6486268034
"2031/2032",2032,123,123,100,104,-914.5,12.733513281133,35870.9076759755
"2032/2033",2033,123,123,100,223,-294,29.5795921588698,31150.4534703321
"2033/2034",2034,123,123,100,220,-719.5,21.4745553602434,34440.4806689066
"2034/2035",2035,123,123,100,68,-1107.5,10.0827315731595,38316.6620587059
"2035/2036",2036,123,123,100,104,-890.5,15.6608616533993,36146.2419488868
"2036/2037",2037,123,123,100,214,-842,22.220884079293,34670.9781179195
"2037/2038",2038,123,123,100,234,-407,25.5686118523998,31512.7145986753
"2038/2039",2039,123,123,100,72,-1061,10.5470278353278,37619.739641415
"2039/2040",2040,123,123,100,130,-878.5,16.2294163896398,35987.0068030301
"2040/2041",2041,123,123,100,106,-836,17.9266675685096,36004.7486059535
"2041/2042",2042,123,123,100,154,-740,15.3057141986939,34831.0308087636
"2042/2043",2043,123,123,100,126,-820.5,15.3846718000839,35811.4063872909
"2043/2044",2044,123,123,100,132,-784.5,17.5656273458923,35332.844502178
"2044/2045",2045,123,123,100,56,-1175.5,10.0262224772116,38367.639232114
