"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,313,42,31.9471214520146,28440.2133376874
"2000/2001",2001,123,123,100,292,-55,34.0969954892549,29024.6287470445
"2001/2002",2002,123,123,100,396,302.5,38.0422657863836,25623.7120957066
"2002/2003",2003,123,123,100,267,70.5,34.692873259903,28225.7116370116
"2003/2004",2004,123,123,100,307,-76.5,33.0118253737182,29045.491261208
"2004/2005",2005,123,123,100,408,107.5,33.7607724285421,27288.1227775471
"2005/2006",2006,123,123,100,353,-58.5,34.5384074794759,28612.3256110193
"2006/2007",2007,123,123,100,382,-133.5,35.7952285599419,29629.116752454
"2007/2008",2008,123,123,100,510,342.5,41.6317076643676,24832.1763274823
"2008/2009",2009,123,123,100,295,211.5,39.1185723293248,26734.8186680891
"2009/2010",2010,123,123,100,264,-9.5,33.330616766202,28968.0861055551
"2010/2011",2011,123,123,100,393,-48.5,33.6345928007842,28891.47376582
"2011/2012",2012,123,123,100,326,154.5,37.5385322379427,27185.6589137409
"2012/2013",2013,123,123,100,277,6.5,31.2991633917813,28714.6558782398
"2013/2014",2014,123,123,100,331,133,34.5357798680624,27340.8539812488
"2014/2015",2015,123,123,100,439,348.5,42.64060613021,25053.3900086412
"2015/2016",2016,123,123,100,416,356.5,42.7171608020667,25056.8064238564
"2016/2017",2017,123,123,100,462,239.5,38.677954813162,25853.4634914757
"2017/2018",2018,123,123,100,262,-140.5,33.7589134110063,29900.3582286234
"2018/2019",2019,123,123,100,417,243.5,41.3442126825097,25977.21104301
"2019/2020",2020,123,123,100,448,299,44.0081165389111,25493.8426651838
"2020/2021",2021,123,123,100,283,106.5,33.5251298976389,27636.7568437718
"2021/2022",2022,123,123,100,390,271,38.478627041041,25802.8253195332
"2022/2023",2023,123,123,100,237,-239,30.1616144068976,31059.5485792668
"2023/2024",2024,123,123,100,506,539,51.2460020358089,23142.3501102636
"2024/2025",2025,123,123,100,365,-6,30.9875484933154,28318.6863443702
"2025/2026",2026,123,123,100,305,82.5,35.2248114150143,27748.4366972884
"2026/2027",2027,123,123,100,450,494.5,43.0603288057239,23894.0480029224
"2027/2028",2028,123,123,100,503,205.5,44.4323694944021,25624.6926156068
"2028/2029",2029,123,123,100,284,-135,32.5587717065739,29956.5600935612
"2029/2030",2030,123,123,100,537,408.5,44.2814437282602,24472.5623271121
"2030/2031",2031,123,123,100,291,17.5,32.0437003408747,28440.3455308066
"2031/2032",2032,123,123,100,386,-214,33.823670550699,30171.6684142067
"2032/2033",2033,123,123,100,252,78.5,33.8633634857567,27864.1567278248
"2033/2034",2034,123,123,100,435,330.5,41.7361745656042,25448.4325090437
"2034/2035",2035,123,123,100,387,49,35.9799649171323,28020.2222345145
"2035/2036",2036,123,123,100,216,-474,21.3837099828297,32897.375531124
"2036/2037",2037,123,123,100,392,317,43.0045014147559,25292.6223747409
"2037/2038",2038,123,123,100,452,257.5,40.8455051379631,25870.6248970507
"2038/2039",2039,123,123,100,481,463,46.0906070338585,24456.6146777794
"2039/2040",2040,123,123,100,357,195,32.9152768087879,26742.9021664942
"2040/2041",2041,123,123,100,363,64,35.8504805656676,27676.1924855169
"2041/2042",2042,123,123,100,352,177.5,39.4673902185127,26435.6214674031
"2042/2043",2043,123,123,100,407,145.5,40.3524347978114,27008.8993147472
"2043/2044",2044,123,123,100,333,-3,34.7714923990272,28490.1075960742
"2044/2045",2045,123,123,100,306,-44,30.1882051528892,28908.1522088386
"2045/2046",2046,123,123,100,344,-223,25.9364886852454,30530.4636410922
"2046/2047",2047,123,123,100,497,163.5,39.8040267484944,26479.3845844632
"2047/2048",2048,123,123,100,436,224,43.117126408556,26475.7401637854
"2048/2049",2049,123,123,100,184,21,29.7713263473834,28347.6885573631
"2049/2050",2050,123,123,100,347,-6,30.8858270800529,28236.1960364031
"2050/2051",2051,123,123,100,329,41,34.5404621188677,27992.5310381157
"2051/2052",2052,123,123,100,298,31.5,30.4277569654628,28105.2078342373
"2052/2053",2053,123,123,100,423,255.5,44.6748225813562,26038.0458188625
"2053/2054",2054,123,123,100,346,2.5,31.7616027760387,28476.9160441915
"2054/2055",2055,123,123,100,445,315.5,42.7643075056599,25420.0139990374
