"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,107,-1524.5,10.3972078543192,39569.7480386372
"2000/2001",2001,123,123,100,80,-1759.5,8.14955608672158,41002.0370647051
"2001/2002",2002,123,123,100,48,-1763.5,4.96995963485328,41860.4087737054
"2002/2003",2003,123,123,100,86,-1529,11.9480947767223,40163.7999826353
"2003/2004",2004,123,123,100,65,-1647,7.81402967745224,41337.0406883599
"2004/2005",2005,123,123,100,52,-1764.5,6.81146972501917,40901.9081550357
"2005/2006",2006,123,123,100,89,-1603.5,9.59667293343071,40644.5497478007
"2006/2007",2007,123,123,100,98,-1464,14.3404098858899,38464.3230233494
"2007/2008",2008,123,123,100,128,-1880,9.34670279023162,40314.9691951855
"2008/2009",2009,123,123,100,142,-1619.5,9.40024535035207,39968.0671223293
"2009/2010",2010,123,123,100,61,-1476,12.0598735121195,39471.7995932247
"2010/2011",2011,123,123,100,27,-1972,2.01210488712076,43987.6971298431
"2011/2012",2012,123,123,100,155,-1501,13.8192067969718,39167.2778056487
"2012/2013",2013,123,123,100,116,-1279,12.0690705169391,38257.4070588555
"2013/2014",2014,123,123,100,50,-1749,7.31803922486543,40932.1769845509
"2014/2015",2015,123,123,100,78,-1665.5,7.56016772073025,40101.1917516256
"2015/2016",2016,123,123,100,61,-1941.5,4.4421581634578,42817.9964977575
"2016/2017",2017,123,123,100,37,-2165,3.01095547349024,43074.0964475814
"2017/2018",2018,123,123,100,38,-1909,4.70301877296586,41486.7355681676
"2018/2019",2019,123,123,100,211,-1256,16.503567210383,37022.3956353059
"2019/2020",2020,123,123,100,102,-1684,6.1183623819359,41404.3206198169
"2020/2021",2021,123,123,100,55,-1655,8.03224359918494,40658.713239375
"2021/2022",2022,123,123,100,69,-1967,5.12679297936117,42310.4422969851
"2022/2023",2023,123,123,100,59,-2007.5,7.07491754926841,43290.5534443725
"2023/2024",2024,123,123,100,72,-1491,9.38854659555395,38846.913579091
"2024/2025",2025,123,123,100,114,-1721,11.3257889540988,39655.2710103844
"2025/2026",2026,123,123,100,91,-1685,10.2271775489851,40424.6483584801
"2026/2027",2027,123,123,100,3,-2051.5,1.00330588669226,43309.6363823842
"2027/2028",2028,123,123,100,16,-1905,4.00741437250912,41214.1676808493
"2028/2029",2029,123,123,100,82,-1362,9.32990070919863,38724.2322286512
"2029/2030",2030,123,123,100,36,-2028.5,4.02693642512736,42835.6540983794
"2030/2031",2031,123,123,100,100,-1492.5,11.6456227500041,39104.9572935002
"2031/2032",2032,123,123,100,51,-1904.5,2.88759411548364,42352.7470225147
"2032/2033",2033,123,123,100,76,-1317,13.9149335613973,38449.6253602616
"2033/2034",2034,123,123,100,81,-1636,9.08211832393107,40232.5265108091
"2034/2035",2035,123,123,100,14,-2094,5.03516978306459,43436.2824671199
"2035/2036",2036,123,123,100,32,-1916,7.4201042536551,42757.6787589639
"2036/2037",2037,123,123,100,69,-1680.5,13.0929198447711,38391.6335098939
"2037/2038",2038,123,123,100,112,-1384,11.4499380312796,37835.5997184003
"2038/2039",2039,123,123,100,12,-2053,2.01688830941089,43677.4659066917
"2039/2040",2040,123,123,100,33,-1868,2.32541969971925,41937.5438285479
"2040/2041",2041,123,123,100,20,-1791.5,6.0607530854785,41575.9374470478
"2041/2042",2042,123,123,100,57,-1664,9.74908600756117,40626.991528213
"2042/2043",2043,123,123,100,36,-1816,4.90084046850541,42749.2327616476
"2043/2044",2044,123,123,100,26,-1737.5,7.04521401991849,41597.2528120605
"2044/2045",2045,123,123,100,3,-2176.5,3.00866923719559,44459.1130221309
"2045/2046",2046,123,123,100,50,-2099,6.05241981020299,42891.0036443239
"2046/2047",2047,123,123,100,13,-2095.5,2.01859773992874,42780.393608029
"2047/2048",2048,123,123,100,91,-1756.5,6.77603385185802,41684.7288175374
"2048/2049",2049,123,123,100,117,-1258,15.450800194645,38094.0695790779
"2049/2050",2050,123,123,100,230,-1411,15.9960204634781,37107.6687463634
"2050/2051",2051,123,123,100,104,-1370.5,14.2867406960638,38478.8394636484
"2051/2052",2052,123,123,100,59,-1389.5,11.4483357420256,38717.5952754524
"2052/2053",2053,123,123,100,30,-1414.5,7.02725147524097,39751.5852887984
"2053/2054",2054,123,123,100,28,-1612.5,6.97021467381234,40151.4459423097
"2054/2055",2055,123,123,100,52,-1689.5,5.94006447718971,41689.011052113
"2055/2056",2056,123,123,100,139,-1309,13.311818761203,38778.3236878645
"2056/2057",2057,123,123,100,61,-1326.5,12.971435365949,38485.5964580411
"2057/2058",2058,123,123,100,107,-1441,5.15226879009083,39206.6229611542
"2058/2059",2059,123,123,100,29,-1767.5,6.06247359478527,41296.0404136162
"2059/2060",2060,123,123,100,135,-1584.5,11.7315006950766,39489.6444622958
"2060/2061",2061,123,123,100,72,-1760,5.17393156690184,42071.1274613999
"2061/2062",2062,123,123,100,84,-1351,11.3531957357552,39604.5346608227
"2062/2063",2063,123,123,100,25,-1724,4.76001673623443,40936.0826184079
"2063/2064",2064,123,123,100,126,-1432.5,9.26875406901286,38877.9466355303
"2064/2065",2065,123,123,100,21,-2010.5,3.22989155287371,42989.0569674559
"2065/2066",2066,123,123,100,104,-1674.5,9.68672023173337,39470.3301091837
"2066/2067",2067,123,123,100,82,-1642.5,6.0264467945301,41478.672251109
"2067/2068",2068,123,123,100,49,-1810,7.08445456179959,41071.128303878
"2068/2069",2069,123,123,100,33,-2166.5,0.981473583139064,42959.3640481317
"2069/2070",2070,123,123,100,57,-1928.5,5.94640914824799,42634.201082523
"2070/2071",2071,123,123,100,72,-1341.5,12.9848557384555,39107.2026380757
"2071/2072",2072,123,123,100,106,-1573,10.0364310395291,40691.7299485579
"2072/2073",2073,123,123,100,179,-1300,13.4083621817319,37305.6570802471
"2073/2074",2074,123,123,100,102,-939.5,13.984660938484,36161.4107644297
"2074/2075",2075,123,123,100,74,-1290,10.2332271068379,39088.0392108485
"2075/2076",2076,123,123,100,16,-1726.5,5.03786402922083,41480.827768011
"2076/2077",2077,123,123,100,52,-1815.5,8.04539719087279,40439.0938489418
"2077/2078",2078,123,123,100,78,-1509.5,9.34213415550437,39941.601976851
"2078/2079",2079,123,123,100,52,-1636.5,5.85474750648405,40932.7998589557
"2079/2080",2080,123,123,100,78,-1667.5,4.91101582685883,40893.9251246862
"2080/2081",2081,123,123,100,90,-1176,13.0640687264705,36988.5099398829
"2081/2082",2082,123,123,100,110,-1298.5,13.6823580609874,38142.5747875925
"2082/2083",2083,123,123,100,43,-1590,10.0604818800339,40068.635912206
"2083/2084",2084,123,123,100,8,-1747.5,6.01293923383207,40401.6713896003
"2084/2085",2085,123,123,100,72,-1432.5,14.6049325710804,38079.8172914851
"2085/2086",2086,123,123,100,34,-2135.5,3.16346079712901,43271.0328471065
"2086/2087",2087,123,123,100,183,-1249,14.1704219803906,37480.7826587595
"2087/2088",2088,123,123,100,116,-1534.5,13.1895565714465,39624.9356468543
"2088/2089",2089,123,123,100,131,-1235,18.1014071176475,36194.6973138209
"2089/2090",2090,123,123,100,29,-1843.5,4.90598304673836,41960.4601493664
"2090/2091",2091,123,123,100,25,-1547,4.85066272890879,40864.9516362399
"2091/2092",2092,123,123,100,137,-1547.5,13.416600142638,39512.5464614667
"2092/2093",2093,123,123,100,36,-2026,7.01305752365045,41731.0368408151
"2093/2094",2094,123,123,100,4,-2254,0,45310.7793369852
"2094/2095",2095,123,123,100,85,-1545.5,10.3129637222221,38998.4231424313
"2095/2096",2096,123,123,100,42,-1594,6.83303024603697,41902.2376008481
"2096/2097",2097,123,123,100,55,-1997,5.56069596737666,43404.1373663414
"2097/2098",2098,123,123,100,35,-1804.5,4.97174857510095,42146.1574569736
"2098/2099",2099,123,123,100,125,-1335.5,12.8469117846262,38374.4253438767
"2099/2100",2100,123,123,100,32,-2014.5,4.33695575060347,42487.7877206765
